GEOHASH,BUS_I,LAT,LON,NAME,GEN,LOAD
c2kx95,4104,47.746353,-117.373738,BELL,,1.0
c2e2u0,4131,47.947893,-118.996055,COULEE,3.0,
c26crp,4132,46.669392,-119.573343,HANFORD,4.0,
c2967d,4201,48.22276,-121.837459,NORTH,,1.0
c237sz,4202,47.065363,-121.779859,WCASCADE,,1.0
9rb6wg,4203,44.051652,-123.091142,WILLAMET,,1.0
9r88yx,4204,42.358895,-122.760172,MERIDIAN,,1.0
c2967d,4231,48.22276,-121.837459,NORTH_G3,3.0,
c237sz,4232,47.065363,-121.779859,WCASCADE,3.0,
c2c10y,5001,49.429986,-122.303722,CANADA,,1.0
c2c10y,5002,49.429986,-122.303722,CANALB,,1.0
c2u6xt,5003,49.686968,-117.438199,CA230TO,,1.0
c2u6xt,5004,49.686968,-117.438199,CA230,,0.0
c2c10y,5031,49.429986,-122.303722,CANAD_G1,2.0,
c2c10y,5032,49.429986,-122.303722,CMAIN_GM,5.0,
9rwgcr,6101,42.888986,-114.199277,MIDPOINT,,0.0
9rwgcr,6102,42.888986,-114.199277,MIDPOINT,,1.0
9rx7st,6103,42.835449,-113.348619,BORAH,,1.0
9rx7st,6104,42.835449,-113.348619,BORAH,,1.0
9rwgcr,6132,42.888986,-114.199277,MIDPOINT,5.0,
c8h5zm,6201,45.689474,-106.552322,COLSTRP,,1.0
c2r8x7,6202,46.515909,-112.878383,GARRISON,,1.0
c8h5zm,6203,45.689474,-106.552322,COLSTRP,,1.0
c2r8x7,6204,46.515909,-112.878383,GARRISON,,1.0
c82vu4,6205,47.432975,-111.260716,MONTANA,,1.0
c8h5zm,6231,45.689474,-106.552322,COLSTRP,2.0,
c82vu4,6235,47.432975,-111.260716,MONTA_G1,3.0,
9x6z6m,6301,42.083869,-108.529745,BRIDGER,,1.0
9xkgmv,6302,41.383369,-105.567246,LARAMIE,,1.0
9x6z6m,6303,42.083869,-108.529745,BRIDGER2,,1.0
9xkgmv,6304,41.383369,-105.567246,LARAMIE,,0.0
9x3mfn,6305,41.826887,-110.64461,NAUGHTON,,1.0
9x6z6m,6333,42.083869,-108.529745,BRIDGER,2.0,
9x3mfn,6335,41.826887,-110.64461,NAUGHT,3.0,
9r50xy,6401,39.499336,-119.188176,TRACYSPP,1.0,1.0
9r4bc7,6402,39.527222,-119.821944,SUMITSPP,,1.0
9rkf69,6403,41.182805,-116.954457,VALMY,,1.0
9rn2tf,6404,39.476861,-114.70735,GONDER,,1.0
9rkf69,6433,41.182805,-116.954457,VALMY,4.0,
9x27ep,6501,41.439081,-112.006907,BENLOMND,,1.0
9x0mgn,6502,40.42316497,-112.008,CAMP_WIL,,1.0
9x47er,6503,40.030278,-109.188333,EMERY,,1.0
9x06gc,6504,39.868637,-111.977164,MONA,,1.0
9wdr2q,6505,37.870747,-109.314458,PINTO,,1.0
9wdr2q,6506,37.870747,-109.314458,PINTO_PS,,0.0
9wbmjr,6507,38.887109,-111.917677,SIGURD,,1.0
9x0gc5,6508,40.053045,-111.394196,SPAN_FRK,,1.0
9x0ryy,6509,40.772832,-111.846293,TERMINAL,,1.0
9x27ep,6510,41.439081,-112.006907,BENLOMND,1.0,1.0
9x47er,6533,40.030278,-109.188333,EMERY,5.0,
9wve62,7001,38.542595,-104.660626,COLOEAST,1.0,1.0
9x5w98,7002,40.521809,-107.506652,CRAIG,,1.0
9wve62,7031,38.542595,-104.660626,COLOEAST,4.0,
9x5w98,7032,40.521809,-107.506652,CRAIG,4.0,
9r0vxp,8001,40.382027,-122.384572,OLINDA,,0.0
9q9wtp,8002,37.74752,-121.416448,TRACY,,0.0
9r1jcf,8003,40.397712,-122.265115,COTWDWAP,1.0,1.0
9qcf5u,8004,38.344823,-121.123005,RNCHSECO,1.0,1.0
9q9wtp,8005,37.74752,-121.416448,TRACYPMP,1.0,1.0
9r1jcf,8033,40.397712,-122.265115,COTWDWAP,1.0,
9qcf5u,8034,38.344823,-121.123005,RNCHSECO,2.0,
