name,bus,gen,cap,cf,units
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VI (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta VIII (partial),9q713t,WT,3.0,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta X,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
Alta XI,9q713t,WT,2.85,0.0,1
Alta XI,9q713t,WT,1.7,0.0,1
