id,model,startup,shutdown,cost
DALLES21_G,2,0,0,"0,50,0"
DALLES21_H,2,0,0,"0,10,0"
DALLES21_W,2,0,0,"0,0,0"
COULEE_B,2,0,0,"0,0,0"
COULEE_H,2,0,0,"0,10,0"
COULEE_W,2,0,0,"0,0,0"
HANFORD_G,2,0,0,"0,50,0"
HANFORD_H,2,0,0,"0,10,0"
HANFORD_N,2,0,0,"0,10,0"
HANFORD_W,2,0,0,"0,0,0"
NORTH G3_C,2,0,0,"0,80,0"
NORTH G3_G,2,0,0,"0,50,0"
NORTH G3_H,2,0,0,"0,10,0"
WCASCADE_G,2,0,0,"0,50,0"
WCASCADE_H,2,0,0,"0,10,0"
WCASCADE_W,2,0,0,"0,0,0"
CANAD G1_G,2,0,0,"0,50,0"
CANAD G1_H,2,0,0,"0,10,0"
CMAIN GM_C,2,0,0,"0,80,0"
CMAIN GM_G,2,0,0,"0,50,0"
CMAIN GM_R,2,0,0,"0,0,0"
CMAIN GM_S,2,0,0,"0,50,0"
CMAIN GM_W,2,0,0,"0,0,0"
MIDPOINT_B,2,0,0,"0,0,0"
MIDPOINT_G,2,0,0,"0,50,0"
MIDPOINT_H,2,0,0,"0,10,0"
MIDPOINT_S,2,0,0,"0,50,0"
MIDPOINT_W,2,0,0,"0,0,0"
COLSTRP_C,2,0,0,"0,80,0"
COLSTRP_G,2,0,0,"0,50,0"
MONTA G1_G,2,0,0,"0,50,0"
MONTA G1_H,2,0,0,"0,10,0"
MONTA G1_W,2,0,0,"0,0,0"
BRIDGER_C,2,0,0,"0,80,0"
BRIDGER_W,2,0,0,"0,0,0"
NAUGHT_C,2,0,0,"0,80,0"
NAUGHT_G,2,0,0,"0,50,0"
NAUGHT_H,2,0,0,"0,10,0"
VALMY_C,2,0,0,"0,80,0"
VALMY_E,2,0,0,"0,0,0"
VALMY_G,2,0,0,"0,50,0"
VALMY_W,2,0,0,"0,0,0"
EMERY_C,2,0,0,"0,80,0"
EMERY_G,2,0,0,"0,50,0"
EMERY_H,2,0,0,"0,10,0"
EMERY_S,2,0,0,"0,50,0"
EMERY_W,2,0,0,"0,0,0"
COLOEAST_C,2,0,0,"0,80,0"
COLOEAST_G,2,0,0,"0,50,0"
COLOEAST_P,2,0,0,"0,0,0"
COLOEAST_SC,2,0,0,"0,50,0"
COLOEAST_W,2,0,0,"0,0,0"
CRAIG_C,2,0,0,"0,80,0"
CRAIG_G,2,0,0,"0,50,0"
CRAIG_H,2,0,0,"0,10,0"
CRAIG_S,2,0,0,"0,50,0"
COTWDWAP_H,2,0,0,"0,10,0"
RNCHSECO_G,2,0,0,"0,50,0"
RNCHSECO_H,2,0,0,"0,10,0"
