I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,gen
3333,CG,620.0,81.668,398.0,-226.0,1.0,3303,1012.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1012.0,0.0,1,1.0,,,,,,,,,,Gas
3333,NG,191.0,81.668,202.0,-143.0,1.0,3303,312.0,0.0,0.2,0.0,0.0,1.0,1,100.0,312.0,0.0,1,1.0,,,,,,,,,,Gas
3433,NG,481.0,25.641,231.0,-175.0,1.0,3403,921.0,0.0,0.2,0.0,0.0,1.0,1,100.0,921.0,0.0,1,1.0,,,,,,,,,,Gas
3631,NG,67.0,-33.095,74.0,-34.0,1.015,3601,210.0,0.0,0.2,0.0,0.0,1.0,1,100.0,210.0,0.0,1,1.0,,,,,,,,,,Gas
3835,NG,229.0,28.865,662.0,-479.0,1.035,3805,2025.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2025.0,0.0,1,1.0,,,,,,,,,,Gas
3836,DG,679.0,-6.822,476.0,-352.0,1.019,3806,1497.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1497.0,0.0,1,1.0,,,,,,,,,,Gas
3933,CG,404.88,88.652,363.0,-82.0,1.02,3933,865.0,0.0,0.2,0.0,0.0,1.0,1,100.0,865.0,0.0,1,1.0,,,,,,,,,,Gas
3933,NG,901.97,88.652,500.0,-307.0,1.02,3933,1927.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1927.0,0.0,1,1.0,,,,,,,,,,Gas
4031,G,892.801,-168.528,502.0,-502.0,1.08,4001,2710.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2710.0,0.0,1,1.0,,,,,,,,,,Gas
4035,G,448.2,-122.614,307.0,-307.0,1.08,4005,1656.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1656.0,0.0,1,1.0,,,,,,,,,,Gas
4039,G,77.4,102.0,102.0,-102.0,1.08,4009,150.0,0.0,0.2,0.0,0.0,1.0,1,100.0,150.0,0.0,1,1.0,,,,,,,,,,Gas
4132,G,1854.899,52.261,1473.0,-1473.0,1.096,4102,2170.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2170.0,0.0,1,1.0,,,,,,,,,,Gas
4231,G,664.2,485.229,659.0,-659.0,1.12,4201,970.0,0.0,0.2,0.0,0.0,1.0,1,100.0,970.0,0.0,1,1.0,,,,,,,,,,Gas
4232,G,348.3,-3.607,592.0,-592.0,1.06,4202,872.0,0.0,0.2,0.0,0.0,1.0,1,100.0,872.0,0.0,1,1.0,,,,,,,,,,Gas
5031,G,821.7,534.329,605.0,-605.0,1.05,5001,2650.0,0.0,0.2,0.0,0.0,1.0,1,100.0,2650.0,0.0,1,1.0,,,,,,,,,,Gas
5032,G,2695.5,410.28,2200.0,-2200.0,1.055,5002,9636.0,0.0,0.2,0.0,0.0,1.0,1,100.0,9636.0,0.0,1,1.0,,,,,,,,,,Gas
6132,G,1043.1,-147.0,147.0,-147.0,1.03,6102,1272.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1272.0,0.0,1,1.0,,,,,,,,,,Gas
6231,G,225.0,-70.0,70.0,-70.0,1.06,6201,250.0,0.0,0.2,0.0,0.0,1.0,1,100.0,250.0,0.0,1,1.0,,,,,,,,,,Gas
6235,G,90.0,49.769,64.0,-64.0,1.05,6205,226.0,0.0,0.2,0.0,0.0,1.0,1,100.0,226.0,0.0,1,1.0,,,,,,,,,,Gas
6335,G,295.2,260.575,330.0,-330.0,1.06,6305,418.0,0.0,0.2,0.0,0.0,1.0,1,100.0,418.0,0.0,1,1.0,,,,,,,,,,Gas
6433,G,679.0,74.552,536.0,-536.0,1.11,6403,1369.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1369.0,0.0,1,1.0,,,,,,,,,,Gas
6533,G,1213.201,78.734,880.0,-880.0,1.065,6503,3239.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3239.0,0.0,1,1.0,,,,,,,,,,Gas
7031,G,2242.802,380.609,2092.0,-2092.0,1.02,7001,6346.0,0.0,0.2,0.0,0.0,1.0,1,100.0,6346.0,0.0,1,1.0,,,,,,,,,,Gas
7032,G,861.3,22.012,489.0,-489.0,1.015,7002,1483.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1483.0,0.0,1,1.0,,,,,,,,,,Gas
8034,G,2946.0,239.367,1280.0,-1280.0,1.0,8004,3754.0,0.0,0.2,0.0,0.0,1.0,1,100.0,3754.0,0.0,1,1.0,,,,,,,,,,Gas
