bus,BUS_I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF,NREG,GENTYPE,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
9q5g0q,2631,S,232.0,32.063,350.0,-350.0,1.015,2611,520.0,0.0,0.2,0.0,0.0,1.0,1,100.0,520.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,OLIVE,20,,2,1.0152,-9.58,1.1,0.9,1.1,0.9,34.31131,-118.455696
9qdbm8,3433,S,745.0,25.641,939.0,-562.0,1.0,3403,1426.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1426.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MC CALL,20,,2,1.0004,1.62,1.1,0.9,1.1,0.9,36.609214,-119.639632
9q713t,3835,S,150.0,28.865,500.0,-500.0,1.035,3805,1333.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1333.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MIDWAY,20,,2,1.0357,-4.17,1.1,0.9,1.1,0.9,35.408481,-119.456003
9q92vz,3932,S,1355.0,-242.757,1150.0,-500.0,1.0,3902,1426.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1426.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MOSSLAND,20,,2,0.9997,4.22,1.1,0.9,1.1,0.9,36.737604,-121.732796
9q9w99,3933,S,623.937,88.652,800.0,-500.0,1.02,3933,1333.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1333.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,TESLA,20,,2,1.02,0.0,1.1,0.9,1.1,0.9,37.71247,-121.565283
9r3wzq,4031,S,140.4,-168.528,250.0,-250.0,1.08,4001,427.0,0.0,0.2,0.0,0.0,1.0,1,100.0,427.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MALIN,20,,2,1.0846,23.7,1.1,0.9,1.1,0.9,42.004704,-121.318052
c2c10y,5032,S,2701.8,410.28,2205.0,-2205.0,1.055,5002,4410.2,0.0,0.2,0.0,0.0,1.0,1,100.0,4410.2,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,CMAIN GM,20,,2,1.0602,68.84,1.1,0.9,1.1,0.9,49.429986,-122.303722
9rwgcr,6132,S,180.0,-75.0,75.0,-75.0,1.03,6102,395.0,0.0,0.2,0.0,0.0,1.0,1,100.0,395.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,MIDPOINT,20,,2,1.0279,64.14,1.1,0.9,1.1,0.9,42.888986,-114.199277
9x47er,6533,S,566.1,78.734,500.0,-500.0,1.065,6503,1407.0,0.0,0.2,0.0,0.0,1.0,1,100.0,1407.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,EMERY,20,,2,1.0679,52.16,1.1,0.9,1.1,0.9,40.030278,-109.188333
9x5w98,7032,S,428.4,22.012,230.0,-230.0,1.015,7002,738.0,0.0,0.2,0.0,0.0,1.0,1,100.0,738.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,Solar,CRAIG,20,,2,1.0135,19.52,1.1,0.9,1.1,0.9,40.521809,-107.506652
