datetime,geocode,latitude,longitude,status,power[MVA],voltage_level[kV],voltage[pu],voltage[deg]
2020-08-01 01:00:00,9rcvn1,44.481129,-121.015420,ONLINE,44.9,500,1.101,0.562
2020-08-01 01:00:00,c245ue,45.677819,-120.733553,ONLINE,68.8,500,1.080,0.941
2020-08-01 01:00:00,9r3wzq,42.004704,-121.318052,ONLINE,1.7,345,1.080,-1.832
2020-08-01 01:00:00,c21g7y,45.606640,-121.115583,ONLINE,77.8,230,1.080,1.132
2020-08-01 01:00:00,c21g7u,45.594757,-121.113585,ONLINE,200.2,230,1.079,0.892
2020-08-01 01:00:00,c2e2u0,47.947893,-118.996055,ONLINE,29.8,500,1.128,-1.299
2020-08-01 01:00:00,c26crp,46.669392,-119.573343,ONLINE,124.9,500,1.096,-2.283
2020-08-01 01:00:00,c2kx95,47.746353,-117.373738,ONLINE,200.3,500,1.081,2.544
2020-08-01 01:00:00,c2kx95,47.746353,-117.373738,ONLINE,200.3,230,1.052,-2.140
2020-08-01 01:00:00,c2967d,48.222760,-121.837459,ONLINE,241.9,500,1.120,-2.195
2020-08-01 01:00:00,c237sz,47.065363,-121.779859,ONLINE,540.5,500,1.060,
