state,county,building_type,floorarea[sf]
AZ,Pima,warehouse,32053700
AZ,Pinal,apartment,7228300
AZ,Pinal,full_service_restaurant,411500
AZ,Pinal,hospital,618400
AZ,Pinal,hotel,1135300
AZ,Pinal,no_match,15328400
AZ,Pinal,office,1713200
AZ,Pinal,outpatient,1088100
AZ,Pinal,quick_service_restaurant,267400
AZ,Pinal,retail,9345300
AZ,Pinal,school,936500
AZ,Pinal,strip_mall,657900
AZ,Pinal,supermarket,905700
AZ,Pinal,warehouse,6911600
AZ,Santa Cruz,apartment,1154800
AZ,Santa Cruz,full_service_restaurant,91300
AZ,Santa Cruz,hospital,94700
AZ,Santa Cruz,hotel,376800
AZ,Santa Cruz,no_match,1502700
AZ,Santa Cruz,office,425400
AZ,Santa Cruz,outpatient,18000
AZ,Santa Cruz,quick_service_restaurant,23200
AZ,Santa Cruz,retail,1873600
AZ,Santa Cruz,strip_mall,132000
AZ,Santa Cruz,warehouse,2273900
AZ,Yavapai,apartment,6216300
AZ,Yavapai,full_service_restaurant,484800
AZ,Yavapai,hotel,2659400
AZ,Yavapai,no_match,3720200
AZ,Yavapai,office,2773400
AZ,Yavapai,outpatient,930500
AZ,Yavapai,quick_service_restaurant,139300
AZ,Yavapai,retail,8020100
AZ,Yavapai,school,133300
AZ,Yavapai,strip_mall,678500
AZ,Yavapai,supermarket,972000
AZ,Yavapai,warehouse,3531300
AZ,Yuma,apartment,5031100
AZ,Yuma,full_service_restaurant,197600
AZ,Yuma,hospital,75800
AZ,Yuma,hotel,1431800
AZ,Yuma,no_match,5344900
AZ,Yuma,office,1466000
AZ,Yuma,outpatient,387100
AZ,Yuma,quick_service_restaurant,114700
AZ,Yuma,retail,6274600
AZ,Yuma,school,2400
AZ,Yuma,strip_mall,277000
AZ,Yuma,supermarket,330300
AZ,Yuma,warehouse,3527300
CA,Alameda,apartment,244969200
CA,Alameda,full_service_restaurant,3208300
CA,Alameda,hospital,5894800
CA,Alameda,hotel,13351200
CA,Alameda,no_match,90258900
CA,Alameda,office,84127300
CA,Alameda,outpatient,9797500
CA,Alameda,quick_service_restaurant,706000
CA,Alameda,retail,51329200
CA,Alameda,school,5879200
CA,Alameda,strip_mall,6843000
CA,Alameda,supermarket,1994200
CA,Alameda,warehouse,158914200
CA,Alpine,hotel,128700
CA,Alpine,no_match,88600
CA,Alpine,retail,6300
CA,Alpine,strip_mall,3800
CA,Amador,apartment,614300
CA,Amador,full_service_restaurant,49400
CA,Amador,hotel,205100
CA,Amador,no_match,851300
CA,Amador,office,307200
CA,Amador,outpatient,64000
CA,Amador,quick_service_restaurant,17700
CA,Amador,retail,1298100
CA,Amador,strip_mall,110700
CA,Amador,supermarket,187300
CA,Amador,warehouse,524300
CA,Butte,apartment,15743100
CA,Butte,full_service_restaurant,364000
CA,Butte,hospital,278900
CA,Butte,hotel,795800
CA,Butte,no_match,5482800
CA,Butte,office,5258200
CA,Butte,outpatient,931100
CA,Butte,quick_service_restaurant,131400
CA,Butte,retail,9747200
CA,Butte,school,340200
CA,Butte,strip_mall,828300
CA,Butte,supermarket,368400
CA,Butte,warehouse,6324300
CA,Calaveras,apartment,474300
CA,Calaveras,full_service_restaurant,49400
CA,Calaveras,hotel,180800
CA,Calaveras,no_match,230400
CA,Calaveras,office,309300
CA,Calaveras,outpatient,28500
CA,Calaveras,quick_service_restaurant,9600
CA,Calaveras,retail,960700
CA,Calaveras,strip_mall,133500
CA,Calaveras,supermarket,26200
CA,Calaveras,warehouse,570000
CA,Colusa,apartment,640200
CA,Colusa,full_service_restaurant,32800
CA,Colusa,hotel,271600
CA,Colusa,no_match,280200
CA,Colusa,office,86300
CA,Colusa,outpatient,22200
CA,Colusa,quick_service_restaurant,19200
CA,Colusa,retail,426900
CA,Colusa,school,4100
CA,Colusa,strip_mall,17800
CA,Colusa,supermarket,22800
CA,Colusa,warehouse,334000
CA,Contra Costa,apartment,80438300
CA,Contra Costa,full_service_restaurant,1496400
CA,Contra Costa,hospital,3209500
CA,Contra Costa,hotel,4550700
CA,Contra Costa,no_match,25816000
CA,Contra Costa,office,37969800
CA,Contra Costa,outpatient,5447000
CA,Contra Costa,quick_service_restaurant,529400
CA,Contra Costa,retail,39738000
CA,Contra Costa,school,1638200
CA,Contra Costa,strip_mall,2242100
CA,Contra Costa,supermarket,1540300
CA,Contra Costa,warehouse,38876600
CA,Del Norte,apartment,938900
CA,Del Norte,full_service_restaurant,40500
CA,Del Norte,hotel,258100
CA,Del Norte,no_match,1102200
CA,Del Norte,office,196800
CA,Del Norte,outpatient,21900
CA,Del Norte,quick_service_restaurant,12400
CA,Del Norte,retail,858800
CA,Del Norte,strip_mall,48300
CA,Del Norte,supermarket,20000
CA,Del Norte,warehouse,197900
CA,El Dorado,apartment,6210400
CA,El Dorado,full_service_restaurant,296500
CA,El Dorado,hotel,1987300
CA,El Dorado,no_match,3330800
CA,El Dorado,office,4416400
CA,El Dorado,outpatient,333200
CA,El Dorado,quick_service_restaurant,59700
CA,El Dorado,retail,5866600
CA,El Dorado,school,59100
CA,El Dorado,strip_mall,370300
CA,El Dorado,supermarket,374100
CA,El Dorado,warehouse,3916000
CA,Fresno,apartment,80144100
CA,Fresno,full_service_restaurant,1699800
CA,Fresno,hospital,3967000
CA,Fresno,hotel,5652600
CA,Fresno,no_match,23161600
CA,Fresno,office,25855200
CA,Fresno,outpatient,5535600
CA,Fresno,quick_service_restaurant,784700
CA,Fresno,retail,44999100
CA,Fresno,school,1025400
CA,Fresno,strip_mall,3643700
CA,Fresno,supermarket,2303600
CA,Fresno,warehouse,72165300
CA,Glenn,apartment,1003400
CA,Glenn,full_service_restaurant,34800
CA,Glenn,hotel,158500
CA,Glenn,no_match,385900
CA,Glenn,office,187600
CA,Glenn,outpatient,12700
CA,Glenn,quick_service_restaurant,14500
CA,Glenn,retail,789900
CA,Glenn,strip_mall,66200
CA,Glenn,supermarket,40000
CA,Glenn,warehouse,648100
CA,Humboldt,apartment,5688300
CA,Humboldt,full_service_restaurant,217700
CA,Humboldt,hospital,20300
CA,Humboldt,hotel,1474700
CA,Humboldt,no_match,1934100
CA,Humboldt,office,2881300
CA,Humboldt,outpatient,399800
CA,Humboldt,quick_service_restaurant,53700
CA,Humboldt,retail,3690200
CA,Humboldt,school,91600
CA,Humboldt,strip_mall,365200
CA,Humboldt,supermarket,285200
CA,Humboldt,warehouse,2896400
CA,Imperial,apartment,6619400
CA,Imperial,full_service_restaurant,320100
CA,Imperial,hotel,1480000
CA,Imperial,no_match,3504600
CA,Imperial,office,1357200
CA,Imperial,outpatient,421500
CA,Imperial,quick_service_restaurant,148700
CA,Imperial,retail,6997200
CA,Imperial,school,70000
CA,Imperial,strip_mall,1303100
CA,Imperial,supermarket,347800
CA,Imperial,warehouse,3854000
CA,Inyo,apartment,91300
CA,Inyo,full_service_restaurant,31400
CA,Inyo,hotel,181100
CA,Inyo,no_match,75800
CA,Inyo,office,116900
CA,Inyo,outpatient,8000
CA,Inyo,quick_service_restaurant,15500
CA,Inyo,retail,834200
CA,Inyo,strip_mall,31900
CA,Inyo,supermarket,6600
CA,Inyo,warehouse,18800
CA,Kern,apartment,36093600
CA,Kern,full_service_restaurant,1256000
CA,Kern,hospital,977900
CA,Kern,hotel,5705800
CA,Kern,no_match,21817100
CA,Kern,office,13631700
CA,Kern,outpatient,4193300
CA,Kern,quick_service_restaurant,667300
CA,Kern,retail,31098900
CA,Kern,school,682300
CA,Kern,strip_mall,3323600
CA,Kern,supermarket,1247700
CA,Kern,warehouse,48439700
CA,Kings,apartment,9874600
CA,Kings,full_service_restaurant,228400
CA,Kings,hospital,275700
CA,Kings,hotel,478400
CA,Kings,no_match,4407000
CA,Kings,office,1407300
CA,Kings,outpatient,640200
CA,Kings,quick_service_restaurant,148300
CA,Kings,retail,5258300
CA,Kings,school,103500
CA,Kings,strip_mall,578100
CA,Kings,supermarket,273500
CA,Kings,warehouse,7317000
CA,Lake,apartment,1205700
CA,Lake,full_service_restaurant,113600
CA,Lake,hotel,807500
CA,Lake,no_match,2444400
CA,Lake,office,526100
CA,Lake,outpatient,124600
CA,Lake,quick_service_restaurant,18400
CA,Lake,retail,1276700
CA,Lake,strip_mall,148700
CA,Lake,supermarket,92900
CA,Lake,warehouse,679500
CA,Lassen,apartment,482800
CA,Lassen,full_service_restaurant,18800
CA,Lassen,hotel,132100
CA,Lassen,no_match,335500
CA,Lassen,office,186700
CA,Lassen,outpatient,9200
CA,Lassen,quick_service_restaurant,15200
CA,Lassen,retail,609800
CA,Lassen,strip_mall,94600
CA,Lassen,supermarket,25700
CA,Lassen,warehouse,148000
CA,Los Angeles,apartment,1359531500
CA,Los Angeles,full_service_restaurant,18179900
CA,Los Angeles,hospital,26248500
CA,Los Angeles,hotel,92833100
CA,Los Angeles,no_match,365680100
CA,Los Angeles,office,435351200
CA,Los Angeles,outpatient,51557300
CA,Los Angeles,quick_service_restaurant,5704300
CA,Los Angeles,retail,294061400
CA,Los Angeles,school,18463800
CA,Los Angeles,strip_mall,75344700
CA,Los Angeles,supermarket,13783100
CA,Los Angeles,warehouse,693854500
CA,Madera,apartment,4959200
CA,Madera,full_service_restaurant,223400
CA,Madera,hospital,986100
CA,Madera,hotel,908500
CA,Madera,no_match,4559100
CA,Madera,office,1262700
CA,Madera,outpatient,628400
CA,Madera,quick_service_restaurant,107700
CA,Madera,retail,5677700
CA,Madera,school,30800
CA,Madera,strip_mall,227500
CA,Madera,supermarket,316400
CA,Madera,warehouse,6665100
CA,Marin,apartment,22080200
CA,Marin,full_service_restaurant,405100
CA,Marin,hospital,983400
CA,Marin,hotel,1723500
CA,Marin,no_match,2349700
CA,Marin,office,14073300
CA,Marin,outpatient,1444300
CA,Marin,quick_service_restaurant,71600
CA,Marin,retail,10369300
CA,Marin,school,438600
CA,Marin,strip_mall,1378400
CA,Marin,supermarket,434400
CA,Marin,warehouse,4812800
CA,Mariposa,apartment,142300
CA,Mariposa,full_service_restaurant,1100
CA,Mariposa,hotel,690000
CA,Mariposa,no_match,98200
CA,Mariposa,office,19300
CA,Mariposa,quick_service_restaurant,2300
CA,Mariposa,retail,118800
CA,Mariposa,strip_mall,15100
CA,Mariposa,warehouse,62200
CA,Mendocino,apartment,2619100
CA,Mendocino,full_service_restaurant,136300
CA,Mendocino,hospital,46200
CA,Mendocino,hotel,1197700
CA,Mendocino,no_match,1519300
CA,Mendocino,office,795800
CA,Mendocino,outpatient,129600
CA,Mendocino,quick_service_restaurant,27400
CA,Mendocino,retail,2374700
CA,Mendocino,school,84500
CA,Mendocino,strip_mall,314200
CA,Mendocino,supermarket,82100
CA,Mendocino,warehouse,875300
CA,Merced,apartment,13134800
CA,Merced,full_service_restaurant,424500
CA,Merced,hospital,793400
CA,Merced,hotel,1327100
CA,Merced,no_match,4463700
CA,Merced,office,3228300
CA,Merced,outpatient,1313000
CA,Merced,quick_service_restaurant,194900
CA,Merced,retail,9163100
CA,Merced,school,633800
CA,Merced,strip_mall,1039300
CA,Merced,supermarket,589000
CA,Merced,warehouse,9025900
CA,Modoc,apartment,135400
CA,Modoc,full_service_restaurant,11200
CA,Modoc,hotel,83700
CA,Modoc,no_match,53300
CA,Modoc,office,69600
CA,Modoc,quick_service_restaurant,5200
CA,Modoc,retail,112900
CA,Modoc,strip_mall,28100
CA,Modoc,warehouse,68500
CA,Mono,apartment,275900
CA,Mono,full_service_restaurant,49000
CA,Mono,hotel,696900
CA,Mono,no_match,74200
CA,Mono,office,130600
CA,Mono,quick_service_restaurant,500
CA,Mono,retail,374900
CA,Mono,strip_mall,3800
CA,Mono,supermarket,66400
CA,Mono,warehouse,90500
CA,Monterey,apartment,27011100
CA,Monterey,full_service_restaurant,676500
CA,Monterey,hospital,595000
CA,Monterey,hotel,5720100
CA,Monterey,no_match,10604600
CA,Monterey,office,9180600
CA,Monterey,outpatient,1786600
CA,Monterey,quick_service_restaurant,197500
CA,Monterey,retail,12842800
CA,Monterey,school,138700
CA,Monterey,strip_mall,2047400
CA,Monterey,supermarket,622100
CA,Monterey,warehouse,16787500
CA,Napa,apartment,10813000
CA,Napa,full_service_restaurant,324500
CA,Napa,hospital,616700
CA,Napa,hotel,3801200
CA,Napa,no_match,15006700
CA,Napa,office,3710400
CA,Napa,outpatient,730000
CA,Napa,quick_service_restaurant,58100
CA,Napa,retail,4762100
CA,Napa,school,207800
CA,Napa,strip_mall,431400
CA,Napa,supermarket,212200
CA,Napa,warehouse,19538000
CA,Nevada,apartment,2634100
CA,Nevada,full_service_restaurant,161200
CA,Nevada,hospital,312100
CA,Nevada,hotel,443500
CA,Nevada,no_match,1334500
CA,Nevada,office,2528600
CA,Nevada,outpatient,196000
CA,Nevada,quick_service_restaurant,14300
CA,Nevada,retail,2605100
CA,Nevada,school,33000
CA,Nevada,strip_mall,169200
CA,Nevada,supermarket,287900
CA,Nevada,warehouse,2079700
CA,Orange,apartment,368128600
CA,Orange,full_service_restaurant,8225700
CA,Orange,hospital,9082300
CA,Orange,hotel,42773500
CA,Orange,no_match,110534900
CA,Orange,office,161578300
CA,Orange,outpatient,21388400
CA,Orange,quick_service_restaurant,2634900
CA,Orange,retail,112444400
CA,Orange,school,3553100
CA,Orange,strip_mall,13837700
CA,Orange,supermarket,3192300
CA,Orange,warehouse,209810900
CA,Placer,apartment,23788900
CA,Placer,full_service_restaurant,813300
CA,Placer,hospital,1151400
CA,Placer,hotel,4113700
CA,Placer,no_match,9942900
CA,Placer,office,17389900
CA,Placer,outpatient,3193000
CA,Placer,quick_service_restaurant,254800
CA,Placer,retail,19119400
CA,Placer,school,494900
CA,Placer,strip_mall,1149700
CA,Placer,supermarket,680100
CA,Placer,warehouse,21794700
CA,Plumas,apartment,229300
CA,Plumas,full_service_restaurant,41800
CA,Plumas,hospital,11000
CA,Plumas,hotel,225400
CA,Plumas,no_match,302000
CA,Plumas,office,130200
CA,Plumas,outpatient,7200
CA,Plumas,quick_service_restaurant,3400
CA,Plumas,retail,565300
CA,Plumas,school,5700
CA,Plumas,strip_mall,46800
CA,Plumas,supermarket,25300
CA,Plumas,warehouse,329100
CA,Riverside,apartment,123574600
CA,Riverside,full_service_restaurant,3963500
CA,Riverside,hospital,5081600
CA,Riverside,hotel,25040400
CA,Riverside,no_match,87724800
CA,Riverside,office,35710200
CA,Riverside,outpatient,11539200
CA,Riverside,quick_service_restaurant,2111200
CA,Riverside,retail,90286800
CA,Riverside,school,3477700
CA,Riverside,strip_mall,8166200
CA,Riverside,supermarket,5060500
CA,Riverside,warehouse,248922100
CA,Sacramento,apartment,138144800
CA,Sacramento,full_service_restaurant,2410100
CA,Sacramento,hospital,7901200
CA,Sacramento,hotel,11209900
CA,Sacramento,no_match,43671900
CA,Sacramento,office,90335400
CA,Sacramento,outpatient,7263500
CA,Sacramento,quick_service_restaurant,980600
CA,Sacramento,retail,63393900
CA,Sacramento,school,2107000
CA,Sacramento,strip_mall,4055700
CA,Sacramento,supermarket,2379000
CA,Sacramento,warehouse,103503800
CA,San Benito,apartment,1385700
CA,San Benito,full_service_restaurant,51100
CA,San Benito,hospital,36900
CA,San Benito,hotel,211200
CA,San Benito,no_match,2561000
CA,San Benito,office,832500
CA,San Benito,outpatient,157200
CA,San Benito,quick_service_restaurant,37100
CA,San Benito,retail,1549100
CA,San Benito,school,52000
CA,San Benito,strip_mall,289000
CA,San Benito,supermarket,166300
CA,San Benito,warehouse,2947800
CA,San Bernardino,apartment,132185400
CA,San Bernardino,full_service_restaurant,3923300
CA,San Bernardino,hospital,3610300
CA,San Bernardino,hotel,12837400
CA,San Bernardino,no_match,75916600
CA,San Bernardino,office,39740800
CA,San Bernardino,outpatient,10193300
CA,San Bernardino,quick_service_restaurant,2363900
CA,San Bernardino,retail,82014300
CA,San Bernardino,school,1154800
CA,San Bernardino,strip_mall,6088500
CA,San Bernardino,supermarket,4876300
CA,San Bernardino,warehouse,413202600
CA,San Diego,apartment,446530500
CA,San Diego,full_service_restaurant,6932400
CA,San Diego,hospital,10896700
CA,San Diego,hotel,45884500
CA,San Diego,no_match,151576100
CA,San Diego,office,130353900
CA,San Diego,outpatient,19566800
CA,San Diego,quick_service_restaurant,2044400
CA,San Diego,retail,110652200
CA,San Diego,school,4256200
CA,San Diego,strip_mall,12961000
CA,San Diego,supermarket,4384500
CA,San Diego,warehouse,122516100
CA,San Francisco,apartment,242541100
CA,San Francisco,full_service_restaurant,1322400
CA,San Francisco,hospital,7632500
CA,San Francisco,hotel,32159100
CA,San Francisco,no_match,29468600
CA,San Francisco,office,144720200
CA,San Francisco,outpatient,4360000
CA,San Francisco,quick_service_restaurant,98200
CA,San Francisco,retail,14602700
CA,San Francisco,school,3721400
CA,San Francisco,strip_mall,6854800
CA,San Francisco,supermarket,948300
CA,San Francisco,warehouse,27220200
CA,San Joaquin,apartment,36691700
CA,San Joaquin,full_service_restaurant,904200
CA,San Joaquin,hospital,1114900
CA,San Joaquin,hotel,2994900
CA,San Joaquin,no_match,29742800
CA,San Joaquin,office,13040000
CA,San Joaquin,outpatient,2186000
CA,San Joaquin,quick_service_restaurant,589600
CA,San Joaquin,retail,26699000
CA,San Joaquin,school,634100
CA,San Joaquin,strip_mall,1631000
CA,San Joaquin,supermarket,1621900
CA,San Joaquin,warehouse,122174000
CA,San Luis Obispo,apartment,13887500
CA,San Luis Obispo,full_service_restaurant,1199500
CA,San Luis Obispo,hospital,564600
CA,San Luis Obispo,hotel,7853700
CA,San Luis Obispo,no_match,10101200
CA,San Luis Obispo,office,7893400
CA,San Luis Obispo,outpatient,1280800
CA,San Luis Obispo,quick_service_restaurant,160600
CA,San Luis Obispo,retail,9955100
CA,San Luis Obispo,school,71400
CA,San Luis Obispo,strip_mall,1841700
CA,San Luis Obispo,supermarket,721100
CA,San Luis Obispo,warehouse,6962700
CA,San Mateo,apartment,96942700
CA,San Mateo,full_service_restaurant,1154700
CA,San Mateo,hospital,2751300
CA,San Mateo,hotel,13352900
CA,San Mateo,no_match,32865100
CA,San Mateo,office,69214700
CA,San Mateo,outpatient,3208800
CA,San Mateo,quick_service_restaurant,275700
CA,San Mateo,retail,24333600
CA,San Mateo,school,440300
CA,San Mateo,strip_mall,3882900
CA,San Mateo,supermarket,1179700
CA,San Mateo,warehouse,33870400
CA,Santa Barbara,apartment,29658500
CA,Santa Barbara,full_service_restaurant,1107700
CA,Santa Barbara,hospital,652000
CA,Santa Barbara,hotel,7304200
CA,Santa Barbara,no_match,7667600
CA,Santa Barbara,office,13944200
CA,Santa Barbara,outpatient,2074400
CA,Santa Barbara,quick_service_restaurant,240100
CA,Santa Barbara,retail,17350500
CA,Santa Barbara,school,586600
CA,Santa Barbara,strip_mall,2699600
CA,Santa Barbara,supermarket,741800
CA,Santa Barbara,warehouse,14210900
CA,Santa Clara,apartment,256297800
CA,Santa Clara,full_service_restaurant,2759800
CA,Santa Clara,hospital,8362500
CA,Santa Clara,hotel,21511300
CA,Santa Clara,no_match,128766800
CA,Santa Clara,office,185609900
CA,Santa Clara,outpatient,9570000
CA,Santa Clara,quick_service_restaurant,881000
CA,Santa Clara,retail,69687200
CA,Santa Clara,school,4131100
CA,Santa Clara,strip_mall,8665300
CA,Santa Clara,supermarket,2555700
CA,Santa Clara,warehouse,85827000
CA,Santa Cruz,apartment,13197600
CA,Santa Cruz,full_service_restaurant,551600
CA,Santa Cruz,hospital,387400
CA,Santa Cruz,hotel,3150000
CA,Santa Cruz,no_match,6763300
CA,Santa Cruz,office,7398300
CA,Santa Cruz,outpatient,1235300
CA,Santa Cruz,quick_service_restaurant,140700
CA,Santa Cruz,retail,9798500
CA,Santa Cruz,school,408000
CA,Santa Cruz,strip_mall,1051500
CA,Santa Cruz,supermarket,376400
CA,Santa Cruz,warehouse,7253800
CA,Shasta,apartment,6700100
CA,Shasta,full_service_restaurant,298100
CA,Shasta,hospital,303600
CA,Shasta,hotel,1571300
CA,Shasta,no_match,3388300
CA,Shasta,office,3035000
CA,Shasta,outpatient,1373100
CA,Shasta,quick_service_restaurant,94600
CA,Shasta,retail,9238600
CA,Shasta,school,93300
CA,Shasta,strip_mall,611200
CA,Shasta,supermarket,210800
CA,Shasta,warehouse,4508300
CA,Sierra,apartment,52200
CA,Sierra,full_service_restaurant,12400
CA,Sierra,hotel,63500
CA,Sierra,no_match,29800
CA,Sierra,office,16300
CA,Sierra,retail,58100
CA,Sierra,school,23000
CA,Siskiyou,apartment,1013900
CA,Siskiyou,full_service_restaurant,103000
CA,Siskiyou,hotel,613900
CA,Siskiyou,no_match,610000
CA,Siskiyou,office,396100
CA,Siskiyou,outpatient,27000
CA,Siskiyou,quick_service_restaurant,11600
CA,Siskiyou,retail,760400
CA,Siskiyou,school,2800
CA,Siskiyou,strip_mall,178300
CA,Siskiyou,supermarket,155100
CA,Siskiyou,warehouse,675900
CA,Solano,apartment,29696700
CA,Solano,full_service_restaurant,841300
CA,Solano,hospital,2245300
CA,Solano,hotel,2367000
CA,Solano,no_match,18191700
CA,Solano,office,11506200
CA,Solano,outpatient,1716700
CA,Solano,quick_service_restaurant,324000
CA,Solano,retail,18896400
CA,Solano,school,219000
CA,Solano,strip_mall,940300
CA,Solano,supermarket,343800
CA,Solano,warehouse,39138800
CA,Sonoma,apartment,41471000
CA,Sonoma,full_service_restaurant,998400
CA,Sonoma,hospital,1374700
CA,Sonoma,hotel,4683300
CA,Sonoma,no_match,23745500
CA,Sonoma,office,19726200
CA,Sonoma,outpatient,2450700
CA,Sonoma,quick_service_restaurant,224900
CA,Sonoma,retail,18298100
CA,Sonoma,school,426600
CA,Sonoma,strip_mall,1902700
CA,Sonoma,supermarket,980500
CA,Sonoma,warehouse,26145100
CA,Stanislaus,apartment,21430300
CA,Stanislaus,full_service_restaurant,1485800
CA,Stanislaus,hospital,1323300
CA,Stanislaus,hotel,2192000
CA,Stanislaus,no_match,26801300
CA,Stanislaus,office,8324000
CA,Stanislaus,outpatient,2634000
CA,Stanislaus,quick_service_restaurant,420300
CA,Stanislaus,retail,21619900
CA,Stanislaus,school,324300
CA,Stanislaus,strip_mall,2220300
CA,Stanislaus,supermarket,924900
CA,Stanislaus,warehouse,50869400
CA,Sutter,apartment,4111500
CA,Sutter,full_service_restaurant,112300
CA,Sutter,hospital,108300
CA,Sutter,hotel,311400
CA,Sutter,no_match,970300
CA,Sutter,office,1360600
CA,Sutter,outpatient,349600
CA,Sutter,quick_service_restaurant,29800
CA,Sutter,retail,4200500
CA,Sutter,school,51900
CA,Sutter,strip_mall,140900
CA,Sutter,supermarket,64200
CA,Sutter,warehouse,5316300
CA,Tehama,apartment,1682100
CA,Tehama,full_service_restaurant,53000
CA,Tehama,hotel,388200
CA,Tehama,no_match,1269000
CA,Tehama,office,347200
CA,Tehama,outpatient,43500
CA,Tehama,quick_service_restaurant,29500
CA,Tehama,retail,1717000
CA,Tehama,strip_mall,50300
CA,Tehama,supermarket,100600
CA,Tehama,warehouse,1765500
CA,Trinity,apartment,86900
CA,Trinity,full_service_restaurant,27400
CA,Trinity,hotel,56900
CA,Trinity,no_match,126100
CA,Trinity,office,33100
CA,Trinity,outpatient,2400
CA,Trinity,retail,243900
CA,Trinity,warehouse,24800
CA,Tulare,apartment,13621100
CA,Tulare,full_service_restaurant,721400
CA,Tulare,hospital,967000
CA,Tulare,hotel,1886700
CA,Tulare,no_match,14434500
CA,Tulare,office,6411200
CA,Tulare,outpatient,1758700
