geocode,heating[MW/degC],cooling[MW/degC,solar[MW/W/m^2]
9xp5t3,0.031,0.018,-0.0
9xpnzn,0.018,0.004,0.0
9xr0wb,-0.004,0.012,-0.0
9xsh6r,0.058,0.035,-0.0
9xsuw9,0.057,0.03,-0.0
9xtsyz,0.01,-0.0,-0.0
9xu4w9,0.054,0.021,-0.001
9xugqu,0.053,0.011,-0.0
9xv9km,0.012,0.009,-0.0
9xvtst,0.032,0.005,-0.0
c0pfxf,0.059,0.001,-0.0
c0rbz7,0.037,0.003,0.0
c0run2,0.05,0.004,-0.0
c0xcsy,0.043,0.008,-0.0
c207nu,0.03,0.002,-0.0
c20gn7,0.033,-0.005,-0.0
c20jc4,0.058,0.011,-0.0
c20mr5,0.024,-0.0,-0.0
c20pr7,0.011,-0.001,-0.0
c20uku,0.033,0.001,-0.0
c20yb3,0.052,0.009,-0.0
c210gm,0.037,0.007,-0.0
c216zt,0.031,-0.001,-0.0
c21bfv,0.036,0.006,-0.0
c21mbf,0.053,-0.001,-0.0
c22bzp,0.055,0.025,-0.0
c22ehb,0.04,0.009,-0.0
c22mmh,0.046,0.003,-0.0
c22pvn,0.027,-0.008,0.0
c22z10,0.045,0.005,-0.0
c235sm,0.041,-0.003,-0.0
c23q5t,0.029,-0.01,-0.0
c244mb,0.019,-0.003,-0.0
c246qn,0.017,-0.0,-0.0
c24fqm,0.071,0.025,-0.001
c24hgw,0.036,-0.003,-0.0
c25e65,0.047,0.009,-0.0
c25nbr,0.049,0.004,-0.0
c25xpu,0.036,-0.006,-0.0
c260k3,0.064,0.014,-0.001
c26hjf,0.067,0.002,-0.0
c26zs7,0.049,0.003,-0.0
c272wp,0.074,0.022,-0.0
c27ern,0.048,0.009,-0.0
c27h96,0.105,0.01,-0.001
c27y9q,0.059,0.009,0.0
c287yw,0.033,-0.003,-0.0
c28cbw,0.03,-0.007,0.0
c2933q,0.038,0.012,-0.0
c297u5,0.036,0.026,-0.0
c29mge,0.041,0.009,-0.0
c2d0r0,0.059,-0.043,-0.0
c2du5j,0.057,0.006,-0.0
c2eey8,0.029,0.01,-0.0
c2h1dz,0.009,0.005,-0.0
c2hemk,0.078,0.026,-0.0
c2hpkg,0.015,-0.004,-0.0
c2hwsr,0.033,-0.005,-0.0
c2k2jk,0.014,-0.001,-0.0
c2k6v6,0.034,0.006,-0.0
c2kwbm,0.065,0.013,-0.0
c2mh9g,0.049,0.002,-0.0
c2p8z0,0.043,0.005,-0.0
c2pw1r,0.045,0.019,-0.0
c2s5q0,0.082,0.008,-0.0
c2sshm,0.055,0.015,-0.0
c2t4f7,0.075,0.02,-0.0
c2tjkq,0.062,0.017,-0.0
c2wfue,0.051,0.013,-0.0
c80fyq,0.052,0.021,-0.0
c80xwf,0.015,0.004,-0.0
c82v4j,0.08,0.021,-0.0
c843qb,0.064,0.013,-0.0
c85d36,0.021,0.006,-0.0
c86kdm,0.074,0.022,-0.0
c892qv,0.126,0.065,-0.001
c8de82,0.018,0.011,-0.0
c8hznj,0.027,0.002,-0.0
c8jdvw,0.002,0.002,-0.0
c8jz2p,0.028,-0.011,0.0
c8mkuu,0.048,0.006,-0.0
c8svw6,0.002,0.002,-0.0
