name,longitude_gen,latitude_gen,elevation[m]
Alta I,-118.374687,35.050495,1351.013184
Alta I,-118.36869,35.027496,1442.436523
Alta I,-118.381882,35.030018,1568.325562
Alta I,-118.375191,35.049294,1356.144043
Alta I,-118.373688,35.051094,1356.295532
Alta I,-118.375305,35.038174,1473.633667
Alta I,-118.357689,35.032295,1303.233521
Alta I,-118.356491,35.047894,1284.45874
Alta I,-118.358185,35.030697,1285.494751
Alta I,-118.370186,35.052494,1374.328003
Alta I,-118.377388,35.046894,1375.11853
Alta I,-118.388191,35.053097,1514.803223
Alta I,-118.38739,35.026894,1641.194946
Alta I,-118.371887,35.034595,1406.762939
Alta I,-118.355339,35.033531,1282.6521
Alta I,-118.39209,35.017696,1641.19397
Alta I,-118.368286,35.036194,1391.847534
Alta I,-118.34729,35.057693,1266.033813
Alta I,-118.357391,35.047195,1295.111572
Alta I,-118.391586,35.022095,1660.146118
Alta I,-118.39566,35.049759,1564.640137
Alta I,-118.396889,35.049496,1578.991333
Alta I,-118.387886,35.025394,1664.965088
Alta I,-118.370285,35.035095,1413.112915
Alta I,-118.357185,35.038094,1305.935791
Alta I,-118.382889,35.028595,1602.807129
Alta I,-118.39109,35.023296,1677.126099
Alta I,-118.373985,35.038593,1457.721558
Alta I,-118.371284,35.051395,1357.591064
Alta I,-118.391891,35.019196,1659.610107
Alta I,-118.384361,35.027653,1628.751953
Alta I,-118.391586,35.020596,1655.644409
Alta I,-118.390884,35.050995,1533.534058
Alta I,-118.372086,35.032795,1406.245239
Alta I,-118.347191,35.027393,1272.256104
Alta I,-118.372185,35.027096,1475.156128
Alta I,-118.364189,35.028095,1349.479004
Alta I,-118.348686,35.025295,1243.138672
Alta I,-118.37973,35.045631,1379.332764
Alta I,-118.358185,35.037193,1324.978882
Alta I,-118.361389,35.020676,1319.552002
Alta I,-118.360291,35.035496,1307.050171
Alta I,-118.35849,35.046696,1304.277466
Alta I,-118.380989,35.050797,1398.891846
Alta I,-118.359085,35.021496,1310.046631
Alta I,-118.363686,35.043694,1343.599609
Alta I,-118.38121,35.03186,1554.937866
Alta I,-118.365189,35.038197,1352.351196
Alta I,-118.378685,35.046494,1369.153687
Alta I,-118.347389,35.026096,1262.467896
Alta I,-118.376884,35.026096,1563.326782
Alta I,-118.373291,35.026695,1501.18457
Alta I,-118.362022,35.035137,1322.18103
Alta I,-118.380585,35.044594,1387.586914
Alta I,-118.375389,35.025696,1536.5625
Alta I,-118.362442,35.044006,1327.475708
Alta I,-118.358986,35.036297,1321.088989
Alta I,-118.356888,35.032993,1300.113892
Alta I,-118.351585,35.055496,1261.694092
Alta I,-118.361588,35.044796,1317.953857
Alta I,-118.382599,35.050255,1412.188232
Alta II,-118.235176,35.017097,921.4169312
Alta II,-118.223885,35.008194,900.3459473
Alta II,-118.234787,35.033295,919.02948
Alta II,-118.225861,35.031601,902.0401001
Alta II,-118.236786,35.032696,921.9852295
Alta II,-118.22979,35.034695,912.4386597
Alta II,-118.224388,35.017796,902.0466309
Alta II,-118.234406,35.00824,918.8536987
Alta II,-118.223885,35.009495,901.8074951
Alta II,-118.225487,35.016994,903.3014526
Alta II,-118.222588,35.032894,898.7698364
Alta II,-118.22879,35.028595,910.1178589
Alta II,-118.223785,35.012096,901.6519775
Alta II,-118.223587,35.014793,900.776001
Alta II,-118.232986,35.033695,915.3358154
Alta II,-118.22979,35.027393,912.3476563
Alta II,-118.223457,35.018707,900.3728027
Alta II,-118.247185,35.034695,947.5197144
Alta II,-118.233498,35.010849,920.4436646
Alta II,-118.230988,35.026596,913.8967896
Alta II,-118.231384,35.034195,913.6873169
Alta II,-118.223686,35.013393,901.1831055
Alta II,-118.248291,35.033894,948.9381104
Alta II,-118.246185,35.035496,945.9056396
Alta II,-118.225288,35.036896,906.0582886
Alta II,-118.243675,35.03709,942.5791626
Alta II,-118.257484,35.029495,970.6168823
Alta II,-118.228088,35.029594,908.6257935
Alta II,-118.226791,35.036095,910.3179321
Alta II,-118.256889,35.031895,970.494873
Alta II,-118.256989,35.030594,970.9212036
Alta II,-118.224289,35.032394,899.2174072
Alta II,-118.25679,35.033096,970.4028931
Alta II,-118.228287,35.035397,912.9798584
Alta II,-118.231987,35.017895,915.3795166
Alta II,-118.257988,35.028294,970.7814941
Alta II,-118.223885,35.010796,903.2754517
Alta II,-118.230873,35.018757,912.8911743
Alta II,-118.223289,35.025494,898.0912476
Alta II,-118.245087,35.036297,944.4853516
Alta II,-118.226891,35.030396,904.1853027
Alta III,-118.30809,35.000496,1003.055725
Alta III,-118.30629,35.002296,1002.365173
Alta III,-118.267586,35.020496,988.5911255
Alta III,-118.270592,35.003796,970.5567017
Alta III,-118.314491,34.998196,1021.50592
Alta III,-118.300491,35.010895,1010.47699
Alta III,-118.264992,35.021595,985.0387573
Alta III,-118.30719,35.001396,1001.99469
Alta III,-118.268387,35.005196,969.196228
Alta III,-118.313591,34.998997,1019.350769
Alta III,-118.262192,35.012894,970.1512451
Alta III,-118.268791,35.019794,990.8995361
Alta III,-118.263786,35.009594,970.244751
Alta III,-118.305389,35.003296,1003.397461
Alta III,-118.264992,35.007397,969.9577026
Alta III,-118.271286,35.018494,994.1813965
Alta III,-118.302284,35.010197,1009.585876
Alta III,-118.269989,35.019096,992.592041
Alta III,-118.315689,34.997395,1024.524414
Alta III,-118.264091,35.008293,969.6393433
Alta III,-118.302788,35.008595,1005.477234
Alta III,-118.267387,35.005997,968.3876953
Alta III,-118.29509,35.016796,1020.820618
Alta III,-118.262787,35.011795,970.6483765
Alta III,-118.312569,34.999969,1017.145447
Alta III,-118.299385,35.011696,1012.449646
Alta III,-118.304588,35.004196,1002.248901
Alta III,-118.26619,35.006695,969.0350952
Alta III,-118.26329,35.010696,970.0531616
Alta III,-118.281685,35.010593,993.1871338
Alta III,-118.298592,35.012695,1015.01947
Alta III,-118.277489,35.013893,996.8468628
Alta III,-118.278587,35.013096,996.3099976
Alta III,-118.303688,35.005196,1000.572693
Alta III,-118.233887,35.009499,919.1675415
Alta III,-118.279686,35.012295,995.7144775
Alta III,-118.316788,34.996593,1028.600098
Alta III,-118.29599,35.015896,1020.871033
Alta III,-118.269485,35.004494,970.2518921
Alta III,-118.303162,35.006298,1000.992371
Alta III,-118.260284,35.016094,967.588501
Alta III,-118.26149,35.013996,970.3511963
Alta III,-118.303085,35.007496,1003.317932
Alta III,-118.297585,35.013695,1016.935242
Alta III,-118.259888,35.017197,967.3138428
Alta III,-118.296791,35.014694,1019.797913
Alta III,-118.260788,35.014996,969.026123
Alta III,-118.272591,35.017895,995.6481323
Alta III,-118.280685,35.011395,994.385498
Alta III,-118.276291,35.014633,995.6031494
Alta IV,-118.258286,35.023193,969.593811
Alta IV,-118.341988,35.035896,1269.378784
Alta IV,-118.355789,35.044094,1289.863647
Alta IV,-118.27079,34.996395,954.5750732
Alta IV,-118.266685,34.997894,954.1420898
Alta IV,-118.269386,34.996696,954.5388794
Alta IV,-118.319885,35.044395,1176.808594
Alta IV,-118.321289,35.043797,1179.061279
Alta IV,-118.258888,35.020794,970.81073
Alta IV,-118.254486,35.036995,974.0145264
Alta IV,-118.312286,35.047195,1166.445435
Alta IV,-118.317184,35.050995,1191.473999
Alta IV,-118.25779,35.025097,968.5206299
Alta IV,-118.259186,35.019596,969.5090332
Alta IV,-118.39019,35.045094,1460.543701
Alta IV,-118.254791,35.035793,970.6062622
Alta IV,-118.384987,35.048595,1456.077759
Alta IV,-118.259491,35.018394,968.1419678
Alta IV,-118.359085,35.041496,1312.706543
Alta IV,-118.314186,35.051395,1184.433228
Alta IV,-118.31839,35.044796,1173.124146
Alta IV,-118.333687,35.038197,1218.98291
Alta IV,-118.357185,35.042995,1293.996826
Alta IV,-118.264992,34.998493,953.4489746
Alta IV,-118.384789,35.042194,1376.613525
Alta IV,-118.25869,35.021996,970.026062
Alta IV,-118.385788,35.047497,1454.468262
Alta IV,-118.361191,35.039993,1319.150269
Alta IV,-118.321587,35.051395,1187.748291
Alta IV,-118.386185,35.041794,1386.674805
Alta IV,-118.358185,35.042294,1302.078491
Alta IV,-118.388084,35.041393,1398.124146
Alta IV,-118.26799,34.997295,954.8812256
Alta IV,-118.388191,35.046696,1475.750366
Alta IV,-118.272186,34.995895,954.5200806
Alta IV,-118.263687,35.022297,981.0609131
Alta IV,-118.359985,35.040695,1318.090332
Alta V,-118.252487,35.012894,952.4112549
Alta V,-118.241989,35.014896,933.6130981
Alta V,-118.243591,35.011597,936.7374878
Alta V,-118.252388,35.000294,942.1794434
Alta V,-118.256187,35.006195,955.46521
Alta V,-118.248688,35.025295,948.7221069
Alta V,-118.251488,35.001194,941.8283081
Alta V,-118.250587,35.017895,951.0047607
Alta V,-118.254288,35.009495,953.5006104
Alta V,-118.261887,35.001194,953.7624512
Alta V,-118.241386,35.018394,933.2833252
Alta V,-118.249886,35.003296,941.0056763
Alta V,-118.24482,35.009449,937.1506348
Alta V,-118.248787,35.024197,948.5890503
Alta V,-118.253685,35.010593,953.5452881
Alta V,-118.241287,35.023193,932.6860962
Alta V,-118.241287,35.021996,932.5708618
Alta V,-118.24939,35.022797,949.6654053
Alta V,-118.252289,34.998096,938.257019
Alta V,-118.251587,35.015194,950.9967041
Alta V,-118.253891,34.995895,938.1279297
Alta V,-118.241287,35.020794,933.2487793
Alta V,-118.247986,35.027996,947.5144653
Alta V,-118.220688,35.036594,894.3085327
Alta V,-118.257385,35.004696,955.8739014
Alta V,-118.251091,35.016693,950.5418091
Alta V,-118.24839,35.005394,941.2340698
Alta V,-118.24559,35.008293,938.8812256
Alta V,-118.250191,35.018993,950.8359375
Alta V,-118.25489,35.008293,953.6773071
Alta V,-118.259491,35.002995,954.9141235
Alta V,-118.241486,35.015995,932.8109131
Alta V,-118.250687,35.002193,941.5810547
Alta V,-118.252991,34.996994,938.4764404
Alta V,-118.25209,35.013996,952.0379028
Alta V,-118.241386,35.019596,932.828125
Alta V,-118.241386,35.024296,937.0991211
Alta V,-118.249489,35.021397,950.0469971
Alta V,-118.247391,35.006294,940.0135498
Alta V,-118.25309,35.011696,953.1149292
Alta V,-118.247086,35.030796,946.3207397
Alta V,-118.26059,35.002193,954.9945068
Alta V,-118.241287,35.025494,935.6201172
Alta V,-118.263985,34.999393,952.8669434
Alta V,-118.247391,35.029594,946.7392578
Alta V,-118.249786,35.020195,950.8049316
Alta V,-118.249084,35.004295,941.4680786
Alta V,-118.242989,35.012695,935.9698486
Alta V,-118.241386,35.017197,932.663147
Alta V,-118.248489,35.026794,948.5565796
Alta V,-118.262985,35.000294,953.2219849
Alta V,-118.258492,35.003895,955.6600952
Alta V,-118.255486,35.007294,954.0357666
Alta V,-118.246391,35.007294,939.739502
Alta V,-118.244087,35.010395,936.4298096
Alta V,-118.242386,35.013794,935.5702515
Alta VI (partial),-118.29509,35.028397,1061.139404
Alta VI (partial),-118.319588,35.010593,1047.686646
Alta VI (partial),-118.296829,35.026432,1057.905884
Alta VI (partial),-118.308388,35.035294,1110.173706
Alta VI (partial),-118.318886,35.019295,1071.505005
Alta VI (partial),-118.306389,35.016895,1033.211182
Alta VI (partial),-118.31369,35.017895,1048.252075
Alta VI (partial),-118.326088,35.012295,1078.754517
Alta VI (partial),-118.301888,35.031696,1079.567017
Alta VI (partial),-118.306404,35.024727,1053.080811
Alta VI (partial),-118.324287,35.014194,1076.508423
Alta VI (partial),-118.300591,35.021397,1042.154175
Alta VI (partial),-118.316589,35.014793,1050.690186
Alta VI (partial),-118.308586,35.015095,1031.072754
Alta VI (partial),-118.307388,35.015896,1031.672729
Alta VI (partial),-118.307289,35.037796,1109.820557
Alta VI (partial),-118.288391,35.035896,1064.712524
Alta VI (partial),-118.322189,35.017231,1077.100098
Alta VI (partial),-118.30619,35.025993,1058.415283
Alta VI (partial),-118.298668,35.023251,1047.64978
Alta VI (partial),-118.28981,35.032524,1057.447998
Alta VI (partial),-118.312523,35.018604,1048.331665
Alta VI (partial),-118.325188,35.013195,1077.498413
Alta VI (partial),-118.299187,35.035294,1086.827881
Alta VI (partial),-118.32019,35.018894,1075.627808
Alta VI (partial),-118.318787,35.011597,1046.228638
Alta VI (partial),-118.299484,35.022194,1044.289307
Alta VI (partial),-118.29599,35.027393,1059.563965
Alta VI (partial),-118.303185,35.029396,1072.18811
Alta VI (partial),-118.299988,35.034294,1085.222656
Alta VI (partial),-118.302391,35.030396,1075.97876
Alta VI (partial),-118.289085,35.034897,1062.026245
Alta VI (partial),-118.305389,35.027096,1062.862305
Alta VI (partial),-118.322487,35.016094,1073.26062
Alta VI (partial),-118.31839,35.020695,1070.216797
Alta VI (partial),-118.323387,35.015095,1077.9823
Alta VI (partial),-118.305489,35.017796,1033.213135
Alta VI (partial),-118.301689,35.020596,1041.077271
Alta VI (partial),-118.317986,35.012695,1047.616943
Alta VI (partial),-118.294289,35.029396,1061.44043
Alta VI (partial),-118.32119,35.018093,1078.090454
Alta VI (partial),-118.302986,35.019295,1036.445068
Alta VI (partial),-118.304085,35.018494,1033.471436
Alta VI (partial),-118.289688,35.033794,1059.82312
Alta VI (partial),-118.317291,35.013695,1048.514648
Alta VI (partial),-118.307785,35.036396,1109.406372
Alta VIII (partial),-118.25029,34.990494,925.9841309
Alta VIII (partial),-118.220291,35.027294,892.6356812
Alta VIII (partial),-118.232185,34.998997,909.0775146
Alta VIII (partial),-118.229691,35.002094,907.560791
Alta VIII (partial),-118.240288,35.001194,924.5185547
Alta VIII (partial),-118.23069,35.001194,908.3513184
Alta VIII (partial),-118.226486,34.984795,886.3287354
Alta VIII (partial),-118.223686,34.998493,893.651062
Alta VIII (partial),-118.22599,34.985893,886.2888794
Alta VIII (partial),-118.226585,35.004894,901.5045166
Alta VIII (partial),-118.225388,34.987595,888.1146851
Alta VIII (partial),-118.251289,34.989594,925.0167847
Alta VIII (partial),-118.237587,35.004093,923.8209229
Alta VIII (partial),-118.234985,35.022194,919.2213745
Alta VIII (partial),-118.248291,34.992393,926.8092651
Alta VIII (partial),-118.226891,34.983597,885.4244995
Alta VIII (partial),-118.224388,34.991196,889.2145996
Alta VIII (partial),-118.231384,35.000095,908.9996948
Alta VIII (partial),-118.223785,34.997295,893.7508545
Alta VIII (partial),-118.236885,35.005196,922.8734741
Alta VIII (partial),-118.224991,34.988796,888.8262329
Alta VIII (partial),-118.240685,35.000095,924.7573242
Alta VIII (partial),-118.246185,34.994194,927.4033203
Alta VIII (partial),-118.247292,34.993294,928.2139893
Alta VIII (partial),-118.227585,35.003895,904.4425659
Alta VIII (partial),-118.223885,34.996094,892.7694092
Alta VIII (partial),-118.233688,34.996895,910.5496216
Alta VIII (partial),-118.254791,34.988693,927.7894287
Alta VIII (partial),-118.228188,34.981495,885.2827759
Alta VIII (partial),-118.238487,35.003197,924.8961792
Alta VIII (partial),-118.225685,35.005894,899.6976929
Alta VIII (partial),-118.224091,34.993694,892.473877
Alta VIII (partial),-118.243088,34.997093,923.7989502
Alta VIII (partial),-118.224686,34.989994,888.8684692
Alta VIII (partial),-118.224586,35.006893,899.5914917
Alta VIII (partial),-118.241386,34.999096,923.5046997
Alta VIII (partial),-118.239586,35.002296,925.7316284
Alta VIII (partial),-118.217087,35.029194,887.4848633
Alta VIII (partial),-118.235489,35.007294,919.8329468
Alta VIII (partial),-118.234489,34.995895,911.1418457
Alta VIII (partial),-118.216087,35.032295,885.3981934
Alta VIII (partial),-118.232986,34.997993,909.9182739
Alta VIII (partial),-118.221786,35.026497,895.5960083
Alta VIII (partial),-118.218689,35.028397,889.7355957
Alta VIII (partial),-118.224548,35.021931,901.0397339
Alta VIII (partial),-118.24929,34.991394,926.0272217
Alta VIII (partial),-118.233986,35.023396,917.2781982
Alta VIII (partial),-118.228691,35.002995,905.8370361
Alta VIII (partial),-118.243889,34.995995,925.1942139
Alta VIII (partial),-118.25499,34.993496,935.0160522
Alta VIII (partial),-118.242287,34.998096,923.5808105
Alta VIII (partial),-118.224289,34.992496,891.1092529
Alta VIII (partial),-118.21579,35.033497,884.9960938
Alta VIII (partial),-118.223389,35.023094,898.2051392
Alta VIII (partial),-118.227585,34.982594,884.9638672
Alta VIII (partial),-118.223991,34.994884,892.201355
Alta VIII (partial),-118.252388,34.988796,925.9281616
Alta VIII (partial),-118.236191,35.006294,921.1427612
Alta X,-118.210579,35.103497,1049.516479
Alta X,-118.215881,35.108219,1106.286621
Alta X,-118.242081,35.094322,1158.733032
Alta X,-118.214264,35.097309,1049.463867
Alta X,-118.244965,35.087883,1144.605957
Alta X,-118.221596,35.097137,1078.166748
Alta X,-118.242546,35.092957,1149.490479
Alta X,-118.239914,35.098076,1178.553223
Alta X,-118.251045,35.091663,1201.769287
Alta X,-118.254036,35.08532,1180.948608
Alta X,-118.212418,35.100468,1050.152954
Alta X,-118.240677,35.096863,1164.88916
Alta X,-118.219345,35.100346,1079.987061
Alta X,-118.246796,35.096741,1183.320801
Alta X,-118.230858,35.101719,1153.695801
Alta X,-118.249435,35.094086,1202.958252
Alta X,-118.215683,35.109802,1121.428955
Alta X,-118.217766,35.103195,1077.571899
Alta X,-118.254822,35.084019,1176.162842
Alta X,-118.214989,35.112995,1100.515869
Alta X,-118.21888,35.101784,1088.283813
Alta X,-118.213585,35.099094,1047.155029
Alta X,-118.220337,35.098736,1078.450806
Alta X,-118.246002,35.085361,1126.084595
Alta X,-118.22905,35.104855,1178.373901
Alta X,-118.252708,35.08786,1192.767334
Alta X,-118.215599,35.111568,1110.199219
Alta X,-118.248405,35.095257,1206.985962
Alta X,-118.233673,35.10125,1164.849731
Alta X,-118.243286,35.091797,1147.846436
Alta X,-118.250092,35.092796,1195.162109
Alta X,-118.224152,35.113159,1224.598022
Alta X,-118.238991,35.099194,1166.494629
Alta X,-118.246635,35.084118,1139.705811
Alta X,-118.251457,35.090355,1180.456665
Alta X,-118.244415,35.089161,1146.758911
Alta X,-118.253052,35.086514,1187.675903
Alta X,-118.25209,35.089096,1186.302612
Alta X,-118.216164,35.106499,1098.140869
Alta X,-118.226273,35.108685,1234.155396
Alta X,-118.224792,35.111763,1226.264771
Alta X,-118.241791,35.095795,1153.333862
Alta X,-118.243858,35.090496,1146.104736
Alta X,-118.245483,35.08662,1132.137939
Alta X,-118.236885,35.100494,1171.941772
Alta X,-118.211388,35.101894,1049.685059
Alta X,-118.225487,35.110195,1239.720337
Alta X,-118.217064,35.104683,1093.074341
Alta XI,-118.384689,35.085995,1364.456787
Alta XI,-118.369087,35.105858,1222.783569
Alta XI,-118.370384,35.087795,1404.960083
Alta XI,-118.375885,35.099495,1261.742065
Alta XI,-118.36956,35.104313,1232.580688
Alta XI,-118.363586,35.097702,1320.312866
Alta XI,-118.372093,35.10244,1248.251953
Alta XI,-118.361923,35.106731,1215.368652
Alta XI,-118.384087,35.092594,1335.154541
Alta XI,-118.367302,35.108242,1214.218384
Alta XI,-118.380386,35.083195,1407.33728
Alta XI,-118.383652,35.093948,1310.636108
Alta XI,-118.390984,35.06789,1498.069824
Alta XI,-118.380287,35.068497,1514.813477
Alta XI,-118.38549,35.084797,1373.091187
Alta XI,-118.37429,35.068596,1465.651489
Alta XI,-118.381691,35.081394,1397.727173
Alta XI,-118.386261,35.083561,1381.007446
Alta XI,-118.362785,35.100895,1266.909912
Alta XI,-118.377388,35.068596,1494.240479
Alta XI,-118.384392,35.072395,1464.071167
Alta XI,-118.36631,35.095543,1353.143677
Alta XI,-118.390099,35.071014,1453.088257
Alta XI,-118.36657,35.091957,1369.440063
Alta XI,-118.382996,35.073517,1471.815063
Alta XI,-118.385796,35.071819,1471.908447
Alta XI,-118.386009,35.065582,1515.865356
Alta XI,-118.367615,35.072414,1505.634399
Alta XI,-118.374634,35.100464,1266.320313
Alta XI,-118.368286,35.107098,1218.403442
Alta XI,-118.365288,35.092896,1375.933105
Alta XI,-118.379585,35.075897,1463.280273
Alta XI,-118.381493,35.074551,1484.81543
Alta XI,-118.383064,35.095341,1285.001831
Alta XI,-118.370583,35.103416,1243.039307
Alta XI,-118.364792,35.096394,1329.330566
Alta XI,-118.37532,35.092403,1328.27417
Alta XI,-118.359886,35.108196,1205.978027
Alta XI,-118.3834,35.09729,1276.738892
Alta XI,-118.369766,35.072441,1496.268433
Alta XI,-118.384987,35.089397,1374.726685
Alta XI,-118.38739,35.064896,1496.847534
Alta XI,-118.38459,35.090897,1352.741577
Alta XI,-118.375229,35.094009,1314.217285
Alta XI,-118.383011,35.08033,1395.479858
Alta XI,-118.373993,35.070839,1499.45752
Alta XI,-118.377686,35.076195,1466.596558
Alta XI,-118.377159,35.098587,1271.608887
Alta XI,-118.384689,35.087498,1373.373291
Altech III,-116.584785,33.893696,259.4985352
Altech III,-116.585548,33.890774,259.1453857
Altech III,-116.585709,33.89016,259.1253357
Altech III,-116.58049,33.892895,252.4019165
Altech III,-116.585861,33.889606,258.7731323
Anderson Wind Project,-103.854271,33.014404,1353.41748
Anderson Wind Project,-103.869209,33.013515,1359.56604
Anderson Wind Project,-103.855408,33.035954,1357.961914
Anderson Wind Project,-103.87326,33.014576,1362.56958
Anderson Wind Project,-103.855804,33.029808,1355.058594
Anderson Wind Project,-103.864983,33.013836,1359.501099
Anderson Wind Project,-103.855537,33.032913,1355.228027
Anderson Wind Project,-103.860741,33.014084,1355.125
Anheuser-Busch Fairfield,-122.092079,38.233505,9.17623806
Anheuser-Busch Fairfield,-122.089287,38.232296,7.338165283
Anticline Wind,-106.245605,43.187435,1672.713623
Anticline Wind,-106.26873,43.212772,1654.702026
Anticline Wind,-106.265862,43.198727,1677.62207
Anticline Wind,-106.219078,43.190529,1697.767578
Anticline Wind,-106.221016,43.19511,1705.874512
Anticline Wind,-106.347298,43.146076,1682.002197
Anticline Wind,-106.246666,43.192581,1661.413818
Anticline Wind,-106.250031,43.207886,1656.470703
Anticline Wind,-106.218323,43.185745,1691.655762
Anticline Wind,-106.252411,43.217304,1647.981689
Anticline Wind,-106.291458,43.164379,1683.183105
Anticline Wind,-106.268349,43.202808,1651.199463
Anticline Wind,-106.263092,43.172169,1683.599731
Anticline Wind,-106.239998,43.171013,1725.197876
Anticline Wind,-106.289352,43.159546,1684.866943
Anticline Wind,-106.249001,43.197113,1653.968872
Anticline Wind,-106.225319,43.207268,1712.969604
Anticline Wind,-106.313622,43.141083,1688.643921
Anticline Wind,-106.249298,43.201794,1656.09375
Anticline Wind,-106.248817,43.173916,1683.514404
Anticline Wind,-106.242249,43.177532,1696.133057
Anticline Wind,-106.368111,43.081821,1685.838989
Anticline Wind,-106.314857,43.154255,1691.200806
Anticline Wind,-106.262329,43.155899,1692.952393
Anticline Wind,-106.238617,43.166096,1723.300293
Anticline Wind,-106.312469,43.148643,1681.680542
Anticline Wind,-106.263931,43.161694,1681.883545
Anticline Wind,-106.25293,43.221687,1645.710327
Anticline Wind,-106.266556,43.186466,1699.307983
Anticline Wind,-106.339119,43.158298,1678.681641
Anticline Wind,-106.263901,43.19062,1699.085327
Anticline Wind,-106.370171,43.087605,1687.716431
Anticline Wind,-106.316719,43.159824,1708.458496
Anticline Wind,-106.251259,43.21188,1654.499146
Anticline Wind,-106.262756,43.168236,1678.580444
Anticline Wind,-106.263359,43.176571,1686.202271
Anticline Wind,-106.269478,43.21788,1646.749268
Anticline Wind,-106.244621,43.182846,1680.428467
Anticline Wind,-106.222771,43.200882,1713.225952
Aragone Mesa,-105.112175,34.804577,1832.003296
Aragone Mesa,-105.083221,34.827042,1801.245117
Aragone Mesa,-105.129829,34.809025,1849.235229
Aragonne Mesa 2,-104.982239,34.825035,1761.285767
Aragonne Mesa 2,-105.011391,34.821106,1766.954468
Aragonne Mesa 2,-105.099236,34.809086,1808.577148
Aragonne Mesa 2,-105.03289,34.811226,1798.586792
Aragonne Mesa 2,-104.974815,34.82106,1758.562988
Aragonne Mesa 2,-104.963005,34.842785,1752.616455
Aragonne Mesa 2,-105.035408,34.818691,1793.216064
Aragonne Mesa 2,-105.095894,34.811771,1805.84668
Aragonne Mesa 2,-105.116501,34.800247,1831.256714
Aragonne Mesa 2,-105.00528,34.831944,1775.906006
Aragonne Mesa 2,-104.978767,34.840504,1777.233032
Aragonne Mesa 2,-104.971611,34.846863,1769.99939
Aragonne Mesa 2,-104.970421,34.842907,1772.949707
Aragonne Mesa 2,-105.07386,34.826187,1799.557861
Aragonne Mesa 2,-105.046761,34.828903,1795.675415
Aragonne Mesa 2,-105.013069,34.806236,1773.65979
Aragonne Mesa 2,-105.057808,34.825409,1802.535767
Aragonne Mesa 2,-105.004227,34.836098,1770.751221
Aragonne Mesa 2,-105.050957,34.825901,1808.853394
Aragonne Mesa 2,-104.965492,34.848404,1750.75
Aragonne Mesa 2,-104.954468,34.841373,1738.318115
Aragonne Mesa 2,-105.006889,34.823063,1770.644653
Aragonne Mesa 2,-104.997208,34.826515,1788.720093
Aragonne Mesa 2,-105.006989,34.810055,1763.647339
Aragonne Mesa 2,-104.990288,34.828243,1788.075684
Aragonne Mesa 2,-104.97905,34.833855,1777.738892
Aragonne Mesa 2,-104.967827,34.821671,1742.973022
Aragonne Mesa 2,-105.08783,34.824173,1800.972656
Aragonne Mesa 2,-105.142021,34.809177,1842.489868
Aragonne Mesa 2,-105.050941,34.833344,1794.703247
Aragonne Mesa 2,-104.978615,34.844154,1779.681152
Aragonne Mesa 2,-105.044556,34.834217,1791.906982
Aragonne Mesa 2,-104.990051,34.842876,1762.21875
