system_id,geocode,Bus  Number,Bus  Name,bus_latitude,bus_longitude,county,state,tzoffset,facility,plant_latitude,plant_longitude,plant_fractional_capacity_MW,generator,plant_capacity_MW,aggregated_bus_fractional_capacity_MW,min_measured_date,max_measured_date,turbine_rating_MW,rotor_diameter_m,hub_height_m,max_rotor_tip_speed,tip_speed_ratio,max_cp,drivetrain_design,cut_in_wind_speed_m/s,cut_out_wind_speed_m/s,shear_exponent,altitude_m,num_turbines,calculated_capacity_MW,capacity_diff_MW
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_IV,35.0086,-118.2422,102.0,WT,102.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,NORTH_SKY_RIVER_ENERGY_LLC,35.3478,-118.1864,162.0,WT,162.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,PACIFIC_WIND_LLC,34.8914,-118.4325,151.7,WT,151.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_II,35.0239,-118.2953,150.0,WT,150.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_I,35.0337,-118.3534,150.0,WT,150.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_VIII,35.0267,-118.2348,150.0,WT,150.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MUSTANG_HILLS_LLC,35.0309,-118.2932,150.0,WT,150.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_ENERGY_CENTER_III,35.0241,-118.2963,150.0,WT,150.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_X,35.06,-118.2,138.0,WT,138.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,PINE_TREE_WIND_POWER_PROJECT,35.2473,-118.1759,135.0,WT,135.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,PINYON_PINE_II,35.0268,-118.2233,132.0,WT,132.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,WINDSTAR_1,35.0542,-118.3547,120.0,WT,120.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,BROOKFIELD_TEHACHAPI_1,35.0083,-118.2414,102.0,WT,102.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RISING_TREE_WIND_FARM_III,35.0606,-118.2433,99.0,WT,99.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,ALTA_WIND_XI,35.065,-118.39,90.0,WT,90.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RISING_TREE_WIND_FARM,35.0775,-118.2183,79.2,WT,79.2,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,OASIS_WIND,35.0609,-118.2924,60.0,WT,60.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,CAMERON_RIDGE_LLC,35.0756,-118.3156,59.6,WT,59.6,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RIDGETOP,35.0697,-118.3167,46.8,WT,46.8,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RIDGETOP_ENERGY_LLC,35.0697,-118.3167,46.8,WT,46.8,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RIDGETOP,35.0697,-118.3167,29.0,WT,29.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RIDGETOP_ENERGY_LLC,35.0697,-118.3167,29.0,WT,29.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,OAK_CREEK_ENERGY_SYSTEMS_I,35.0439,-118.2764,34.5,WT,34.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_18,35.05,-118.2564,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_16,35.05,-118.2572,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TPC_WINDFARMS_LLC,35.05,-118.2572,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_17,35.05,-118.2572,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_3,35.05,-118.2572,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_5,35.05,-118.2572,30.0,WT,30.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_16,35.05,-118.2572,28.7,WT,28.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TPC_WINDFARMS_LLC,35.05,-118.2572,28.7,WT,28.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_17,35.05,-118.2572,28.7,WT,28.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_3,35.05,-118.2572,28.7,WT,28.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_5,35.05,-118.2572,28.7,WT,28.7,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_16,35.05,-118.2572,25.0,WT,25.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TPC_WINDFARMS_LLC,35.05,-118.2572,25.0,WT,25.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_17,35.05,-118.2572,25.0,WT,25.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_3,35.05,-118.2572,25.0,WT,25.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_5,35.05,-118.2572,25.0,WT,25.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_16,35.05,-118.2572,23.5,WT,23.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TPC_WINDFARMS_LLC,35.05,-118.2572,23.5,WT,23.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_17,35.05,-118.2572,23.5,WT,23.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_3,35.05,-118.2572,23.5,WT,23.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_5,35.05,-118.2572,23.5,WT,23.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_16,35.05,-118.2572,22.5,WT,22.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TPC_WINDFARMS_LLC,35.05,-118.2572,22.5,WT,22.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_17,35.05,-118.2572,22.5,WT,22.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_3,35.05,-118.2572,22.5,WT,22.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_5,35.05,-118.2572,22.5,WT,22.5,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,MOJAVE_4,35.0506,-118.2572,29.0,WT,29.0,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,TEHACHAPI_WIND_RESOURCE_II,35.1061,-118.3114,21.9,WT,21.9,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,VICTORY_GARDEN_TEHACHAPI,35.0686,-118.3833,21.1,WT,21.1,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
23,9q5zqv,2902,MOHAVE,35.0525,-118.173889,9q7944,CA,-8,RISING_TREE_WIND_FARM_II,35.0889,-118.2064,19.8,WT,19.8,3931.9,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,1404,3931.2,0.7000000000002728
24,9q603v,3801,DIABLO,35.230747,-120.855104,9q6371,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
25,9q613c,3806,MORROBAY,35.38543,-120.858669,9q6371,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
26,9q6tde,3802,GATES,36.144321,-120.124187,9q6v1w,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
27,9q713t,3803,MIDWAY,35.408481,-119.456003,9q6v1w,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
28,9q8yqr,3102,MARTIN,37.704337,-122.410274,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
29,9q8yyc,3105,POTRERO,37.75843,-122.398,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
30,9q8yyz,3101,EMBRCDRD,37.788555,-122.395045,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
31,9q92vz,3902,MOSSLAND,36.737604,-121.732796,9q94x9,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
32,9q97v8,3301,METCALF,37.222363,-121.746496,9q97wz,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
33,9q9fy1,3901,LOSBANOS,37.054001,-121.022616,9qd5sg,CA,-8,DINOSAUR_POINT,37.0478,-121.1708,17.4,WT,17.4,17.4,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,6,16.799999999999997,0.6000000000000014
34,9q9hgh,3302,JEFFERSN,37.4198065,-122.2042168,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
35,9q9hq4,3304,MONTAVIS,37.322286,-122.0737899,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
36,9q9jb9,3103,SANMATEO,37.582985,-122.318546,9q8uz7,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
37,9q9jk9,3305,RAVENSWD,37.494231,-122.138182,9q9q1v,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
38,9q9m24,3203,NEWARK,37.501131,-121.987444,9q9q1v,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
39,9q9peh,3205,SOBRANTE,37.905327,-122.208867,9q9r8z,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
40,9q9pk4,3202,MORAGA,37.848161,-122.16088,9q9r8z,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,GOLDEN_HILLS_WIND,37.7133,-121.6404,85.9,WT,85.9,266.1,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,0.10000000000002274
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,VASCO_WINDS,37.7908,-121.7181,78.2,WT,78.2,266.1,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,0.10000000000002274
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,GOLDEN_HILLS_NORTH_WIND_ENERGY_CENTER,37.7692,-121.6302,46.0,WT,46.0,266.1,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,0.10000000000002274
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,BUENA_VISTA_ENERGY_LLC,37.805,-121.6672,38.0,WT,38.0,266.1,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,0.10000000000002274
41,9q9w99,3903,TESLA,37.71247,-121.565283,9q9q1v,CA,-8,DIABLO_WIND_LLC,37.7637,-121.6144,18.0,WT,18.0,266.1,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,95,266.0,0.10000000000002274
42,9q9wtp,8002,TRACY,37.74752,-121.416448,9q9zb3,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
43,9qbbed,3914,IGNACIO,38.070278,-122.538611,9qb8qz,CA,-8,,,,,,,0.0,1/1/2018,12/30/2022,2.8,125,90,80,8,0.47,Geared,3,25,0.143,450,0,0.0,0.0
