,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county
48,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382385,35.043095,35.369809,-118.941786
49,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.369286,35.035694,35.369809,-118.941786
50,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.389687,35.051296,35.369809,-118.941786
51,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.393288,35.050396,35.369809,-118.941786
52,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.374687,35.050495,35.369809,-118.941786
53,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.36869,35.027496,35.369809,-118.941786
54,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.381882,35.030018,35.369809,-118.941786
55,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375191,35.049294,35.369809,-118.941786
56,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373688,35.051094,35.369809,-118.941786
57,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375305,35.038174,35.369809,-118.941786
58,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357689,35.032295,35.369809,-118.941786
59,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356491,35.047894,35.369809,-118.941786
60,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358185,35.030697,35.369809,-118.941786
61,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370186,35.052494,35.369809,-118.941786
62,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.377388,35.046894,35.369809,-118.941786
63,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388191,35.053097,35.369809,-118.941786
64,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.38739,35.026894,35.369809,-118.941786
65,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.371887,35.034595,35.369809,-118.941786
66,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.355339,35.033531,35.369809,-118.941786
67,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39209,35.017696,35.369809,-118.941786
68,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.368286,35.036194,35.369809,-118.941786
69,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.34729,35.057693,35.369809,-118.941786
70,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357391,35.047195,35.369809,-118.941786
71,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391586,35.022095,35.369809,-118.941786
72,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39566,35.049759,35.369809,-118.941786
73,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.396889,35.049496,35.369809,-118.941786
74,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387886,35.025394,35.369809,-118.941786
75,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370285,35.035095,35.369809,-118.941786
76,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357185,35.038094,35.369809,-118.941786
77,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382889,35.028595,35.369809,-118.941786
78,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39109,35.023296,35.369809,-118.941786
79,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373985,35.038593,35.369809,-118.941786
80,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.371284,35.051395,35.369809,-118.941786
81,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391891,35.019196,35.369809,-118.941786
82,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.384361,35.027653,35.369809,-118.941786
83,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391586,35.020596,35.369809,-118.941786
84,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.390884,35.050995,35.369809,-118.941786
85,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.372086,35.032795,35.369809,-118.941786
86,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.347191,35.027393,35.369809,-118.941786
87,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.372185,35.027096,35.369809,-118.941786
88,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364189,35.028095,35.369809,-118.941786
89,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.348686,35.025295,35.369809,-118.941786
90,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.37973,35.045631,35.369809,-118.941786
91,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358185,35.037193,35.369809,-118.941786
92,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361389,35.020676,35.369809,-118.941786
93,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360291,35.035496,35.369809,-118.941786
94,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.35849,35.046696,35.369809,-118.941786
95,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380989,35.050797,35.369809,-118.941786
96,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.359085,35.021496,35.369809,-118.941786
97,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.363686,35.043694,35.369809,-118.941786
98,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.38121,35.03186,35.369809,-118.941786
99,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.365189,35.038197,35.369809,-118.941786
100,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.378685,35.046494,35.369809,-118.941786
101,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.347389,35.026096,35.369809,-118.941786
102,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.376884,35.026096,35.369809,-118.941786
103,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373291,35.026695,35.369809,-118.941786
104,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362022,35.035137,35.369809,-118.941786
105,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.380585,35.044594,35.369809,-118.941786
106,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375389,35.025696,35.369809,-118.941786
107,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.362442,35.044006,35.369809,-118.941786
108,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358986,35.036297,35.369809,-118.941786
109,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356888,35.032993,35.369809,-118.941786
110,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.351585,35.055496,35.369809,-118.941786
111,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361588,35.044796,35.369809,-118.941786
112,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382599,35.050255,35.369809,-118.941786
113,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.235176,35.017097,35.369809,-118.941786
114,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223885,35.008194,35.369809,-118.941786
115,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.234787,35.033295,35.369809,-118.941786
116,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.225861,35.031601,35.369809,-118.941786
117,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.236786,35.032696,35.369809,-118.941786
118,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.22979,35.034695,35.369809,-118.941786
119,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.224388,35.017796,35.369809,-118.941786
120,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.234406,35.00824,35.369809,-118.941786
121,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223885,35.009495,35.369809,-118.941786
122,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.225487,35.016994,35.369809,-118.941786
123,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.222588,35.032894,35.369809,-118.941786
124,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.22879,35.028595,35.369809,-118.941786
125,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223785,35.012096,35.369809,-118.941786
126,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223587,35.014793,35.369809,-118.941786
127,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.232986,35.033695,35.369809,-118.941786
128,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.22979,35.027393,35.369809,-118.941786
129,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223457,35.018707,35.369809,-118.941786
130,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.247185,35.034695,35.369809,-118.941786
131,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.233498,35.010849,35.369809,-118.941786
132,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.230988,35.026596,35.369809,-118.941786
133,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.231384,35.034195,35.369809,-118.941786
134,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223686,35.013393,35.369809,-118.941786
135,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.248291,35.033894,35.369809,-118.941786
136,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.246185,35.035496,35.369809,-118.941786
137,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.225288,35.036896,35.369809,-118.941786
138,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.243675,35.03709,35.369809,-118.941786
139,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.257484,35.029495,35.369809,-118.941786
140,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.228088,35.029594,35.369809,-118.941786
141,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.226791,35.036095,35.369809,-118.941786
142,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.256889,35.031895,35.369809,-118.941786
143,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.256989,35.030594,35.369809,-118.941786
144,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.224289,35.032394,35.369809,-118.941786
145,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.25679,35.033096,35.369809,-118.941786
146,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.228287,35.035397,35.369809,-118.941786
147,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.231987,35.017895,35.369809,-118.941786
148,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.257988,35.028294,35.369809,-118.941786
149,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223885,35.010796,35.369809,-118.941786
150,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.230873,35.018757,35.369809,-118.941786
151,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.223289,35.025494,35.369809,-118.941786
152,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.245087,35.036297,35.369809,-118.941786
153,CA,Kern,Alta II,2010.0,V90-3.0,3.0,80.0,90.0,-118.226891,35.030396,35.369809,-118.941786
154,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.30809,35.000496,35.369809,-118.941786
155,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.30629,35.002296,35.369809,-118.941786
156,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.267586,35.020496,35.369809,-118.941786
157,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.270592,35.003796,35.369809,-118.941786
158,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.314491,34.998196,35.369809,-118.941786
159,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.300491,35.010895,35.369809,-118.941786
160,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.264992,35.021595,35.369809,-118.941786
161,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.30719,35.001396,35.369809,-118.941786
162,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.268387,35.005196,35.369809,-118.941786
163,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.313591,34.998997,35.369809,-118.941786
164,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.262192,35.012894,35.369809,-118.941786
165,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.268791,35.019794,35.369809,-118.941786
166,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.263786,35.009594,35.369809,-118.941786
167,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.305389,35.003296,35.369809,-118.941786
168,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.264992,35.007397,35.369809,-118.941786
169,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.271286,35.018494,35.369809,-118.941786
170,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.302284,35.010197,35.369809,-118.941786
171,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.269989,35.019096,35.369809,-118.941786
172,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.315689,34.997395,35.369809,-118.941786
173,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.264091,35.008293,35.369809,-118.941786
174,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.302788,35.008595,35.369809,-118.941786
175,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.267387,35.005997,35.369809,-118.941786
176,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.29509,35.016796,35.369809,-118.941786
177,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.262787,35.011795,35.369809,-118.941786
178,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.312569,34.999969,35.369809,-118.941786
179,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.299385,35.011696,35.369809,-118.941786
180,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.304588,35.004196,35.369809,-118.941786
181,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.26619,35.006695,35.369809,-118.941786
182,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.26329,35.010696,35.369809,-118.941786
183,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.281685,35.010593,35.369809,-118.941786
184,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.298592,35.012695,35.369809,-118.941786
185,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.277489,35.013893,35.369809,-118.941786
186,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.278587,35.013096,35.369809,-118.941786
187,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.303688,35.005196,35.369809,-118.941786
188,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.233887,35.009499,35.369809,-118.941786
189,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.279686,35.012295,35.369809,-118.941786
190,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.316788,34.996593,35.369809,-118.941786
191,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.29599,35.015896,35.369809,-118.941786
192,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.269485,35.004494,35.369809,-118.941786
193,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.303162,35.006298,35.369809,-118.941786
194,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.260284,35.016094,35.369809,-118.941786
195,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.26149,35.013996,35.369809,-118.941786
196,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.303085,35.007496,35.369809,-118.941786
197,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.297585,35.013695,35.369809,-118.941786
198,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.259888,35.017197,35.369809,-118.941786
199,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.296791,35.014694,35.369809,-118.941786
200,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.260788,35.014996,35.369809,-118.941786
201,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.272591,35.017895,35.369809,-118.941786
202,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.280685,35.011395,35.369809,-118.941786
203,CA,Kern,Alta III,2011.0,V90-3.0,3.0,80.0,90.0,-118.276291,35.014633,35.369809,-118.941786
204,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.258286,35.023193,35.369809,-118.941786
205,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.341988,35.035896,35.369809,-118.941786
206,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.355789,35.044094,35.369809,-118.941786
207,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.27079,34.996395,35.369809,-118.941786
208,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.266685,34.997894,35.369809,-118.941786
209,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.269386,34.996696,35.369809,-118.941786
210,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.319885,35.044395,35.369809,-118.941786
211,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.321289,35.043797,35.369809,-118.941786
212,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.258888,35.020794,35.369809,-118.941786
213,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.254486,35.036995,35.369809,-118.941786
214,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.312286,35.047195,35.369809,-118.941786
215,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.317184,35.050995,35.369809,-118.941786
216,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.25779,35.025097,35.369809,-118.941786
217,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.259186,35.019596,35.369809,-118.941786
218,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.39019,35.045094,35.369809,-118.941786
219,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.254791,35.035793,35.369809,-118.941786
220,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.384987,35.048595,35.369809,-118.941786
221,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.259491,35.018394,35.369809,-118.941786
222,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.359085,35.041496,35.369809,-118.941786
223,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.314186,35.051395,35.369809,-118.941786
224,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.31839,35.044796,35.369809,-118.941786
225,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.333687,35.038197,35.369809,-118.941786
226,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.357185,35.042995,35.369809,-118.941786
227,CA,Kern,Alta IV,2011.0,V90-3.0,3.0,80.0,90.0,-118.264992,34.998493,35.369809,-118.941786
