bus,county,latitude,longitude,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW],p_tech_sec
9mupsy,San Bernardino CA,34.552307,-117.456763,33871,"Industry Solar Power Generation Station 1, LLC",2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.548893,-117.467441,22163,Coronus Adelanto West 2,2015,PV,FIXED_TILT,180,20.0,,1.5,c-si
9mupsy,San Bernardino CA,34.54982,-117.466688,22297,Coronus Adelanto West 1,2015,PV,FIXED_TILT,180,20.0,,1.5,c-si
9mupsy,San Bernardino CA,34.418022,-117.469811,29834,SCE-Snowline-White Road (North),2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.415766,-117.46979,29748,SCE-Snowline-White Rd (Central),2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,San Bernardino CA,34.474054,-117.563433,29896,SCE-Snowline-Duncan Road (North),2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9mupsy,Orange CA,33.787047,-118.047406,178629,BCE Los Alamitos 2,2023,PV,SINGLE_AXIS,180,,batteries,10.0,
9mupsy,Orange CA,33.788017,-118.065589,158323,BCE Los Alamitos 1,2023,PV,SINGLE_AXIS,180,,batteries,10.0,
9mvgw4,Yuma AZ,32.686077,-114.495993,66914,Arizona Western College PV,2015,PV,"FIXED_TILT,SINGLE_AXIS,DUAL_AXIS",180,4.0,,5.7,"c-si,thin-film"
9mvgw4,Imperial CA,32.967109,-115.532695,20475,Crown Cooling Facility,2011,PV,FIXED_TILT,180,30.0,,1.0,c-si
9mvgw4,Imperial CA,33.101457,-116.00026,1502086,Titan Solar 1 (CA),2020,PV,SINGLE_AXIS,180,0.0,,75.0,c-si
9mvgw4,Imperial CA,32.910699,-115.512279,46493,Valencia 2,2020,PV,FIXED_TILT,180,0.0,batteries,3.0,c-si
9mvgw4,Imperial CA,32.885328,-115.537213,54423,Valencia 3,2021,PV,SINGLE_AXIS,180,,,3.0,
9mvgw4,Imperial CA,32.825456,-115.775311,171492,Centinela State Prison,2019,PV,SINGLE_AXIS,180,52.0,,6.0,c-si
9mvgw4,Imperial CA,33.166494,-115.495569,168871,Calipatria State Prison,2019,PV,SINGLE_AXIS,180,52.0,,6.0,c-si
9mvgw4,Imperial CA,32.983337,-115.481892,125986,Community Solar 1,2014,PV,SINGLE_AXIS,181,0.0,,6.0,c-si
9mvgw4,Imperial CA,32.660359,-115.629932,4075716,Mount Signal Solar Farm II,2020,PV,SINGLE_AXIS,180,0.0,,153.5,thin-film
9mvgw4,Imperial CA,33.273731,-115.505335,366108,Wister Solar,2018,PV,SINGLE_AXIS,180,,,20.0,c-si
9mvgw4,Imperial CA,32.714021,-115.540541,220619,Heber Solar,2014,PV,SINGLE_AXIS,180,0.0,,10.0,c-si
9mvgw4,Imperial CA,32.675733,-115.596466,6503831,"Imperial Valley Solar, LLC",2014,PV,SINGLE_AXIS,180,0.0,,206.72,thin-film
9mvgw4,Imperial CA,32.661415,-115.606286,2536565,Wistaria Ranch Solar,2018,PV,SINGLE_AXIS,180,0.0,,100.0,c-si
9mvgw4,Imperial CA,32.690795,-115.644149,5104085,Centinela Solar Energy,2014,PV,SINGLE_AXIS,180,0.0,,170.0,c-si
9mvgw4,Imperial CA,32.658612,-115.668611,2741905,Imperial Solar Energy Center South,2013,PV,FIXED_TILT,180,25.0,,130.0,thin-film
9mvgw4,Imperial CA,32.668292,-115.559746,6389507,Mount Signal Solar Farm V,2018,PV,SINGLE_AXIS,180,0.0,,252.3,thin-film
9mvgw4,Imperial CA,32.69098,-115.667807,2713736,Drew Solar LLC,2022,PV,SINGLE_AXIS,180,,,100.0,c-si
9mvgw4,Imperial CA,32.7622,-115.783372,3584553,Imperial Solar Energy Center West,2016,PV,SINGLE_AXIS,180,0.0,,148.7,thin-film
9mvgw4,Imperial CA,33.245914,-115.495117,382874,"Imperial Valley Solar Company 1, LLC",2012,PV,FIXED_TILT,180,30.0,,23.0,c-si
9mvgw4,Imperial CA,33.158419,-115.531909,1021608,Midway Solar Farm III,2018,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9mvgw4,Imperial CA,32.831965,-115.506304,58947,IVC Solar,2016,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9mvgw4,Imperial CA,32.790409,-115.863285,20476,USG 2,2015,PV,FIXED_TILT,180,25.0,,1.0,c-si
9mvgw4,Imperial CA,33.043676,-115.627653,47624,Valencia 1 Solar CA,2017,PV,FIXED_TILT,180,20.0,,3.0,c-si
9mvgw4,Imperial CA,32.793446,-115.772764,70589,SEPV Imperial Dixieland East,2016,PV,SINGLE_AXIS,180,0.0,,1.9,c-si
9mvgw4,Imperial CA,32.793358,-115.781481,91830,SEPV Imperial Dixieland West,2016,PV,SINGLE_AXIS,180,0.0,,2.9,c-si
9mvgw4,Imperial CA,33.085561,-115.471515,1312735,Solar Gen 2 Solar Facility,2014,PV,SINGLE_AXIS,180,0.0,,155.1,thin-film
9mvgw4,Imperial CA,33.165607,-115.54926,1014053,Midway Solar Farm I,2018,PV,SINGLE_AXIS,180,0.0,,50.0,thin-film
9mvgw4,Imperial CA,32.800989,-115.546392,416174,Sol Orchard El Centro PV,2013,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9mvgw4,Imperial CA,33.252638,-115.497801,392624,"Imperial Valley Solar Co (IVSC) 2, LLC",2015,PV,FIXED_TILT,180,25.0,,20.01,c-si
9mvgw4,Imperial CA,33.165624,-115.531885,530209,Calipatria Solar Farm,2016,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9mvgw4,Imperial CA,33.109168,-116.002991,813391,Seville 2,2015,PV,SINGLE_AXIS,180,0.0,,30.0,thin-film
9mvgw4,Imperial CA,33.116481,-116.001614,583259,Seville 1,2015,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9mvgw4,Imperial CA,32.745065,-115.726842,3347407,Campo Verde Solar,2013,PV,FIXED_TILT,180,25.0,,147.4,thin-film
9mvgw4,Imperial CA,33.165443,-115.54063,524049,Midway Solar Farm II,2017,PV,SINGLE_AXIS,180,0.0,,30.0,thin-film
9mvgw4,Imperial CA,33.186401,-115.428877,544812,Citizens Imperial Solar,2019,PV,SINGLE_AXIS,180,0.0,,30.0,c-si
9mvgw4,Imperial CA,32.793208,-115.857433,19259,USG 1,2014,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9mvgw4,Yuma AZ,33.026566,-113.356482,488595,Hyder II Hybrid,2013,PV,SINGLE_AXIS,180,0.0,batteries,14.0,c-si
9mvgw4,Yuma AZ,33.027149,-113.348204,501322,Hyder Solar Hybrid,2012,PV,SINGLE_AXIS,180,0.0,batteries,16.0,c-si
9mvgw4,Yuma AZ,32.6395,-114.431353,1291273,Foothills Solar Plant Hybrid,2013,PV,SINGLE_AXIS,180,0.0,batteries,37.44,c-si
9mvgw4,Yuma AZ,32.981357,-113.498003,7321254,Agua Caliente Solar Project,2014,PV,FIXED_TILT,195,15.0,,290.0,thin-film
9pr8ne,Humboldt CA,40.967375,-124.104405,28995,Redwood Coast Airport Microgrid,2021,PV,FIXED_TILT,180,,batteries,1.8,
9q5fm0,Los Angeles CA,34.319539,-118.431426,21755,Maclay Solar Project,2017,PV,FIXED_TILT,180,10.0,,2.2,c-si
9q5fm0,Los Angeles CA,34.664956,-118.286848,18210,Radiance Solar 5,2013,PV,FIXED_TILT,200,25.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.128028,-118.206682,6990,Occidental College Solar Project,2013,PV,FIXED_TILT,220,25.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.654383,-117.973256,32453,L-8 Solar Project,2012,PV,FIXED_TILT,180,30.0,,1.3,c-si
9q5fm0,Los Angeles CA,34.600019,-117.949057,98912,Little Rock Pham Solar,2015,PV,SINGLE_AXIS,180,0.0,,3.0,thin-film
9q5fm0,Los Angeles CA,34.669019,-118.061156,45524,Vinam,2013,PV,SINGLE_AXIS,45,0.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.64378,-118.162135,105083,Rutan,2014,PV,SINGLE_AXIS,135,0.0,,4.0,c-si
9q5fm0,Los Angeles CA,34.647943,-118.061071,126849,Arrache 8083,2013,PV,SINGLE_AXIS,45,0.0,,4.0,c-si
9q5fm0,Los Angeles CA,34.650621,-118.051936,46327,Arrache 4013,2013,PV,SINGLE_AXIS,45,0.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.654388,-117.971144,31867,Heliocentric,2012,PV,FIXED_TILT,180,30.0,,1.3,c-si
9q5fm0,Los Angeles CA,34.707428,-118.304671,606208,"TA-High Desert, LLC",2013,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.708588,-118.274109,42700,Horn,2013,PV,SINGLE_AXIS,45,0.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.665582,-118.288133,37444,Radiance Solar 4,2013,PV,FIXED_TILT,200,25.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.122638,-117.939375,43064,"Irwindale Brew Yard, LLC",2015,PV,SINGLE_AXIS,28,0.0,,2.5,c-si
9q5fm0,Los Angeles CA,34.69513,-118.062578,20640,Ma,2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.792128,-118.435099,5544556,AV Solar Ranch One,2014,PV,FIXED_TILT,180,25.0,,241.5,thin-film
9q5fm0,Los Angeles CA,34.612272,-117.939586,309763,SEPV Palmdale East,2015,PV,SINGLE_AXIS,180,0.0,,9.98,c-si
9q5fm0,Los Angeles CA,34.618626,-117.939522,49148,SEPV 1,2012,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9q5fm0,Los Angeles CA,34.708936,-118.129736,23011,Division 2,2014,PV,FIXED_TILT,180,5.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.708325,-118.12854,20052,Division 1,2014,PV,FIXED_TILT,180,15.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.701868,-118.124822,10176,Kettering Solar 2,2014,PV,FIXED_TILT,180,15.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.701058,-118.124893,16000,Kettering Solar 1,2014,PV,FIXED_TILT,180,5.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.711913,-118.291986,24851,Rodeo Solar D2,2014,PV,FIXED_TILT,193,25.0,batteries,1.5,c-si
9q5fm0,Los Angeles CA,34.712088,-118.290546,47905,Rodeo Solar C2,2014,PV,FIXED_TILT,193,25.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.696333,-118.06252,21088,Lancaster Baptist Church,2011,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.613611,-117.936188,70344,SEPV 18,2016,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9q5fm0,Los Angeles CA,34.72545,-118.308755,198609,Western Antelope Dry Ranch,2016,PV,SINGLE_AXIS,180,0.0,,10.0,c-si
9q5fm0,Los Angeles CA,34.69278,-118.327867,656136,"TA-Acacia, LLC",2014,PV,SINGLE_AXIS,180,0.0,,19.7,c-si
9q5fm0,Los Angeles CA,34.698237,-118.337643,429006,Sierra Solar Greenworks,2015,PV,FIXED_TILT,197,25.0,,20.0,thin-film
9q5fm0,Los Angeles CA,34.726891,-118.302936,793259,Elevation Solar C,2016,PV,SINGLE_AXIS,180,0.0,,40.0,c-si
9q5fm0,Los Angeles CA,34.727199,-118.313086,504272,Western Antelope Blue Sky B,2016,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.727542,-118.296354,199780,Summer North Solar,2014,PV,FIXED_TILT,193,25.0,,6.49,c-si
9q5fm0,Los Angeles CA,34.723656,-118.293789,51106,Summer Solar A2,2014,PV,FIXED_TILT,193,25.0,batteries,1.5,c-si
9q5fm0,Los Angeles CA,34.716572,-118.291834,108960,Lancaster Dry Farm Ranch B,2014,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9q5fm0,Los Angeles CA,34.721409,-118.311349,239257,North Lancaster Ranch,2016,PV,FIXED_TILT,180,25.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.779062,-118.19108,70076,Lancaster WAD B,2017,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.655113,-118.051145,57613,Arrache 4006,2013,PV,SINGLE_AXIS,112,0.0,,2.0,c-si
9q5fm0,Los Angeles CA,34.603161,-117.936631,125497,Lancaster Little Rock,2014,PV,FIXED_TILT,180,25.0,,5.0,thin-film
9q5fm0,Los Angeles CA,34.723647,-118.291641,26576,Summer Solar C2,2014,PV,FIXED_TILT,193,25.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.723625,-118.290664,31235,Summer Solar D2,2014,PV,FIXED_TILT,193,25.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.687307,-118.319773,667475,Western Antelope Blue Sky Ranch A,2014,PV,SINGLE_AXIS,180,0.0,,19.95,c-si
9q5fm0,Los Angeles CA,34.716546,-118.261109,372911,Antelope Expansion 1B,2016,PV,SINGLE_AXIS,180,,,17.0,c-si
9q5fm0,Los Angeles CA,34.693768,-118.234071,86791,CSP Los Angeles,2022,PV,DUAL_AXIS,180,,,2.3,thin-film
9q5fm0,Los Angeles CA,34.597412,-117.93146,76700,Green Beanworks C PV,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.814214,-118.388961,5820081,Solar Star 1,2015,PV,SINGLE_AXIS,180,0.0,,314.4,c-si
9q5fm0,Los Angeles CA,34.796534,-118.510081,1379960,Alpine Solar,2013,PV,FIXED_TILT,180,25.0,,66.0,thin-film
9q5fm0,Los Angeles CA,34.564433,-117.694466,50943,Bolthouse S&P and Rowen Farms Solar,2008,PV,SINGLE_AXIS,180,0.0,,1.2,c-si
9q5fm0,Los Angeles CA,34.131487,-118.701239,55226,Las Virgenes,2020,PV,SINGLE_AXIS,177,10.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.723645,-118.29251,25466,Summer Solar B2,2014,PV,FIXED_TILT,193,25.0,,1.5,c-si
9q5fm0,Los Angeles CA,34.742062,-118.302515,2173603,Antelope Expansion 2,2018,PV,SINGLE_AXIS,180,0.0,,105.0,c-si
9q5fm0,Los Angeles CA,34.705692,-118.301453,56759,"Central Antelope Dry Ranch B, LLC",2017,PV,SINGLE_AXIS,180,0.0,batteries,3.0,c-si
9q5fm0,Los Angeles CA,34.736999,-118.304021,435161,Antelope DSR 3,2019,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.722176,-118.28079,1528490,San Pablo Raceway,2019,PV,SINGLE_AXIS,180,0.0,,100.0,c-si
9q5fm0,Los Angeles CA,34.108438,-117.785098,20750,Weymouth Solar Plant,2016,PV,SINGLE_AXIS,180,0.0,batteries,3.0,c-si
9q5fm0,Los Angeles CA,34.6156,-117.936612,68898,One Ten Partners PV,2017,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9q5fm0,Los Angeles CA,34.688092,-117.989692,61562,Green Beanworks B PV,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.74775,-117.973128,62822,AVS Lancaster 1,2016,PV,FIXED_TILT,180,20.0,,3.7,c-si
9q5fm0,Los Angeles CA,34.743518,-117.972926,74404,Lancaster,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.655127,-118.082255,69654,Green Beanworks D PV,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.132314,-118.699522,18662,Las Virgenes Municipal Water District,2014,PV,SINGLE_AXIS,117,0.0,,1.0,c-si
9q5fm0,Los Angeles CA,34.656363,-118.281831,1024252,Antelope DSR 1,2016,PV,SINGLE_AXIS,180,0.0,,50.0,c-si
9q5fm0,Los Angeles CA,34.720171,-118.322228,118157,Antelope Expansion 3B,2022,PV,SINGLE_AXIS,180,,,5.0,c-si
9q5fm0,Los Angeles CA,34.680778,-118.318921,375767,"Bayshore Solar C, LLC",2017,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.714777,-118.27427,270767,"Portal Ridge Solar C, LLC",2017,PV,SINGLE_AXIS,180,0.0,,11.4,thin-film
9q5fm0,Los Angeles CA,34.649011,-118.084924,575854,"Solar Oasis, LLC",2016,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.720632,-118.302392,234133,Central Antelope Dry Ranch C,2016,PV,FIXED_TILT,180,25.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.727487,-118.322374,371794,Antelope Expansion 3A,2021,PV,SINGLE_AXIS,180,,,15.0,
9q5fm0,Los Angeles CA,34.686845,-118.311932,137482,Antelope DSR 2,2016,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9q5fm0,Los Angeles CA,34.666021,-118.304269,429854,"Bayshore Solar A, LLC",2017,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.714915,-118.311318,518882,"Summer Solar, LLC",2016,PV,SINGLE_AXIS,180,0.0,batteries,20.0,c-si
9q5fm0,Los Angeles CA,34.655834,-118.294219,1683704,Solverde 1,2016,PV,SINGLE_AXIS,180,0.0,,85.0,c-si
9q5fm0,Los Angeles CA,34.692615,-118.286334,477112,Antelope Big Sky Ranch,2016,PV,SINGLE_AXIS,180,0.0,batteries,20.0,c-si
9q5fm0,Los Angeles CA,34.71651,-118.282251,386327,"Portal Ridge Solar B, LLC",2017,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9q5fm0,Los Angeles CA,34.661601,-118.086905,53177,US-TOPCO (Soccer Center),2016,PV,FIXED_TILT,180,20.0,,3.0,c-si
9q5fm0,Los Angeles CA,34.678046,-118.30456,399589,"Bayshore Solar B, LLC",2017,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q5fm0,Los Angeles CA,34.511888,-117.916406,167691,"Solar Star California, XLIV, LLC",2016,PV,SINGLE_AXIS,180,0.0,,9.5,c-si
9q5fm0,Los Angeles CA,34.434336,-118.510139,64706,Castaic Lake Phase II,2014,PV,SINGLE_AXIS,180,0.0,,3.5,c-si
9q5fm0,Los Angeles CA,34.662403,-118.084668,43976,Morgan Lancaster 1,2015,PV,DUAL_AXIS,180,,,1.5,c-si
9q5sgb,Ventura CA,34.168862,-119.053959,54443,California State Univ at Channel Islands,2021,PV,SINGLE_AXIS,180,,,3.7,
9q613c,San Luis Obispo CA,35.368633,-120.03261,12480866,Topaz Solar Farm,2014,PV,FIXED_TILT,180,25.0,,585.9,thin-film
9q613c,San Luis Obispo CA,35.317457,-119.925656,4540802,California Valley Solar Ranch,2013,PV,SINGLE_AXIS,180,0.0,,250.0,c-si
9q613c,San Luis Obispo CA,35.557914,-120.681818,49470,Vintner Solar,2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
