Year,Month,State,Data Status,Residential Capacity (MW),Commercial Capacity (MW),Industrial Capacity (MW),Total Capacity (MW),Residential Generation (MWh),Commercial Generation (MWh),Industrial Generation (MWh),Total Generation (MWh)
2020,1,CA,Final,"5,935.765","2,109.451","1,224.575","9,269.791","593,967.982","232,975.809","131,616.899","958,560.689"
2020,2,CA,Final,"6,008.997","2,123.161","1,234.385","9,366.543","674,694.024","255,965.566","143,086.804","1,073,746.394"
2020,3,CA,Final,"6,090.621","2,144.570","1,251.106","9,486.297","872,512.037","340,990.793","204,605.106","1,418,107.936"
2020,4,CA,Final,"6,156.708","2,162.168","1,257.701","9,576.577","985,575.961","369,822.074","220,916.129","1,576,314.164"
2020,5,CA,Final,"6,210.769","2,181.622","1,272.029","9,664.420","1,124,319.843","413,717.647","245,498.672","1,783,536.162"
2020,6,CA,Final,"6,275.644","2,205.090","1,310.415","9,791.149","1,120,164.928","414,829.751","253,037.399","1,788,032.078"
2020,7,CA,Final,"6,344.993","2,223.692","1,332.611","9,901.296","1,161,260.071","429,015.832","264,194.468","1,854,470.370"
2020,8,CA,Final,"6,415.725","2,253.064","1,341.708","10,010.497","1,096,187.879","411,763.930","257,364.943","1,765,316.752"
2020,9,CA,Final,"6,491.302","2,282.723","1,349.864","10,123.889","960,347.126","372,794.680","233,288.440","1,566,430.246"
2020,10,CA,Final,"6,579.321","2,306.697","1,362.792","10,248.810","874,139.691","340,340.855","213,508.603","1,427,989.150"
2020,11,CA,Final,"6,658.547","2,330.747","1,374.344","10,363.638","716,682.860","277,361.538","163,762.831","1,157,807.229"
2020,12,CA,Final,"6,774.444","2,373.365","1,398.566","10,546.375","641,577.602","251,386.300","144,020.380","1,036,984.282"
2021,1,CA,Final,"6,859.535","2,387.219","1,403.803","10,650.557","684,784.228","263,829.363","149,833.863","1,098,447.454"
2021,2,CA,Final,"6,944.578","2,397.930","1,420.166","10,762.674","741,301.695","275,099.047","158,164.604","1,174,565.346"
2021,3,CA,Final,"6,995.163","2,413.330","1,439.776","10,848.269","1,041,002.949","382,673.853","235,003.530","1,658,680.332"
2021,4,CA,Final,"7,135.189","2,435.352","1,447.106","11,017.647","1,169,154.669","428,680.140","253,894.011","1,851,728.820"
2021,5,CA,Final,"7,216.372","2,463.856","1,461.734","11,141.962","1,298,504.111","461,752.074","282,007.763","2,042,263.948"
2021,6,CA,Final,"7,315.461","2,494.658","1,476.091","11,286.210","1,299,813.805","469,352.878","285,015.630","2,054,182.313"
2021,7,CA,Final,"7,417.058","2,518.310","1,473.068","11,408.436","1,325,316.642","485,292.278","292,076.589","2,102,685.509"
2021,8,CA,Final,"7,529.806","2,539.294","1,483.650","11,552.750","1,234,995.905","471,452.917","284,578.979","1,991,027.801"
2021,9,CA,Final,"7,635.974","2,563.030","1,506.163","11,705.167","1,088,337.300","427,342.920","260,252.268","1,775,932.488"
2021,10,CA,Final,"7,743.551","2,585.270","1,509.561","11,838.382","959,459.060","393,485.550","236,239.717","1,589,184.326"
2021,11,CA,Final,"7,865.797","2,609.885","1,516.236","11,991.918","843,613.249","315,402.088","180,015.239","1,339,030.576"
2021,12,CA,Final,"7,991.427","2,652.805","1,522.212","12,166.444","735,535.374","279,107.936","156,181.651","1,170,824.960"
2022,1,CA,Final,"8,103.911","2,683.381","1,516.372","12,303.664","855,371.782","302,128.881","161,366.828","1,318,867.491"
2022,2,CA,Final,"8,220.966","2,712.150","1,517.133","12,450.249","925,062.473","315,593.942","168,650.200","1,409,306.614"
2022,3,CA,Final,"8,364.480","2,744.349","1,519.416","12,628.245","1,318,065.601","450,510.941","247,813.472","2,016,390.014"
2022,4,CA,Final,"8,505.201","2,775.281","1,524.290","12,804.772","1,452,048.342","487,011.838","267,281.363","2,206,341.543"
2022,5,CA,Final,"8,629.940","2,817.041","1,526.926","12,973.907","1,614,657.584","537,764.702","294,517.658","2,446,939.943"
2022,6,CA,Final,"8,761.794","2,840.379","1,535.287","13,137.460","1,609,951.864","538,504.951","296,453.042","2,444,909.857"
2022,7,CA,Final,"8,917.093","2,859.943","1,535.851","13,312.887","1,659,908.815","555,952.152","304,563.432","2,520,424.399"
2022,8,CA,Final,"9,088.022","2,880.119","1,534.733","13,502.874","1,617,191.294","537,161.366","294,402.120","2,448,754.779"
2022,9,CA,Final,"9,237.129","2,895.823","1,542.394","13,675.346","1,445,690.158","482,181.688","266,477.104","2,194,348.950"
2022,10,CA,Final,"9,416.149","2,913.349","1,550.893","13,880.391","1,377,657.226","443,912.133","242,696.121","2,064,265.479"
2022,11,CA,Final,"9,582.504","2,935.439","1,556.815","14,074.758","1,093,884.134","357,795.753","184,782.142","1,636,462.028"
2022,12,CA,Final,"9,692.082","2,943.255","1,560.619","14,195.956","942,233.552","311,224.907","160,102.608","1,413,561.067"
2018,1,AZ,Final,743.316,347.304,10.613,"1,101.233","91,423.571","50,303.861","1,622.381","143,349.813"
2018,2,AZ,Final,761.592,351.389,10.556,"1,123.537","93,990.206","49,537.825","1,535.535","145,063.566"
2018,3,AZ,Final,773.255,355.105,11.984,"1,140.344","127,072.257","63,571.812","2,189.137","192,833.205"
2018,4,AZ,Final,784.156,357.791,11.984,"1,153.931","141,685.791","68,346.131","2,302.539","212,334.461"
2018,5,AZ,Final,795.997,363.300,12.017,"1,171.314","155,305.153","73,651.717","2,445.997","231,402.866"
2018,6,AZ,Final,808.979,369.853,11.323,"1,190.155","150,584.558","71,458.203","2,231.328","224,274.089"
2018,7,AZ,Final,819.878,370.485,12.225,"1,202.588","142,978.169","66,256.007","2,274.990","211,509.166"
2018,8,AZ,Final,831.635,374.283,12.232,"1,218.150","141,094.033","63,765.713","2,205.466","207,065.213"
2018,9,AZ,Final,842.174,376.793,12.251,"1,231.218","133,698.502","62,143.972","2,111.965","197,954.438"
2018,10,AZ,Final,856.877,379.707,12.250,"1,248.834","120,988.556","59,050.953","2,076.303","182,115.812"
2018,11,AZ,Final,869.483,383.541,12.254,"1,265.278","111,430.358","54,386.974","1,858.618","167,675.949"
2018,12,AZ,Final,886.091,357.665,7.567,"1,251.323","100,480.524","48,035.178","1,116.301","149,632.003"
2019,1,AZ,Final,893.552,354.519,6.630,"1,254.701","108,222.206","50,787.185","1,012.927","160,022.318"
2019,2,AZ,Final,905.554,361.994,6.630,"1,274.178","109,203.084","48,855.672",964.024,"159,022.780"
2019,3,AZ,Final,915.460,364.718,6.630,"1,286.808","153,699.232","65,540.451","1,210.184","220,449.867"
2019,4,AZ,Final,926.152,367.459,6.630,"1,300.241","170,806.435","70,855.689","1,273.635","242,935.758"
2019,5,AZ,Final,936.914,375.366,6.630,"1,318.910","190,287.939","75,781.283","1,349.672","267,418.893"
2019,6,AZ,Final,949.441,376.635,6.630,"1,332.706","184,368.732","74,004.355","1,306.518","259,679.605"
2019,7,AZ,Final,959.843,380.816,6.630,"1,347.289","175,452.931","69,500.772","1,236.526","246,190.229"
2019,8,AZ,Final,971.073,383.852,6.630,"1,361.555","170,270.717","67,702.082","1,197.221","239,170.020"
2019,9,AZ,Final,984.565,386.000,6.630,"1,377.195","157,052.431","64,288.077","1,143.398","222,483.906"
2019,10,AZ,Final,998.112,387.953,6.630,"1,392.695","146,265.978","66,325.888","1,123.841","213,715.707"
2019,11,AZ,Final,"1,011.548",392.724,6.630,"1,410.902","120,852.369","53,677.356","1,004.664","175,534.389"
2019,12,AZ,Final,"1,027.802",398.944,6.630,"1,433.376","111,311.640","52,663.847",977.794,"164,953.281"
2020,1,AZ,Final,"1,043.249",404.161,6.630,"1,454.040","127,502.176","58,256.908","1,012.927","186,772.011"
2020,2,AZ,Final,"1,058.434",405.217,6.630,"1,470.281","137,889.682","59,626.383",998.454,"198,514.519"
2020,3,AZ,Final,"1,072.548",411.983,6.630,"1,491.161","169,028.033","72,981.743","1,210.184","243,219.961"
2020,4,AZ,Final,"1,086.162",414.483,6.630,"1,507.275","195,813.744","80,258.916","1,273.635","277,346.295"
2020,5,AZ,Final,"1,096.763",419.265,6.630,"1,522.658","211,411.819","84,719.473","1,349.672","297,480.963"
2020,6,AZ,Final,"1,111.027",419.648,6.630,"1,537.305","204,709.650","81,440.886","1,306.518","287,457.053"
2020,7,AZ,Final,"1,124.484",420.358,6.630,"1,551.472","192,541.918","75,990.743","1,236.526","269,769.186"
2020,8,AZ,Final,"1,138.607",426.052,6.630,"1,571.289","186,103.677","74,192.920","1,197.221","261,493.818"
2020,9,AZ,Final,"1,155.665",429.398,6.630,"1,591.693","173,244.583","71,516.006","1,143.398","245,903.987"
2020,10,AZ,Final,"1,169.094",431.509,6.630,"1,607.233","164,965.418","69,918.157","1,123.841","236,007.416"
2020,11,AZ,Final,"1,183.796",434.073,6.630,"1,624.499","145,221.965","60,344.671","1,004.664","206,571.300"
2020,12,AZ,Final,"1,199.986",442.156,6.630,"1,648.772","139,643.108","60,890.868",977.794,"201,511.770"
2021,1,AZ,Final,"1,219.460",455.029,6.630,"1,681.119","148,112.319","66,659.302","1,012.927","215,784.548"
2021,2,AZ,Final,"1,236.735",446.287,6.630,"1,689.652","158,778.371","63,678.383",964.024,"223,420.779"
2021,3,AZ,Final,"1,258.531",450.867,6.630,"1,716.028","205,285.455","80,850.541","1,210.184","287,346.181"
2021,4,AZ,Final,"1,280.575",453.817,6.630,"1,741.022","229,519.078","87,171.389","1,273.635","317,964.101"
2021,5,AZ,Final,"1,306.653",455.634,6.630,"1,768.917","252,619.060","92,489.511","1,349.672","346,458.243"
2021,6,AZ,Final,"1,326.903",460.553,6.630,"1,794.086","241,586.380","88,581.230","1,306.518","331,474.128"
2021,7,AZ,Final,"1,338.351",463.115,6.630,"1,808.096","214,253.876","82,178.884","1,236.526","297,669.287"
2021,8,AZ,Final,"1,369.800",470.058,6.630,"1,846.488","221,489.171","81,508.508","1,197.221","304,194.900"
2021,9,AZ,Final,"1,393.150",472.183,6.630,"1,871.963","203,288.060","78,604.508","1,143.398","283,035.966"
2021,10,AZ,Final,"1,413.348",473.954,6.630,"1,893.932","198,356.366","77,511.841","1,123.841","276,992.049"
2021,11,AZ,Final,"1,438.842",476.125,6.630,"1,921.597","179,980.546","68,862.891","1,004.664","249,848.100"
2021,12,AZ,Final,"1,470.202",482.859,6.630,"1,959.691","169,318.061","66,123.485",977.794,"236,419.340"
2022,1,AZ,Final,"1,497.898",495.512,6.630,"2,000.040","198,121.702","73,303.913","1,012.927","272,438.542"
2022,2,AZ,Final,"1,523.281",497.711,6.630,"2,027.622","206,299.946","71,996.389",964.024,"279,260.359"
2022,3,AZ,Final,"1,550.908",499.145,6.630,"2,056.683","268,191.409","90,833.694","1,210.184","360,235.287"
2022,4,AZ,Final,"1,575.872",400.280,6.630,"1,982.782","291,292.395","77,565.616","1,273.635","370,131.646"
2022,5,AZ,Final,"1,598.508",402.551,6.630,"2,007.689","317,626.508","82,032.620","1,349.672","401,008.799"
2022,6,AZ,Final,"1,629.527",400.872,6.630,"2,037.029","299,197.536","77,076.279","1,306.518","377,580.332"
2022,7,AZ,Final,"1,654.869",401.522,6.630,"2,063.021","283,986.742","72,581.662","1,236.526","357,804.930"
2022,8,AZ,Final,"1,686.300",404.958,6.630,"2,097.888","277,978.441","70,151.816","1,197.221","349,327.478"
2022,9,AZ,Final,"1,712.066",407.480,6.630,"2,126.176","264,205.880","66,393.040","1,143.398","331,742.319"
2022,10,AZ,Final,"1,741.939",407.330,6.630,"2,155.899","268,841.546","66,396.448","1,123.841","336,361.835"
2022,11,AZ,Final,"1,770.327",407.487,6.630,"2,184.444","235,210.107","58,929.659","1,004.664","295,144.430"
2022,12,AZ,Final,"1,795.381",309.389,6.630,"2,111.400","221,265.591","40,722.566",977.794,"262,965.951"
2018,1,NM,Final,77.028,39.805,0.451,117.284,"10,938.027","5,935.363",66.536,"16,939.927"
2018,2,NM,Final,79.497,42.345,0.451,122.293,"11,064.371","6,170.784",66.181,"17,301.336"
2018,3,NM,Final,80.922,44.495,0.451,125.868,"14,074.831","7,989.823",79.396,"22,144.050"
2018,4,NM,Final,82.614,44.621,0.451,127.686,"15,150.128","8,302.152",84.172,"23,536.452"
2018,5,NM,Final,84.318,37.473,0.451,122.242,"16,318.301","7,505.310",87.923,"23,911.534"
2018,6,NM,Final,85.837,37.826,0.451,124.114,"15,947.218","7,309.208",86.031,"23,342.458"
2018,7,NM,Final,87.184,38.246,0.451,125.881,"15,611.836","7,099.589",86.086,"22,797.512"
2018,8,NM,Final,88.429,39.592,0.451,128.472,"15,107.187","6,738.646",81.882,"21,927.716"
2018,9,NM,Final,89.968,39.012,0.451,129.431,"14,583.153","6,576.607",76.041,"21,235.801"
2018,10,NM,Final,91.717,39.192,0.451,131.360,"13,970.931","6,245.352",71.068,"20,287.351"
2018,11,NM,Final,93.411,39.591,0.451,133.453,"13,127.848","5,806.652",65.248,"18,999.748"
2018,12,NM,Final,95.184,39.967,0.451,135.602,"12,461.406","5,484.051",63.051,"18,008.509"
2019,1,NM,Final,97.161,39.842,0.651,137.654,"13,432.664","5,825.344",98.389,"19,356.397"
2019,2,NM,Final,99.316,40.367,0.654,140.337,"13,666.035","5,784.012",97.108,"19,547.155"
2019,3,NM,Final,101.635,40.875,0.656,143.166,"17,403.992","7,527.080",117.604,"25,048.677"
2019,4,NM,Final,103.330,41.398,0.656,145.384,"18,705.923","7,807.890",123.976,"26,637.790"
2019,5,NM,Final,105.242,42.292,0.656,148.190,"20,148.705","8,413.680",129.427,"28,691.812"
2019,6,NM,Final,107.304,42.783,0.656,150.743,"19,861.263","8,214.370",125.567,"28,201.199"
2019,7,NM,Final,109.478,43.334,0.658,153.470,"19,487.628","8,039.171",123.950,"27,650.749"
2019,8,NM,Final,111.964,44.020,0.659,156.643,"19,261.586","7,791.824",118.694,"27,172.105"
2019,9,NM,Final,114.128,45.620,0.660,160.408,"18,512.227","7,650.193",111.579,"26,273.999"
2019,10,NM,Final,116.696,45.800,0.660,163.156,"18,408.097","7,443.803",106.329,"25,958.229"
2019,11,NM,Final,119.051,46.157,0.660,165.868,"16,549.311","6,700.358",97.790,"23,347.459"
2019,12,NM,Final,121.503,46.242,0.662,168.407,"16,220.773","6,433.988",95.380,"22,750.142"
2020,1,NM,Final,124.535,47.429,0.601,172.565,"17,661.430","6,988.120",90.426,"24,739.976"
2020,2,NM,Final,126.113,44.917,0.601,171.631,"18,152.670","6,704.729",92.213,"24,949.612"
2020,3,NM,Final,128.528,45.144,0.601,174.273,"22,049.119","8,007.053",107.353,"30,163.524"
2020,4,NM,Final,130.914,45.407,0.601,176.922,"23,984.542","8,599.594",113.297,"32,697.433"
2020,5,NM,Final,133.180,45.545,0.601,179.326,"25,756.439","9,032.307",118.291,"34,907.037"
2020,6,NM,Final,135.045,46.051,0.601,181.697,"25,113.308","8,886.426",114.960,"34,114.694"
2020,7,NM,Final,137.271,47.197,0.601,185.069,"24,303.683","8,761.854",113.524,"33,179.062"
2020,8,NM,Final,139.779,47.773,0.601,188.153,"23,698.581","8,425.654",108.429,"32,232.664"
2020,9,NM,Final,142.051,47.857,0.601,190.509,"22,926.838","8,024.400",101.546,"31,052.785"
2020,10,NM,Final,145.094,48.109,0.601,193.804,"22,699.323","7,804.418",96.375,"30,600.116"
2020,11,NM,Final,148.055,49.286,0.601,197.942,"20,952.877","7,127.958",88.603,"28,169.439"
2020,12,NM,Final,151.268,54.816,0.451,206.535,"20,623.856","7,711.019",63.051,"28,397.926"
2021,1,NM,Final,156.283,56.431,0.601,213.315,"22,298.287","8,342.604",90.426,"30,731.317"
2021,2,NM,Final,160.110,56.638,0.601,217.349,"22,465.736","8,099.786",89.034,"30,654.555"
2021,3,NM,Final,163.905,57.143,0.601,221.649,"28,494.632","10,251.750",107.353,"38,853.735"
2021,4,NM,Final,167.851,56.211,0.601,224.663,"30,673.120","10,561.467",113.297,"41,347.883"
2021,5,NM,Final,172.384,56.245,0.557,229.186,"33,018.790","11,141.794",109.714,"44,270.298"
2021,6,NM,Final,176.928,58.258,0.557,235.743,"32,370.201","11,073.469",106.566,"43,550.237"
2021,7,NM,Final,180.359,58.515,0.557,239.431,"31,946.539","10,718.133",105.125,"42,769.797"
2021,8,NM,Final,183.584,60.755,0.557,244.896,"29,488.473","10,701.836",100.441,"40,290.749"
2021,9,NM,Final,187.247,61.161,0.557,248.965,"28,171.455","10,206.189",94.128,"38,471.772"
2021,10,NM,Final,190.319,62.227,0.557,253.103,"27,764.582","10,157.835",89.442,"38,011.858"
2021,11,NM,Final,194.135,63.357,0.557,258.049,"27,881.878","9,314.740",82.238,"37,278.855"
2021,12,NM,Final,197.180,64.556,0.557,262.293,"26,965.993","9,214.782",79.882,"36,260.657"
2022,1,NM,Final,201.845,65.047,0.557,267.449,"30,071.985","9,715.899",83.935,"39,871.818"
2022,2,NM,Final,205.822,65.150,0.557,271.529,"29,641.375","9,462.310",82.577,"39,186.261"
2022,3,NM,Final,210.056,65.294,0.557,275.907,"37,073.314","11,725.814",99.607,"48,898.735"
2022,4,NM,Final,214.192,65.539,0.557,280.288,"40,259.976","12,418.673",105.085,"52,783.734"
2022,5,NM,Final,215.918,66.398,0.557,282.873,"42,683.544","13,258.400",109.714,"56,051.658"
2022,6,NM,Final,221.532,67.343,0.557,289.432,"41,431.285","12,821.534",106.566,"54,359.386"
2022,7,NM,Final,224.865,67.710,0.557,293.132,"40,741.772","12,399.623",105.125,"53,246.521"
2022,8,NM,Final,228.998,68.214,0.557,297.769,"39,695.064","11,923.891",100.441,"51,719.396"
2022,9,NM,Final,232.746,68.535,0.557,301.838,"38,694.082","11,485.887",94.128,"50,274.097"
2022,10,NM,Final,236.966,69.514,0.557,307.037,"37,760.282","11,295.361",89.442,"49,145.084"
2022,11,NM,Final,241.384,69.914,0.557,311.855,"35,630.778","10,362.986",82.238,"46,076.002"
2022,12,NM,Final,244.790,68.052,0.557,313.399,"34,329.562","9,612.182",79.882,"44,021.626"
2018,1,NV,Final,166.706,51.658,12.955,231.319,"18,339.268","6,762.923","1,844.820","26,947.011"
2018,2,NV,Final,169.415,51.659,12.955,234.029,"20,298.392","6,659.116","1,762.487","28,719.995"
2018,3,NV,Final,173.125,51.666,13.041,237.832,"27,511.456","8,929.625","2,364.359","38,805.440"
2018,4,NV,Final,178.263,54.553,13.041,245.857,"32,086.631","9,800.328","2,428.935","44,315.894"
2018,5,NV,Final,183.154,54.583,16.328,254.065,"35,315.421","10,511.688","3,266.233","49,093.342"
2018,6,NV,Final,189.725,54.723,16.582,261.030,"37,131.866","10,738.240","3,258.379","51,128.485"
2018,7,NV,Final,194.640,54.766,16.582,265.988,"35,189.579","10,649.851","3,231.447","49,070.878"
2018,8,NV,Final,200.834,55.699,16.582,273.115,"35,606.867","10,558.493","3,173.435","49,338.795"
2018,9,NV,Final,207.665,55.733,17.080,280.478,"34,116.833","9,730.849","3,053.466","46,901.149"
2018,10,NV,Final,214.094,55.777,17.080,286.951,"31,011.998","9,136.085","2,869.802","43,017.885"
2018,11,NV,Final,221.306,55.806,17.080,294.192,"26,270.488","7,359.563","2,486.971","36,117.022"
2018,12,NV,Final,229.434,55.039,17.080,301.553,"23,741.136","6,549.964","2,324.728","32,615.827"
2019,1,NV,Final,239.430,55.179,18.386,312.995,"25,792.574","6,994.440","2,620.598","35,407.613"
2019,2,NV,Final,248.364,55.179,18.386,321.929,"27,939.193","6,847.430","2,502.723","37,289.346"
2019,3,NV,Final,257.431,55.696,18.386,331.513,"42,377.650","9,620.459","3,334.523","55,332.632"
2019,4,NV,Final,265.689,55.696,18.386,339.771,"47,087.870","10,083.015","3,425.282","60,596.166"
2019,5,NV,Final,273.944,55.696,18.386,348.026,"52,775.398","10,895.104","3,676.840","67,347.341"
2019,6,NV,Final,281.464,55.711,18.386,355.561,"54,917.815","10,897.839","3,613.277","69,428.931"
2019,7,NV,Final,289.432,55.716,18.386,363.534,"55,266.534","10,973.959","3,582.697","69,823.190"
2019,8,NV,Final,301.096,55.716,18.386,375.198,"55,456.128","10,745.873","3,518.456","69,720.457"
2019,9,NV,Final,308.720,56.058,18.386,383.164,"50,180.753","9,903.934","3,287.120","63,371.807"
2019,10,NV,Final,319.219,57.052,18.386,394.657,"50,129.853","9,323.667","3,089.660","62,543.181"
2019,11,NV,Final,327.118,57.063,18.386,402.567,"38,221.086","7,615.889","2,678.685","48,515.661"
2019,12,NV,Final,337.559,57.807,18.386,413.752,"31,735.297","6,881.671","2,504.752","41,121.721"
2020,1,NV,Final,345.858,58.199,18.386,422.443,"40,061.796","7,384.706","2,620.598","50,067.100"
2020,2,NV,Final,355.469,58.227,18.386,432.082,"44,930.083","7,706.760","2,592.106","55,228.949"
2020,3,NV,Final,365.536,58.440,18.386,442.362,"57,792.292","10,105.249","3,334.523","71,232.064"
2020,4,NV,Final,372.795,58.743,18.386,449.924,"63,877.874","10,644.862","3,425.282","77,948.018"
2020,5,NV,Final,379.129,58.744,18.386,456.259,"72,824.868","11,565.351","3,676.840","88,067.059"
2020,6,NV,Final,386.532,58.778,18.386,463.696,"72,591.455","11,482.765","3,613.277","87,687.496"
2020,7,NV,Final,394.413,58.917,18.386,471.716,"73,393.911","11,596.015","3,582.697","88,572.622"
2020,8,NV,Final,402.443,59.045,18.386,479.874,"70,483.452","11,116.088","3,518.456","85,117.995"
2020,9,NV,Final,411.676,59.122,18.386,489.184,"61,823.806","10,419.730","3,287.120","75,530.656"
2020,10,NV,Final,420.741,59.135,19.386,499.262,"61,003.814","9,640.508","3,258.005","73,902.327"
2020,11,NV,Final,428.314,59.595,19.386,507.295,"51,123.588","7,966.547","2,825.480","61,915.615"
2020,12,NV,Final,437.990,59.573,19.386,516.949,"47,275.089","7,152.942","2,642.595","57,070.627"
2021,1,NV,Final,448.762,59.778,19.885,528.425,"51,327.232","7,573.571","2,836.597","61,737.400"
2021,2,NV,Final,457.624,59.806,19.885,537.315,"55,722.125","7,610.458","2,708.107","66,040.690"
2021,3,NV,Final,465.139,59.888,19.885,544.912,"75,601.285","10,412.499","3,607.567","89,621.351"
2021,4,NV,Final,473.033,59.909,19.885,552.827,"83,444.773","10,862.986","3,705.423","98,013.182"
2021,5,NV,Final,483.665,61.752,20.487,565.904,"92,234.620","12,171.966","4,097.871","108,504.457"
2021,6,NV,Final,495.598,61.963,20.487,578.048,"90,140.418","12,030.395","4,026.603","106,197.416"
2021,7,NV,Final,504.788,62.029,20.487,587.304,"89,242.085","11,944.704","3,991.773","105,178.562"
2021,8,NV,Final,516.201,62.081,20.487,598.769,"89,788.208","11,707.855","3,920.279","105,416.343"
2021,9,NV,Final,525.644,63.067,20.487,609.198,"79,907.510","11,096.463","3,663.007","94,666.980"
2021,10,NV,Final,536.321,63.248,20.487,620.056,"72,823.066","10,317.980","3,443.353","86,584.399"
2021,11,NV,Final,546.217,63.531,20.487,630.235,"66,676.822","8,512.608","2,987.102","78,176.532"
2021,12,NV,Final,552.614,64.098,20.487,637.199,"59,960.777","7,735.607","2,794.361","70,490.745"
2022,1,NV,Final,564.311,64.186,20.487,648.984,"71,354.252","8,218.603","2,923.342","82,496.197"
2022,2,NV,Final,572.843,64.284,21.630,658.757,"74,858.934","8,125.928","2,947.195","85,932.057"
2022,3,NV,Final,583.487,64.313,21.630,669.430,"99,233.541","11,101.940","3,925.421","114,260.902"
2022,4,NV,Final,593.397,64.336,21.630,679.363,"109,586.558","11,737.849","4,031.537","125,355.944"
2022,5,NV,Final,603.651,64.449,21.630,689.730,"121,349.129","12,679.474","4,326.924","138,355.527"
2022,6,NV,Final,615.078,64.540,21.630,701.248,"119,064.208","12,506.530","4,251.464","135,822.201"
2022,7,NV,Final,626.466,65.111,21.630,713.207,"117,990.967","12,776.261","4,214.322","134,981.549"
2022,8,NV,Final,639.642,65.191,21.630,726.463,"114,245.186","12,491.301","4,138.882","130,875.369"
2022,9,NV,Final,652.914,65.293,21.630,739.837,"109,141.761","11,524.360","3,867.499","124,533.620"
2022,10,NV,Final,652.944,62.531,33.169,748.644,"101,432.653","10,264.642","5,578.303","117,275.598"
2022,11,NV,Final,665.738,62.645,33.169,761.552,"86,428.369","8,422.391","4,848.756","99,699.517"
2022,12,NV,Final,679.510,62.922,33.169,775.601,"83,268.273","7,564.681","4,542.496","95,375.450"
2018,1,UT,Final,154.328,40.273,4.277,198.878,"16,216.176","4,261.610",461.675,"20,939.460"
2018,2,UT,Final,158.391,41.187,4.282,203.860,"17,043.498","4,513.057",473.838,"22,030.394"
2018,3,UT,Final,162.135,42.003,4.282,208.420,"25,334.836","6,636.675",685.117,"32,656.628"
2018,4,UT,Final,164.474,42.544,4.282,211.300,"27,483.631","7,269.665",733.176,"35,486.472"
