file_name,eia_id,total_eia_production_mwh,total_pvwatts_production_mwh,difference_mwh_eia_pvwatts
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Adelanto_Solar_Project_34.547517_-117.440508.csv,57305,60708.05,110927.07422070407,-50219.02422070407
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Alamo_Solar_34.685814_-117.345262.csv,59469,235343.04999999996,242999.1136903124,-7656.06369031244
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Cascade_Solar_34.166356_-116.235876.csv,58590,260143.05999999997,239772.2306266295,20370.829373370478
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_CA_Institute_for_Women_33.947505_-117.639748.csv,64518,7358.030000000001,7317.6301001008915,40.39989989910919
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Colton_Solar_One,_LLC_34.094045_-117.319013.csv",59597,22683.030000000002,22186.1589381058,496.8710618942023
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Colton_Solar_Two,_LLC_34.042263_-117.361811.csv",59598,8374.019999999999,12185.828380664965,-3811.8083806649665
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Coronus_Adelanto_West_1_34.54982_-117.466688.csv,59536,11911.02,16332.762988288998,-4421.742988288997
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Coronus_Adelanto_West_2_34.548893_-117.467441.csv,59537,15019.009999999998,16332.79102642572,-1313.7810264257223
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Crafton_Hills_College_Solar_Farm_34.043323_-117.097058.csv,58170,4792.629999999999,15755.553736224354,-10962.923736224355
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Expressway_Solar_A_34.582289_-117.341622.csv,58761,24341.04,21808.053268107928,2532.9867318920733
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Expressway_Solar_B_34.58338_-117.341455.csv,58762,20935.000000000004,21808.032930566438,-873.0329305664345
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Expressway_Solar_C2_34.584613_-117.342225.csv,58763,15826.0,16355.969973173433,-529.9699731734327
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Hudson-High_Desert_Hybrid_34.625739_-117.369334.csv,64624,390203.0,522663.9657288392,-132460.96572883922
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Industry_Solar_Power_Generation_Station_1,_LLC_34.552307_-117.456763.csv",58609,20957.99,19599.02318076282,1358.9668192371828
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Lone_Valley_Solar_Park_I,_LLC_34.398252_-116.869667.csv",58417,117109.99,130472.22345540489,-13362.233455404887
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Lone_Valley_Solar_Park_II,_LLC_34.406096_-116.862059.csv",59237,241904.06999999998,260933.5133481494,-19029.44334814942
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Longboat_Solar,_LLC_34.904059_-117.103149.csv",60485,261403.03000000003,258267.31143779182,3135.7185622082034
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Madelyn_Solar,_LLC_34.768035_-117.323327.csv",59409,12808.050000000001,12472.184337114159,335.86566288584254
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Mitchell_Solar,_LLC_34.765216_-117.323349.csv",59411,17210.06,18708.45189538522,-1498.391895385219
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Navajo_Solar_Power_Generation_Station_1,_LLC_34.550338_-117.192742.csv",58610,21010.05,19540.691017136574,1469.358982863425
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Newberry_Solar_1,_LLC_34.853599_-116.683863.csv",58226,14781.02,19159.00130437211,-4377.981304372108
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Nunn_34.50918_-117.153822.csv,58448,12469.029999999999,13037.578016981675,-568.5480169816765
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Otoe_Solar_Power_Generation_Station_1,_LLC_34.544533_-117.192798.csv",58612,16660.030000000002,16134.599771568961,525.4302284310415
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Phelan_Pinon_Hills_CSD_Solar_34.578988_-117.579412.csv,63376,11113.029999999999,14320.20004279079,-3207.170042790791
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Powhatan_Solar_Power_Generation_Station_1,_LLC_34.496399_-117.143443.csv",58611,21590.05,19883.279816506136,1706.7701834938634
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_PVN_Milliken,_LLC_34.038508_-117.565779.csv",60790,24390.030000000002,30530.588391083074,-6140.558391083072
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_RE_Victor_Phelan_Solar_One,_LLC_34.51231_-117.481927.csv",58202,222418.03999999998,229603.73798518546,-7185.697985185485
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Rudy_Solar,_LLC_34.766753_-117.323333.csv",59410,16505.04,18708.361920827017,-2203.3219208270166
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SCE-Snowline-Duncan_Road_(North)_34.474054_-117.563433.csv,59359,16100.02,19740.57912322055,-3640.559123220548
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SCE-Snowline-Duncan_Road_(South)_34.471409_-117.561967.csv,59360,11361.000000000002,13160.582437316343,-1799.5824373163414
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SCE-Snowline-White_Rd_(Central)_34.415766_-117.46979.csv,59423,18535.98,19835.494088923315,-1299.5140889233153
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SCE-Snowline-White_Road_(North)_34.418022_-117.469811.csv,59422,18091.039999999997,19835.255000713572,-1744.2150007135751
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SCE-Snowline-White_Road_(South)_34.412889_-117.469435.csv,59421,16696.010000000002,19835.80762111392,-3139.7976211139176
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SEPV9_Power_Plant_34.189891_-116.091639.csv,58227,114416.01,109890.57595442835,4525.434045571645
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SEPV_2_34.174111_-116.152878.csv,58074,20030.030000000002,25919.384007027194,-5889.354007027192
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SEPV_8_34.171191_-116.153642.csv,58234,156039.01999999996,155518.84736885942,520.1726311405364
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Sheep_Creek_Community_Solar_Farm_34.571844_-117.575966.csv,65970,0.0,7882.737454632854,-7882.737454632854
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Stateline_Solar_35.587142_-115.428453.csv,58646,3227100.03,3251127.7564778803,-24027.726477880497
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_SunEdison_Walmart_Apple_Valley_DC_34.594302_-117.194878.csv,57012,10848.089999999998,11772.052659022287,-923.9626590222888
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Sunray_2_34.858925_-116.814282.csv,10437,291752.02999999997,255855.60956917875,35896.42043082122
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Sunray_3_34.862847_-116.831184.csv,10438,175382.02,176535.80185785447,-1153.781857854483
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Target_Shafter_34.112021_-117.273426.csv,61824,24939.04,35641.74833453512,-10702.70833453512
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Dry_Farm_Ranch_A_34.497624_-117.470659.csv,58418,49678.04,53245.2533675203,-3567.2133675203004
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Dry_Farm_Ranch_B_34.497824_-117.4723.csv,58419,48812.00000000001,53245.10905284896,-4433.109052848951
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Mesa_Linda_B2_34.512587_-117.387399.csv,59269,18685.990000000005,17406.22450924883,1279.765490751175
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Mesa_Linda_C2_34.511014_-117.387081.csv,59270,18768.05,17406.29207630659,1361.7579236934107
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Mesa_Linda_D2_34.509602_-117.387321.csv,59271,18731.03,17406.345270474067,1324.6847295259322
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Victor_Valley_CC_CPV_Solar_34.480112_-117.257817.csv,57254,8692.02,13041.76076650098,-4349.74076650098
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mupsy_Watts_3115_34.601219_-117.643653.csv,58454,17937.019999999997,24033.96585667516,-6096.945856675164
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Agua_Caliente_Solar_Project_32.981357_-113.498003.csv,57373,3597813.0,2931540.9605385116,666272.0394614884
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Arizona_Western_College_PV_32.686077_-114.495993.csv,57765,39642.02,72665.23238496437,-33023.212384964376
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Calipatria_Solar_Farm_33.165624_-115.531885.csv,59088,207342.03999999998,248054.2781677183,-40712.238167718315
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Calipatria_State_Prison_33.166494_-115.495569.csv,64521,47590.020000000004,62277.39696094934,-14687.37696094934
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Campo_Verde_Solar_32.745065_-115.726842.csv,58467,1692441.0499999998,1548688.4516470456,143752.59835295426
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Centinela_Solar_Energy_32.690795_-115.644149.csv,58430,2446491.059999999,2115915.830009268,330575.229990731
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Centinela_State_Prison_32.825456_-115.775311.csv,64519,51018.06,63245.251446033835,-12227.191446033838
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Citizens_Imperial_Solar_33.186401_-115.428877.csv,62052,255728.0,299354.64961860265,-43626.64961860265
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Community_Solar_1_32.983337_-115.481892.csv,58545,67502.04,74853.73284393591,-7351.692843935918
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Crown_Cooling_Facility_32.967109_-115.532695.csv,58527,4854.880000000001,10615.96106634561,-5761.081066345609
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Drew_Solar_LLC_32.69098_-115.667807.csv,63127,40017.0,252218.3120508837,-212201.3120508837
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Foothills_Solar_Plant_Hybrid_32.6395_-114.431353.csv,57997,487494.03,468077.52120022307,19416.50879977696
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Heber_Solar_32.714021_-115.540541.csv,58398,127580.02,124584.57733643509,2995.4426635649143
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Hyder_II_Hybrid_33.026566_-113.356482.csv,58383,185446.02999999997,174380.86247417997,11065.167525819998
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Hyder_Solar_Hybrid_33.027149_-113.348204.csv,57563,192142.03999999998,199291.8439642384,-7149.80396423841
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Imperial_Solar_Energy_Center_South_32.658612_-115.668611.csv,57490,1380993.0400000003,1377201.4882994685,3791.551700531738
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Imperial_Solar_Energy_Center_West_32.7622_-115.783372.csv,57491,1991459.0399999998,1882959.069657446,108499.97034255392
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Imperial_Valley_Solar,_LLC_32.675733_-115.596466.csv",56917,1891425.01,2573164.3480965393,-681739.3380965393
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Imperial_Valley_Solar_Company_1,_LLC_33.245914_-115.495117.csv",58062,196438.02,245476.619439834,-49038.59943983401
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Imperial_Valley_Solar_Co_(IVSC)_2,_LLC_33.252638_-115.497801.csv",59657,231007.01,212075.51360400606,18931.49639599395
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_IVC_Solar_32.831965_-115.506304.csv,61692,22724.01,37342.479924744526,-14618.469924744528
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Midway_Solar_Farm_III_33.158419_-115.531909.csv,60315,196323.00999999998,248063.2140783896,-51740.20407838962
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Midway_Solar_Farm_II_33.165443_-115.54063.csv,60237,386952.0,372081.1440492413,14870.855950758676
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Midway_Solar_Farm_I_33.165607_-115.54926.csv,60336,626321.0,620133.9327543597,6187.067245640326
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Mount_Signal_Solar_Farm_II_32.660359_-115.629932.csv,61353,1160034.0,1152337.715606721,7696.284393279115
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Mount_Signal_Solar_Farm_V_32.668292_-115.559746.csv,61202,2568611.0,3140672.14503368,-572061.1450336799
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_SEPV_Imperial_Dixieland_East_32.793446_-115.772764.csv,60745,27981.01,24055.520360321578,3925.4896396784206
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_SEPV_Imperial_Dixieland_West_32.793358_-115.781481.csv,60744,42601.049999999996,36716.225916420786,5884.824083579209
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Seville_1_33.116481_-116.001614.csv,59722,269311.03,251822.02640256495,17489.003597435076
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Seville_2_33.109168_-116.002991.csv,59723,422539.02999999997,376742.9499416958,45796.080058304186
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Solar_Gen_2_Solar_Facility_33.085561_-115.471515.csv,58592,1949416.9799999997,1929581.4403572045,19835.539642795222
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Sol_Orchard_El_Centro_PV_32.800989_-115.546392.csv,58621,219357.03999999998,248987.3744014914,-29630.33440149142
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Titan_Solar_1_(CA)_33.101457_-116.00026.csv,63932,406328.38,566837.0888164942,-160508.7088164942
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_USG_1_32.793208_-115.857433.csv,61682,12220.060000000001,12668.660633697786,-448.60063369778436
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_USG_2_32.790409_-115.863285.csv,61683,8953.040000000003,10696.538548649314,-1743.4985486493115
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Valencia_1_Solar_CA_33.043676_-115.627653.csv,61418,34759.05,31397.474920522283,3361.5750794777196
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Valencia_2_32.910699_-115.512279.csv,64267,15374.0,16614.48512885069,-1240.4851288506907
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Valencia_3_32.885328_-115.537213.csv,64441,14169.009999999998,14895.229966569816,-726.2199665698172
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Wistaria_Ranch_Solar_32.661415_-115.606286.csv,61750,1089333.0,1246438.5319260114,-157105.53192601143
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9mvgw4_Wister_Solar_33.273731_-115.505335.csv,63487,18853.010000000002,252115.7537796197,-233262.7437796197
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9pr8ne_Redwood_Coast_Airport_Microgrid_40.967375_-124.104405.csv,64766,730.0000000000001,6140.822871075609,-5410.822871075609
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Alpine_Solar_34.796534_-118.510081.csv,57295,800252.03,726215.7591742737,74036.27082572633
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_Big_Sky_Ranch_34.692615_-118.286334.csv,60279,267657.01000000007,257679.36100642377,9977.648993576295
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_DSR_1_34.656363_-118.281831.csv,60186,647966.0,645786.1915423365,2179.8084576635156
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_DSR_2_34.686845_-118.311932.csv,60187,67415.96999999999,64421.714159342584,2994.2558406574026
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_DSR_3_34.736999_-118.304021.csv,61265,160004.99,206645.37304116576,-46640.38304116577
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_Expansion_1B_34.716546_-118.261109.csv,62320,2438.0,219556.75799003767,-217118.75799003767
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_Expansion_2_34.742062_-118.302515.csv,61264,1012701.0,1355892.9672347587,-343191.96723475866
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_Expansion_3A_34.727487_-118.322374.csv,62673,68189.0,78421.93626043305,-10232.936260433053
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Antelope_Expansion_3B_34.720171_-118.322228.csv,62674,13396.02,13146.953241453353,249.06675854664718
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Arrache_4006_34.655113_-118.051145.csv,58445,11830.030000000002,23842.572729913933,-12012.54272991393
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Arrache_4013_34.650621_-118.051936.csv,58446,16948.019999999997,18604.87386374286,-1656.8538637428646
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Arrache_8083_34.647943_-118.061071.csv,58447,17097.05,49613.61853431815,-32516.56853431815
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_AVS_Lancaster_1_34.74775_-117.973128.csv,60085,42232.969999999994,40025.53759108603,2207.4324089139627
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_AV_Solar_Ranch_One_34.792128_-118.435099.csv,57378,2952411.0,2652333.794014981,300077.205985019
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Bayshore_Solar_A,_LLC_34.666021_-118.304269.csv",60481,269387.02,258299.46985495364,11087.550145046378
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Bayshore_Solar_B,_LLC_34.678046_-118.30456.csv",60474,264681.01,257698.64476088327,6982.365239116742
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Bayshore_Solar_C,_LLC_34.680778_-118.318921.csv",60475,260118.04,257695.2629255497,2422.777074450307
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Bolthouse_S&P_and_Rowen_Farms_Solar_34.564433_-117.694466.csv,56862,10395.08,15653.440828712432,-5258.360828712432
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Castaic_Lake_Phase_II_34.434336_-118.510139.csv,63385,23493.03,42654.28863980803,-19161.25863980803
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Central_Antelope_Dry_Ranch_B,_LLC_34.705692_-118.301453.csv",60281,41139.03,38649.19891497919,2489.831085020807
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Central_Antelope_Dry_Ranch_C_34.720632_-118.302392.csv,59963,175689.99999999997,218456.16587263442,-42766.16587263445
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_CSP_Los_Angeles_34.693768_-118.234071.csv,65182,585.01,6019.350611946349,-5434.340611946349
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Division_1_34.708325_-118.12854.csv,59094,13141.99,15834.462779556114,-2692.472779556114
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Division_2_34.708936_-118.129736.csv,59095,9503.03,9900.061708684992,-397.0317086849918
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Elevation_Solar_C_34.726891_-118.302936.csv,59964,555248.0,516573.10139823303,38674.89860176697
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Green_Beanworks_B_PV_34.688092_-117.989692.csv,61339,28581.050000000003,38834.34091886861,-10253.29091886861
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Green_Beanworks_C_PV_34.597412_-117.93146.csv,61215,31682.03,39104.19679009758,-7422.166790097581
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Green_Beanworks_D_PV_34.655127_-118.082255.csv,61216,31819.010000000006,38539.67571571378,-6720.665715713778
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Heliocentric_34.654388_-117.971144.csv,57831,11611.019999999999,14386.882017147738,-2775.8620171477396
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Horn_34.708588_-118.274109.csv,58452,16665.980000000003,18699.224028703535,-2033.2440287035315
"C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Irwindale_Brew_Yard,_LLC_34.122638_-117.939375.csv",58056,14651.18,28825.38404717655,-14174.20404717655
C:/Users/kperry/Documents/extreme-weather-ca-heatwave\pvwatts_powerplants\9q5fm0_Kettering_Solar_1_34.701058_-118.124893.csv,59098,9415.020000000002,9828.55629811655,-413.5362981165472
