system_id,geocode,Bus  Number,Bus  Name,latitude,longitude,county,state,tzoffset,azimuth,tilt,power,tracking,module_type,min_measured_date,max_measured_date,backtracking,mount_type
49,9qcbq0,3907,BELLOTA,38.01622,-121.015147,9q9zb3,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
50,9qcem3,3908,BRIGHTON,38.547942,-121.407942,9qcdwz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
51,9qcf5u,8004,RNCHSECO,38.344823,-121.123005,9qcdwz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
52,9qcggm,3913,GOLDHILL,38.657961,-121.137023,9qcdwz,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
53,9qcjcp,3910,CORTINA,39.018333,-122.290278,9qcnfk,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
54,9qct8r,3405,WILSON,38.978333,-121.625833,9qcqnd,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
55,9qcts0,3920,RIO OSO,38.93608,-121.463992,9qcqnd,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
56,9qcxqg,3909,COLGATE,39.2617,-121.337,9qcxqs,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
57,9qd2ds,3404,PANOCHE,36.675814,-120.46628,9qd5sg,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
58,9qd9xh,3401,GREGG,36.850535,-119.92442,9qdcjh,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
59,9qdbm8,3403,MC CALL,36.609214,-119.639632,9qdcjh,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
60,9qe6tq,3402,HELMS PP,37.039937,-118.946978,9q7w15,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
61,9qh0rw,2501,SERRANO,33.828436,-117.79013,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
62,9qh18k,2408,MESA CAL,34.037233,-118.11012,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
63,9qh3ky,2402,MIRALOMA,34.008174,-117.564527,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
