,state,county,latitude_gen,longitude_gen,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW],latitude_county,longitude_county,geohash
24,AZ,Pinal,33.04158,-111.452179,1122685,Sandstone Solar,2015,PV,single-axis,90.0,,,45.0,33.069323,-111.602135,9w01f3
25,AZ,Mohave,34.983955,-114.556343,74954,Mohave Electric at Fort Mohave,2015,PV,fixed-tilt,180.0,22.0,,4.4,35.034511,-114.262415,9qndpr
26,AZ,Pinal,33.053898,-111.340988,873501,Bonnybrooke PV,2016,PV,single-axis,90.0,,,50.0,33.069323,-111.602135,9w01f3
27,AZ,Pinal,32.553082,-111.283096,1142265,Red Rock,2017,PV,single-axis,0.0,0.0,batteries,40.0,33.069323,-111.602135,9w01f3
28,AZ,Mohave,35.349159,-113.914261,1715965,Gray Hawk Solar,2018,PV,single-axis,0.0,0.0,,46.0,35.034511,-114.262415,9qqk6u
29,AZ,Pima,32.170517,-110.897011,270570,Davis Monthan AFB (AZ) West Airfield,2014,PV,single-axis,0.0,0.0,,12.6,32.216427,-110.95803,9w01f3
30,AZ,Cochise,32.257198,-110.1576,1159163,Red Horse 2,2015,PV,single-axis,90.0,,,55.0,31.603486,-110.072835,9w01f3
31,AZ,Cochise,32.066677,-109.92128,418579,Sulphur Springs,2016,PV,single-axis,0.0,0.0,,20.5,31.603486,-110.072835,9w01f3
32,AZ,Cochise,32.068283,-109.888695,518459,Apache Solar 1,2017,PV,single-axis,90.0,,batteries,20.0,31.603486,-110.072835,9w1wf0
33,AZ,Pinal,32.875668,-111.548523,545831,Pinal Central Energy Center Hybrid,2018,PV,single-axis,180.0,,batteries,20.0,33.069323,-111.602135,9w01f3
34,AZ,Pima,32.365116,-112.830803,100250,"RE Ajo 1, LLC",2011,PV,single-axis,180.0,,,4.5,32.216427,-110.95803,9mzqxj
35,AZ,Mohave,35.241589,-114.004585,26485,La Senita,2011,PV,single-axis,180.0,25.0,,1.0,35.034511,-114.262415,9qqk6u
36,AZ,Pima,32.099522,-110.811272,33547,UASTP I,2010,PV,single-axis,180.0,25.0,,1.2,32.216427,-110.95803,9w01f3
37,AZ,Cochise,32.265812,-110.156288,1102580,Red Horse III,2016,PV,single-axis,90.0,,,30.0,31.603486,-110.072835,9w01f3
38,AZ,Maricopa,33.268353,-111.613365,482002,Queen Creek Solar Farm,2012,PV,single-axis,90.0,,,19.0,33.490147,-112.044016,9w01f3
39,AZ,Yuma,33.025455,-113.35939,488596,Hyder II Hybrid,2013,PV,single-axis,0.0,0.0,batteries,14.0,32.641391,-114.605444,9mzqxj
40,AZ,Maricopa,33.823139,-112.240891,75098,Lake Pleasant WTP,2012,PV,single-axis,0.0,0.0,,6.0,33.490147,-112.044016,9w01f3
41,AZ,Pima,32.101948,-110.813362,22134,Cogenra-TEP,2014,PV,single-axis,180.0,0.0,,1.0,32.216427,-110.95803,9w01f3
42,AZ,Pima,32.107056,-110.824226,56971,FRB Solar Farm,2011,PV,dual-axis,180.0,,,1.9,32.216427,-110.95803,9w01f3
43,AZ,Maricopa,33.331272,-112.923386,2211866,"Mesquite Solar 2, LLC",2016,PV,single-axis,90.0,52.0,,100.8,33.490147,-112.044016,9mzqxj
44,AZ,Maricopa,33.035194,-112.660446,483194,Cotton Center Solar Hybrid,2011,PV,single-axis,0.0,0.0,batteries,17.0,33.490147,-112.044016,9mzqxj
45,AZ,Pima,32.28989,-111.032982,21613,Roger Road WWTP,2010,PV,single-axis,0.0,0.0,,0.9,32.216427,-110.95803,9w01f3
46,AZ,Yuma,33.026936,-113.348579,501322,Hyder Solar Hybrid,2012,PV,single-axis,0.0,0.0,batteries,16.0,32.641391,-114.605444,9mzqxj
47,AZ,Yuma,32.686077,-114.495995,66914,Arizona Western College PV,2015,PV,"dual-axis,fixed-tilt,single-axis",180.0,8.0,,5.7,32.641391,-114.605444,9mvgw4
48,AZ,Pinal,32.868855,-111.771843,26164,Walmart Casa Grande,2011,PV,single-axis,180.0,15.0,,2.0,33.069323,-111.602135,9w01f3
49,AZ,Pima,32.117214,-110.819672,81941,Prairie Fire,2012,PV,fixed-tilt,180.0,25.0,,4.5,32.216427,-110.95803,9w01f3
50,AZ,Maricopa,33.356339,-111.803665,45922,"Gilbert Solar Facility I, LLC",2011,PV,single-axis,0.0,0.0,,2.5,33.490147,-112.044016,9w01f3
51,AZ,Pima,32.270088,-110.973587,11969,Amphitheater High School Solar,2016,PV,fixed-tilt,180.0,12.0,,1.0,32.216427,-110.95803,9w01f3
52,AZ,Pima,32.376358,-110.9739,17088,Canyon Del Oro High School Solar,2016,PV,fixed-tilt,180.0,12.0,,4.4,32.216427,-110.95803,9w01f3
53,AZ,Maricopa,33.355053,-112.836372,3204926,"Sun Streams, LLC",2020,PV,single-axis,90.0,,,158.0,33.490147,-112.044016,9mzqxj
54,AZ,La Paz,33.77108,-113.654526,740258,OE_AZ1,2020,PV,single-axis,180.0,0.0,,32.5,33.954185,-114.183775,9mzqxj
55,AZ,Pinal,32.854229,-111.502708,2389089,Saint Solar,2021,PV,single-axis,90.0,,,100.0,33.069323,-111.602135,9w01f3
56,AZ,Navajo,36.788681,-110.238731,1209676,Kayenta Solar Project,2019,PV,single-axis,90.0,50.0,,55.3,34.862151,-110.205157,9w94m0
57,AZ,Maricopa,33.321621,-112.817566,4069214,Sun Streams 2,2021,PV,single-axis,0.0,,,150.0,33.490147,-112.044016,9mzqxj
58,AZ,Pima,32.034618,-110.891869,2795421,"Wilmot Energy Center, LLC",2021,PV,single-axis,90.0,,batteries,130.0,32.216427,-110.95803,9w01f3
59,AZ,Yavapai,34.677792,-112.40593,64406,Prescott Airport,2002,PV,single-axis,30.0,30.0,,3.0,34.628734,-112.273841,9w01f3
60,AZ,Maricopa,33.417732,-112.576042,8869,Buckeye Union HS District 201,2011,PV,fixed-tilt,180.0,8.0,,3.3,33.490147,-112.044016,9mzqxj
61,AZ,Mohave,34.99474,-114.555061,267739,Mohave Electric Cooperative at Joy Lane,2016,PV,single-axis,180.0,,batteries,10.0,35.034511,-114.262415,9qndpr
62,AZ,Pima,32.14167,-110.883904,265427,Raptor Ridge,2022,PV,single-axis,180.0,,,12.5,32.216427,-110.95803,9w01f3
63,AZ,Cochise,31.556108,-110.320694,309092,Fort Huachuca Solar PV Project,2017,PV,fixed-tilt,180.0,25.0,,17.7,31.603486,-110.072835,9w01f3
64,AZ,Maricopa,32.921631,-112.969841,7356372,Solana Generating Station,2013,PV,fixed-tilt,180.0,,,280.0,33.490147,-112.044016,9mzqxj
65,AZ,Maricopa,33.345242,-111.601784,11363,Mesa Solar Array,2013,PV,fixed-tilt,180.0,0.0,,4.0,33.490147,-112.044016,9w01f3
66,AZ,Pima,32.24292,-111.258568,84473,Broadway 2 - Tucson Phase II,2022,PV,single-axis,0.0,0.0,,3.0,32.216427,-110.95803,9w01f3
67,AZ,Pima,32.103825,-110.820801,237862,"Gato Montes Solar, LLC",2012,PV,fixed-tilt,180.0,20.0,,5.0,32.216427,-110.95803,9w01f3
68,AZ,Pima,32.101776,-110.819,41716,Iron Horse Battery Storage Hybrid,2019,PV,fixed-tilt,180.0,25.0,batteries,2.0,32.216427,-110.95803,9w01f3
69,AZ,Mohave,35.303875,-114.015182,84915,Jacobson 5 MW Solar,2017,PV,fixed-tilt,180.0,25.0,,4.4,35.034511,-114.262415,9qqk6u
70,AZ,Maricopa,33.408875,-112.414627,27204,Macys Goodyear,2010,PV,single-axis,180.0,7.0,,3.1,33.490147,-112.044016,9w01f3
71,AZ,Maricopa,33.603123,-111.924934,14793,Jewish Community Center PV,2012,PV,fixed-tilt,180.0,5.0,,1.1,33.490147,-112.044016,9w01f3
72,AZ,Maricopa,33.641567,-111.999748,17664,Paradise Valley H.S. PV,2013,PV,fixed-tilt,180.0,5.0,,1.3,33.490147,-112.044016,9w01f3
73,AZ,Pinal,32.936989,-111.738571,23671,Union HS at Casa Grande,2012,PV,fixed-tilt,180.0,12.0,,1.6,33.069323,-111.602135,9w01f3
74,AZ,Pinal,32.891445,-111.713211,22675,Vista Grande HS at Casa Grande,2012,PV,fixed-tilt,270.0,2.0,,1.4,33.069323,-111.602135,9w01f3
75,AZ,Pima,32.192966,-110.883789,121456,Actus Lend Lease DMAFB,2009,PV,single-axis,180.0,0.0,,3.0,32.216427,-110.95803,9w01f3
76,AZ,Maricopa,33.4347,-111.982971,11431,Phoenix Airport East Economy Lot,2012,PV,fixed-tilt,90.0,5.0,,1.1,33.490147,-112.044016,9w01f3
77,AZ,Maricopa,33.429371,-112.044891,34045,Phoenix Airport Rental Car Center,2012,PV,fixed-tilt,90.0,5.0,,1.6,33.490147,-112.044016,9w01f3
78,AZ,Maricopa,33.243477,-111.88134,89702,Intel - Ocotillo Campus Solar,2017,PV,single-axis,162.0,5.0,,4.2,33.490147,-112.044016,9w01f3
79,AZ,Pima,32.147114,-110.990089,20858,Pima Community College - East Campus,2017,PV,single-axis,180.0,10.0,,1.3,32.216427,-110.95803,9w01f3
80,AZ,Maricopa,33.447266,-112.215454,18090,T0588 Phoenix - AZ,2017,PV,fixed-tilt,180.0,10.0,,1.2,33.490147,-112.044016,9w01f3
81,AZ,Pima,32.16481,-110.816269,15188,Pima Community College,2019,PV,fixed-tilt,180.0,25.0,,1.1,32.216427,-110.95803,9w01f3
82,AZ,Maricopa,33.427879,-111.928764,128210,AZ State University - Tempe Campus Solar,2003,PV,fixed-tilt,180.0,8.0,,2.4,33.490147,-112.044016,9w01f3
83,AZ,Pima,32.342892,-111.028267,18534,Pima Community College NW,2019,PV,single-axis,145.0,14.0,,1.3,32.216427,-110.95803,9w01f3
84,AZ,Pima,32.128586,-110.839195,30407,Amazon TUS2,2022,PV,fixed-tilt,180.0,10.0,,2.6,32.216427,-110.95803,9w01f3
85,AZ,Maricopa,33.34816,-111.602051,22632,Mesa Carport PV,2020,PV,single-axis,180.0,12.0,,4.6,33.490147,-112.044016,9w01f3
86,AZ,Pima,32.246479,-111.257851,121066,Broadway 3 - Tucson Phase I,2011,PV,single-axis,0.0,0.0,,1.0,32.216427,-110.95803,9w01f3
87,AZ,Maricopa,33.356663,-112.914085,1062237,"Mesquite Solar 5, LLC",2022,PV,single-axis,180.0,,batteries,60.0,33.490147,-112.044016,9mzqxj
88,AZ,Maricopa,33.326782,-112.918701,1195236,"Mesquite Solar 4, LLC",2024,PV,single-axis,180.0,0.0,batteries,52.5,33.490147,-112.044016,9mzqxj
89,AZ,Maricopa,33.31216,-112.801582,8226905,Sun Streams 3,2024,PV,single-axis,180.0,0.0,batteries,215.0,33.490147,-112.044016,9mzqxj
90,AZ,Pinal,32.8913,-111.499619,2310887,Storey Solar and Storage,2023,PV,single-axis,180.0,52.0,batteries,122.0,33.069323,-111.602135,9w01f3
91,AZ,Maricopa,33.244144,-112.540268,8240646,Sonoran Solar Energy,2023,PV,single-axis,180.0,52.0,batteries,490.0,33.490147,-112.044016,9mzqxj
92,AZ,Yuma,32.937328,-113.46978,10148626,McFarland A Solar and Storage,2023,PV,single-axis,180.0,52.0,batteries,200.0,32.641391,-114.605444,9mzqxj
93,AZ,Cochise,31.556032,-109.701393,427421,SR McNeal,2023,PV,single-axis,180.0,,batteries,20.0,31.603486,-110.072835,9w01f3
94,AZ,Mohave,34.993538,-114.548286,406720,Mohave Energy - Hybrid,2023,PV,single-axis,180.0,,batteries,17.6,35.034511,-114.262415,9qndpr
95,AZ,Maricopa,33.48233,-112.348412,34587,Estrella Mountain PV,2019,PV,fixed-tilt,180.0,5.0,,1.8,33.490147,-112.044016,9w01f3
96,AZ,Maricopa,33.112438,-112.671204,481796,"RE Gillespie 1, LLC",2013,PV,fixed-tilt,90.0,,,15.0,33.490147,-112.044016,9mzqxj
97,AZ,Pinal,32.867287,-111.583183,4331367,Eleven Mile Solar Center,2024,PV,single-axis,180.0,0.0,batteries,300.0,33.069323,-111.602135,9w01f3
98,AZ,Pinal,32.834732,-111.592674,2790819,"West Line Solar, LLC",2022,PV,single-axis,0.0,0.0,,100.0,33.069323,-111.602135,9w01f3
99,AZ,Pinal,32.839687,-111.577103,3295584,"Central Line Solar, LLC",2022,PV,single-axis,0.0,25.0,,100.0,33.069323,-111.602135,9w01f3
100,AZ,Pinal,32.844509,-111.558693,2274901,East Line Solar,2020,PV,single-axis,180.0,,,100.0,33.069323,-111.602135,9w01f3
101,CA,Fresno,36.177353,-120.108421,373343,Huron Solar Station,2012,PV,fixed-tilt,180.0,25.0,,20.0,36.743848,-119.765291,9q6tde
102,CA,San Diego,33.26524,-116.32798,162688,"Desert Green Solar Farm, LLC",2014,PV,dual-axis,180.0,,,6.3,32.884418,-117.112348,9qj152
103,CA,Los Angeles,34.709404,-118.304771,606208,"TA-High Desert, LLC",2013,PV,single-axis,0.0,0.0,,20.0,34.067886,-118.24599,9qhh0n
104,CA,Los Angeles,34.708588,-118.274109,42700,Horn,2013,PV,single-axis,45.0,0.0,,1.5,34.067886,-118.24599,9qhh0n
105,CA,Fresno,36.176746,-120.115349,383759,Gates Solar Station,2013,PV,fixed-tilt,180.0,25.0,,20.0,36.743848,-119.765291,9q6tde
106,CA,Kern,34.903488,-118.242989,501866,"RE Rosamond Two, LLC",2014,PV,single-axis,90.0,,,20.0,35.369809,-118.941786,9qhh0n
107,CA,Madera,36.941044,-120.046432,25159,Madera Community Hospital,2011,PV,single-axis,180.0,20.0,,1.0,37.037074,-120.009796,9qd9xh
108,CA,Imperial,32.96711,-115.532692,20475,Crown Cooling Facility,2011,PV,fixed-tilt,180.0,30.0,,1.0,32.841599,-115.540049,9mvffm
109,CA,Tulare,35.801178,-119.110886,35025,Castle Rock Vineyards,2010,PV,fixed-tilt,180.0,20.0,,1.0,36.254134,-119.23454,9q713t
110,CA,Los Angeles,34.665581,-118.288132,37444,Radiance Solar 4,2013,PV,fixed-tilt,200.0,25.0,,1.5,34.067886,-118.24599,9qhh0n
111,CA,Kings,35.990852,-120.106659,186186,Avenal Park,2011,PV,fixed-tilt,180.0,25.0,,6.0,36.252657,-119.726922,9q6tde
112,CA,San Bernardino,34.552307,-117.456764,33871,"Industry Solar Power Generation Station 1, LLC",2013,PV,single-axis,90.0,,,1.5,34.190969,-117.359766,9qhkxd
113,CA,Sacramento,38.253094,-121.279022,63138,SMUD at Van Conett,2011,PV,fixed-tilt,210.0,20.0,,2.9,38.568337,-121.381235,9qcf5u
114,CA,Kern,35.018776,-118.175522,1135053,"RE Columbia 3, LLC",2014,PV,single-axis,90.0,,,10.0,35.369809,-118.941786,9qhh0n
115,CA,San Bernardino,34.509182,-117.153824,29298,Nunn,2013,PV,single-axis,180.0,0.0,,1.0,34.190969,-117.359766,9qhe90
116,CA,Riverside,33.923347,-116.594551,51433,North Palm Springs 1A,2012,PV,single-axis,225.0,45.0,,2.4,33.799274,-117.076969,9qj152
117,CA,Los Angeles,34.618626,-117.939522,49148,SEPV 1,2012,PV,single-axis,90.0,,,2.0,34.067886,-118.24599,9qhh0n
118,CA,Los Angeles,34.655113,-118.051147,57613,Arrache 4006,2013,PV,single-axis,112.0,0.0,,2.0,34.067886,-118.24599,9qhh0n
119,CA,San Bernardino,34.166359,-116.236092,484286,Cascade Solar,2014,PV,single-axis,90.0,,,18.5,34.190969,-117.359766,9qj152
120,CA,Tulare,36.387268,-119.255203,59643,Ivanhoe Solar,2014,PV,fixed-tilt,180.0,20.0,,3.5,36.254134,-119.23454,9qdbm8
121,CA,Los Angeles,34.654388,-117.971146,31867,Heliocentric,2012,PV,fixed-tilt,180.0,30.0,,1.3,34.067886,-118.24599,9qhh0n
122,CA,Yolo,38.50153,-121.693001,41431,Grassland 3&4 Solar Project,2013,PV,dual-axis,180.0,,,2.5,38.598163,-121.718874,9qc63x
123,CA,Los Angeles,34.65062,-118.051933,46327,Arrache 4013,2013,PV,single-axis,45.0,0.0,,1.5,34.067886,-118.24599,9qhh0n
124,CA,Sacramento,38.237911,-121.338058,63992,SMUD at Fleshman,2011,PV,fixed-tilt,210.0,20.0,,2.9,38.568337,-121.381235,9qcf5u
125,CA,Los Angeles,34.647942,-118.061073,126849,Arrache 8083,2013,PV,single-axis,45.0,0.0,,4.0,34.067886,-118.24599,9qhh0n
126,CA,Tulare,36.211926,-119.133774,59043,Lindsay Solar,2014,PV,fixed-tilt,180.0,20.0,,4.0,36.254134,-119.23454,9qdbm8
127,CA,Solano,38.231937,-122.092697,28633,SunEdison Anheuser Busch Fairfield,2008,PV,single-axis,0.0,0.0,,0.9,38.236295,-122.067272,9qc63x
128,CA,Riverside,33.565189,-114.918556,107874,"Ironwood Solar, LLC",2012,PV,single-axis,180.0,0.0,,4.0,33.799274,-117.076969,9mvgw4
129,CA,San Bernardino,34.594303,-117.194878,29356,SunEdison Walmart Apple Valley DC,2009,PV,single-axis,0.0,0.0,,0.9,34.190969,-117.359766,9qhkxd
130,CA,Solano,38.410854,-121.926422,52646,Vaca Dixon Solar Station,2009,PV,fixed-tilt,180.0,30.0,,2.0,38.236295,-122.067272,9qc63x
131,CA,Riverside,33.923046,-116.530144,50681,Desert Hot Springs Solar,2013,PV,single-axis,90.0,45.0,,2.2,33.799274,-117.076969,9qj152
132,CA,San Bernardino,34.600784,-117.642349,61009,Watts 3115,2013,PV,single-axis,112.0,0.0,,2.0,34.190969,-117.359766,9qhkxd
133,CA,Los Angeles,34.64378,-118.162132,105083,Rutan,2014,PV,single-axis,135.0,0.0,,4.0,34.067886,-118.24599,9qhh0n
134,CA,Fresno,36.759624,-120.365929,161468,CalRenew-1,2010,PV,fixed-tilt,198.0,20.0,,5.0,36.743848,-119.765291,9qd2ds
135,CA,Kings,35.985184,-120.10141,510473,"Sun City Project, LLC",2011,PV,fixed-tilt,180.0,25.0,,20.0,36.252657,-119.726922,9q6tde
136,CA,San Bernardino,34.853706,-116.683182,40277,"Newberry Solar 1, LLC",2013,PV,dual-axis,180.0,,,1.5,34.190969,-117.359766,9qhkxd
137,CA,Imperial,32.983337,-115.481895,125986,Community Solar 1,2014,PV,single-axis,180.0,,,6.0,32.841599,-115.540049,9mvgw4
138,CA,Los Angeles,34.669018,-118.061157,45524,Vinam,2013,PV,single-axis,45.0,0.0,,1.5,34.067886,-118.24599,9qhh0n
139,CA,Sacramento,38.338753,-121.431259,22853,SMUD at Lawrence,2011,PV,fixed-tilt,210.0,20.0,,1.0,38.568337,-121.381235,9qcem3
140,CA,Tulare,36.538177,-119.426155,26886,Dinuba Wastewater Treatment Plant,2011,PV,single-axis,90.0,,,1.0,36.254134,-119.23454,9qdbm8
141,CA,Los Angeles,34.695129,-118.062576,20640,Ma,2013,PV,single-axis,180.0,0.0,,1.5,34.067886,-118.24599,9qhh0n
142,CA,Kern,34.904114,-118.251244,491623,"RE Rosamond One, LLC",2014,PV,single-axis,90.0,,,20.0,35.369809,-118.941786,9qhh0n
143,CA,Butte,39.373371,-121.684357,26069,Gridley Main,2013,PV,single-axis,0.0,0.0,,1.0,39.658926,-121.72651,9r1867
144,CA,Tulare,36.101303,-119.038506,97096,Porterville Solar,2014,PV,fixed-tilt,180.0,20.0,,3.5,36.254134,-119.23454,9qdbm8
145,CA,Butte,39.373287,-121.681458,55563,Gridley Main Two,2013,PV,single-axis,0.0,0.0,,2.5,39.658926,-121.72651,9r1867
146,CA,Sacramento,38.469517,-121.18248,61409,"RE Dillard 1, LLC",2012,PV,single-axis,90.0,,,3.0,38.568337,-121.381235,9qcf5u
147,CA,Sacramento,38.463104,-121.180084,70069,"RE Dillard 3, LLC",2012,PV,single-axis,90.0,,,3.0,38.568337,-121.381235,9qcf5u
148,CA,Sacramento,38.466026,-121.178085,66488,"RE Dillard 2, LLC",2012,PV,single-axis,90.0,,,3.0,38.568337,-121.381235,9qcf5u
149,CA,Sacramento,38.28355,-121.461632,25596,Green Acres Solar Facility 2,2012,PV,single-axis,0.0,0.0,,0.9,38.568337,-121.381235,9qcem3
150,CA,Sacramento,38.282097,-121.465538,82056,Green Acres Solar Facility 1,2012,PV,single-axis,90.0,,,2.8,38.568337,-121.381235,9qcem3
151,CA,Los Angeles,34.654385,-117.973259,32453,L-8 Solar Project,2012,PV,fixed-tilt,180.0,30.0,,1.3,34.067886,-118.24599,9qhh0n
152,CA,Riverside,33.56847,-114.917992,80901,Chuckawalla Solar,2012,PV,single-axis,180.0,0.0,,4.0,33.799274,-117.076969,9mvgw4
153,CA,Riverside,33.566906,-114.918045,81974,SunEdison Ironwood State Prison,2008,PV,single-axis,90.0,,,0.9,33.799274,-117.076969,9mvgw4
154,CA,San Luis Obispo,35.372162,-120.055847,12480862,Topaz Solar Farm,2014,PV,fixed-tilt,180.0,25.0,,585.9,35.341822,-120.665804,9q713t
155,CA,Kern,35.103962,-118.954208,516716,Adobe Solar,2014,PV,single-axis,90.0,,,19.6,35.369809,-118.941786,9q713t
156,CA,Los Angeles,34.128029,-118.20668,6990,Occidental College Solar Project,2013,PV,fixed-tilt,220.0,25.0,,1.0,34.067886,-118.24599,9q5fq8
157,CA,Los Angeles,34.664955,-118.28685,18210,Radiance Solar 5,2013,PV,fixed-tilt,200.0,25.0,,1.5,34.067886,-118.24599,9qhh0n
158,CA,San Bernardino,34.043324,-117.097061,31599,Crafton Hills College Solar Farm,2012,PV,dual-axis,180.0,0.0,,1.3,34.190969,-117.359766,9qh8k2
159,CA,San Bernardino,34.17411,-116.152878,60191,SEPV 2,2012,PV,single-axis,90.0,,,2.0,34.190969,-117.359766,9qj152
160,CA,San Bernardino,34.48011,-117.25782,26560,Victor Valley CC CPV Solar,2010,PV,dual-axis,180.0,,,1.0,34.190969,-117.359766,9qhe90
161,CA,San Bernardino,34.512249,-117.47831,449618,"RE Victor Phelan Solar One, LLC",2013,PV,single-axis,90.0,,,17.5,34.190969,-117.359766,9qhkxd
162,CA,Los Angeles,34.320267,-118.430824,21755,Maclay Solar Project,2017,PV,fixed-tilt,180.0,10.0,,2.2,34.067886,-118.24599,9q5g0q
163,CA,Kern,35.402756,-119.038055,19331,Improvement Dst No. 4,2009,PV,fixed-tilt,180.0,22.0,,1.1,35.369809,-118.941786,9q713t
164,CA,Kern,35.64764,-119.716316,27556,Nickel 1 Solar Facility,2012,PV,fixed-tilt,180.0,25.0,,1.5,35.369809,-118.941786,9q713t
165,CA,Los Angeles,34.122639,-117.939377,43064,"Irwindale Brew Yard, LLC",2015,PV,single-axis,28.0,28.0,,2.5,34.067886,-118.24599,9qh18k
166,CA,Solano,38.400021,-121.964363,13581,Mariani Packing Vacaville Solar,2008,PV,single-axis,100.0,,,0.9,38.236295,-122.067272,9qc63x
167,CA,Yolo,38.658119,-121.733559,37266,Yolo County Solar Project,2010,PV,dual-axis,180.0,,,1.0,38.598163,-121.718874,9qcem3
168,CA,Sacramento,38.516212,-121.475655,49506,"Solar Star California II, LLC",2012,PV,single-axis,180.0,,,2.0,38.568337,-121.381235,9qcem3
169,CA,Imperial,32.770428,-115.784019,3584553,Imperial Solar Energy Center West,2016,PV,single-axis,180.0,0.0,,148.7,32.841599,-115.540049,9mvffm
170,CA,San Bernardino,34.398251,-116.869667,166077,"Lone Valley Solar Park I, LLC",2014,PV,single-axis,90.0,50.0,,10.0,34.190969,-117.359766,9qhe90
171,CA,Fresno,36.395424,-120.10778,346422,Five Points Solar Station,2011,PV,fixed-tilt,180.0,25.0,,15.0,36.743848,-119.765291,9q6tde
172,CA,Fresno,36.523819,-120.123306,363847,Stroud Solar Station,2011,PV,fixed-tilt,180.0,25.0,,20.0,36.743848,-119.765291,9qd2ds
173,CA,Stanislaus,37.736553,-120.990341,488240,Axium Modesto Solar,2012,PV,single-axis,0.0,0.0,,25.8,37.618447,-120.955882,9qcbq0
174,CA,Fresno,36.141884,-120.132736,185941,West Gates Solar Station,2013,PV,fixed-tilt,180.0,25.0,,10.0,36.743848,-119.765291,9q6tde
