Substation ID,Substation Name,Alias,Status,Owner,Map Owner,Map Part,Engineering ID,12kV T 32kV,110kV To 161kV,Highest_kV,Postal City,County,Zip Code,State,Comments,33kV To 92kV,220kV To 287kV,345kV To 500kV
"SS0098","Melones"," ","Operational","WAPA","WAPA","M","NML","","","220kV to 287kV","Angels Camp","Calaveras","95222","CA"," ","","YES",""
"SS0101","Murphy"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Murphys","Calaveras","95247","CA"," ","","",""
"SS0102","North Branch"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Valley Springs","Calaveras","95252","CA"," ","YES","",""
"SS0103","Valley Springs"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Valley Springs","Calaveras","95252","CA"," ","YES","YES",""
"SS0104","Arbuckle"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Arbuckle","Colusa","95912","CA"," ","YES","",""
"SS0105","Colusa"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Colusa","Colusa","95932","CA"," ","YES","",""
"SS0106","Cortina"," ","Operational","PG&E","PG&E","U"," ","","YES","110kV to 161kV","Williams","Colusa","95987","CA"," ","YES","",""
"SS0107","Drake"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Arbuckle","Colusa","95912","CA"," ","YES","",""
"SS0108","Harrington"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Arbuckle","Colusa","95912","CA"," ","YES","",""
"SS0109","Maxwell"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Maxwell","Colusa","95955","CA"," ","YES","",""
"SS0110","Rice"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Princeton","Colusa","95970","CA"," ","YES","",""
"SS0111","Williams"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Williams","Colusa","95987","CA"," ","YES","",""
"SS0112","Etiwanda"," ","Operational","SCE","SCE","L"," ","","","220kV to 287kV","Rancho Cucamonga","San Bernardino","91739","CA","Same site as g0201","YES","YES",""
"SS0113","Stadium"," ","Operational","SCE","SCE","L"," ","","","220kV to 287kV","Long Beach","Los Angeles","90803","CA"," ","YES","YES",""
"SS0116","Alhambra"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Martinez","Contra Costa","94553","CA"," ","","",""
"SS0117","Byron Bethany"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Byron","Contra Costa","94514","CA"," ","YES","",""
"SS0118","Du Pont"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Oakley","Contra Costa","94561","CA"," ","YES","",""
"SS0120","Los Vaqueros","BIXLER, EBMUD PUMPING PLANT","Operational","Other","Other","M","LVQ","","","33kV to 92kV","Discovery Bay","Contra Costa","94505","CA"," ","YES","",""
"SS0121","GWF 3 (Antioch)"," ","Operational","Other","Other","M"," ","","","220kV to 287kV","Antioch","Contra Costa","94509","CA"," ","","YES",""
"SS0122","GWF 4 (Antioch)"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Antioch","Contra Costa","94509","CA"," ","YES","",""
"SS0123","Linde"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Pittsburg","Contra Costa","94565","CA"," ","","",""
"SS0125","Shell Oil 1"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Martinez","Contra Costa","94553","CA"," ","","",""
"SS0127","Union Chemical (Union Oil)"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Rodeo","Contra Costa","94572","CA"," ","YES","",""
"SS0128","Walnut Creek Pp","YGANCIO","Operational","Other","Other","M"," ","","","33kV to 92kV","Walnut Creek","Contra Costa","94597","CA"," ","YES","",""
"SS0129","Tres Vaqueros Wind Farm (Jv Ent)"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Byron","Contra Costa","94514","CA"," ","YES","",""
"SS0131","Balfour"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Brentwood","Contra Costa","94513","CA"," ","YES","",""
"SS0132","Bollman"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Concord","Contra Costa","94520","CA"," ","","",""
"SS0133","Brentwood"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Brentwood","Contra Costa","94513","CA"," ","YES","YES",""
"SS0134","Briones"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Clayton","Contra Costa","94517","CA"," ","YES","",""
"SS0135","Christie"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Martinez","Contra Costa","94553","CA"," ","YES","",""
"SS0136","Clayton"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Concord","Contra Costa","94521","CA"," ","","",""
"SS0137","Columbia Steel","USP","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Pittsburg","Contra Costa","94565","CA"," ","","",""
"SS0138","Antioch"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Antioch","Contra Costa","94509","CA"," ","YES","",""
"SS0139","Contra Costa"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Antioch","Contra Costa","94509","CA"," ","YES","YES",""
"SS0140","Dow Chemical Co."," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Pittsburg","Contra Costa","94565","CA"," ","YES","",""
"SS0142","East Portal"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Orinda","Contra Costa","94563","CA"," ","","",""
"SS0143","El Cerrito Sta. G"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","El Cerrito","Contra Costa","94530","CA"," ","YES","",""
"SS0144","Fibreboard"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Antioch","Contra Costa","94509","CA"," ","","",""
"SS0145","Franklin"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Hercules","Contra Costa","94547","CA"," ","YES","",""
"SS0146","Herdlyn"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Byron","Contra Costa","94514","CA"," ","YES","",""
"SS0147","Imhoff"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Martinez","Contra Costa","94553","CA"," ","","",""
"SS0148","Kirker"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Pittsburg","Contra Costa","94565","CA"," ","YES","",""
"SS0149","Lakewood"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Walnut Creek","Contra Costa","94597","CA"," ","YES","",""
"SS0150","Marsh"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Brentwood","Contra Costa","94513","CA"," ","YES","",""
"SS0151","Meadow Lane"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Concord","Contra Costa","94520","CA"," ","","",""
"SS0152","Moraga"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Orinda","Contra Costa","94563","CA"," ","","YES",""
"SS0153","Pittsburg"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Pittsburg","Contra Costa","94565","CA"," ","","YES",""
"SS0154","Point Pinole"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","San Pablo","Contra Costa","94806","CA"," ","","",""
"SS0155","Port Costa Brick"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Port Costa","Contra Costa","94569","CA"," ","YES","",""
"SS0156","Posco"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","Pittsburg","Contra Costa","94565","CA"," ","YES","",""
"SS0158","Rossmoor"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Lafayette","Contra Costa","94549","CA"," ","","YES",""
"SS0159","San Ramon Research Cntr."," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Danville","Contra Costa","94526","CA"," ","","YES",""
"SS0160","San Pablo"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","San Pablo","Contra Costa","94806","CA"," ","YES","",""
"SS0161","San Ramon"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","San Ramon","Contra Costa","94583","CA"," ","YES","YES",""
"SS0162","Sobrante"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Orinda","Contra Costa","94563","CA"," ","","YES",""
"SS0163","Narrows"," ","Operational","PG&E","PG&E","U"," ","","","33kV to 92kV","Smartville","Nevada","95977","CA"," ","YES","",""
"SS0164","Tidewater"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Martinez","Contra Costa","94553","CA"," ","","YES",""
"SS0165","Unocal"," ","Operational","PG&E","PG&E","M"," ","","","220kV to 287kV","Crockett","Contra Costa","94525","CA"," ","YES","YES",""
"SS0166","Urich"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Martinez","Contra Costa","94553","CA"," ","YES","",""
"SS0167","Valley View"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","El Sobrante","Contra Costa","94803","CA"," ","","",""
"SS0168","Willow Pass"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Pittsburg","Contra Costa","94565","CA"," ","YES","",""
"SS0169","Belmont"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Crescent City","Del Norte","95531","CA"," ","YES","",""
"SS0170","Del Norte"," ","Operational","PCORP","PCORP","U"," ","","YES","110kV to 161kV","Crescent City","Del Norte","95531","CA"," ","YES","",""
"SS0171","Gasquet"," ","Operational","PCORP","PCORP","U"," ","","YES","110kV to 161kV","Gasquet","Del Norte","95543","CA"," ","","",""
"SS0172","Lake Earl"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Crescent City","Del Norte","95531","CA"," ","YES","",""
"SS0173","Miller Redwood"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Klamath","Del Norte","95548","CA"," ","YES","",""
"SS0174","Northcrest"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Crescent City","Del Norte","95531","CA"," ","YES","",""
"SS0175","Patrick'S Creek"," ","Operational","PCORP","PCORP","U"," ","","YES","110kV to 161kV","Gasquet","Del Norte","95543","CA"," ","","",""
"SS0176","Redwood"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Crescent City","Del Norte","95531","CA"," ","YES","",""
"SS0177","Simonson"," ","Closed","PCORP","PCORP","U"," ","","","33kV to 92kV","Smith River","Del Norte","95567","CA"," ","YES","",""
"SS0178","Smith River"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Smith River","Del Norte","95567","CA"," ","YES","",""
"SS0179","Steelhead"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Somes Bar","Siskiyou","95568","CA"," ","YES","",""
"SS0180","Yurok"," ","Operational","PCORP","PCORP","U"," ","","","33kV to 92kV","Klamath","Del Norte","95548","CA"," ","YES","",""
"SS0181","Meyers"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","South Lake Tahoe","El Dorado","96150","CA"," ","YES","",""
"SS0182","Stateline"," ","Operational","Other","Other","M"," ","","","33kV to 92kV","South Lake Tahoe","El Dorado","96150","CA"," ","YES","",""
"SS0183","Apple Hill"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Camino","El Dorado","95709","CA"," ","","",""
"SS0184","San Bernardino"," ","Operational","SCE","SCE","L"," ","","YES","220kV to 287kV","San Bernardino","San Bernardino","92408","CA","Same site as g0523","YES","YES",""
"SS0185","Diamond Springs"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Placerville","El Dorado","95667","CA"," ","","",""
"SS0186","El Dorado"," ","Closed","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Pollock Pines","El Dorado","95726","CA","Closed with el dorado hydro. h0167","","YES",""
"SS0187","Flint"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Auburn","Placer","95603","CA"," ","","",""
"SS0188","Limestone"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Shingle Springs","El Dorado","95682","CA"," ","YES","",""
"SS0189","Mt. Quarries"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Cool","El Dorado","95614","CA"," ","YES","",""
"SS0190","Newcastle"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Newcastle","Placer","95658","CA"," ","","",""
"SS0191","Placerville"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Placerville","El Dorado","95667","CA"," ","","",""
"SS0192","Shingle Springs"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Shingle Springs","El Dorado","95682","CA"," ","YES","",""
"SS0193","Clarksville"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","El Dorado Hills","El Dorado","95762","CA"," ","YES","",""
"SS0194","Blythe Walc"," ","Operational","Other","Other","L"," ","","YES","110kV to 161kV","Blythe","Riverside","92225","CA","Same site as g0843","YES","",""
"SS0196","Jones Fork"," ","Operational","SMUD","SMUD","M"," ","","YES","110kV to 161kV","Eldorado Ntl Forest","El Dorado","00051","CA"," ","","",""
"SS0198","Camino"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Pollock Pines","El Dorado","95726","CA"," ","","",""
"SS0199","Union Valley"," ","Operational","SMUD","SMUD","M"," ","","","220kV to 287kV","Eldorado Ntl Forest","El Dorado","00051","CA"," ","YES","YES",""
"SS0201","Guardian"," ","Operational","Other","Other","L"," ","","YES","110kV to 161kV","Kingsburg","Fresno","93631","CA"," ","","",""
"SS0202","Las Palmas"," ","Operational","Other","Other","M"," ","","YES","110kV to 161kV","Fresno","Fresno","93727","CA"," ","","",""
"SS0203","Mussel Slough"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Lemoore","Kings","93245","CA"," ","YES","",""
"SS0204","Oil City"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Coalinga","Fresno","93210","CA"," ","YES","",""
"SS0205","Oxford"," ","Operational","PG&E","PG&E","M"," ","","","345kV to 500kV","Mendota","Fresno","93640","CA"," ","","","YES"
"SS0206","Penn Zier"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Coalinga","Fresno","93210","CA"," ","YES","",""
"SS0207","Ranchers Cotton"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Fresno","Fresno","93725","CA"," ","","",""
"SS0208","River Rock"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Fresno","Fresno","93730","CA"," ","YES","",""
"SS0210","Tornado"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Coalinga","Fresno","93210","CA"," ","YES","",""
"SS0212","Westlands"," ","Operational","PG&E","PG&E","L"," ","","","33kV to 92kV","Tranquillity","Fresno","93668","CA"," ","YES","",""
"SS0213","Kamm"," ","Operational","Other","Other","L"," ","","YES","110kV to 161kV","Mendota","Fresno","93640","CA"," ","","",""
"SS0216","Agrico"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Kerman","Fresno","93630","CA"," ","YES","",""
"SS0217","Barton"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Fresno","Fresno","93727","CA"," ","","",""
"SS0222","Biola"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Kerman","Fresno","93630","CA"," ","YES","",""
"SS0223","Bullard"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Fresno","Fresno","93710","CA"," ","","",""
"SS0224","Calflax"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Huron","Fresno","93234","CA"," ","YES","",""
"SS0226","Camden"," ","Operational","PG&E","PG&E","L"," ","","","33kV to 92kV","Riverdale","Fresno","93656","CA"," ","YES","",""
"SS0227","Cantua"," ","Operational","PG&E","PG&E","L"," ","","YES","110kV to 161kV","Coalinga","Fresno","93210","CA"," ","","",""
"SS0228","Capco Madera"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Firebaugh","Fresno","93622","CA"," ","YES","",""
"SS0229","Caruthers"," ","Operational","PG&E","PG&E","L"," ","","","33kV to 92kV","Caruthers","Fresno","93609","CA"," ","YES","",""
"SS0230","Cheney"," ","Operational","PG&E","PG&E","L"," ","","YES","110kV to 161kV","Mendota","Fresno","93640","CA"," ","","",""
"SS0231","Clovis"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Clovis","Fresno","93611","CA"," ","","",""
"SS0234","Coppermine"," ","Operational","PG&E","PG&E","M"," ","","YES","110kV to 161kV","Clovis","Fresno","93619","CA"," ","YES","",""
"SS0236","Derrick"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Coalinga","Fresno","93210","CA"," ","YES","",""
"SS0237","Dinuba Energy"," ","Operational","Other","Other","L"," ","","","33kV to 92kV","Reedley","Tulare","93654","CA"," ","YES","",""
"SS0238","Dunlap"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Miramonte","Fresno","93641","CA"," ","YES","",""
"SS0239","Fig Garden"," ","Operational","PG&E","PG&E","M"," ","","YES","220kV to 287kV","Fresno","Fresno","93711","CA"," ","","YES",""
"SS0240","Firebaugh"," ","Operational","PG&E","PG&E","M"," ","","","33kV to 92kV","Firebaugh","Fresno","93622","CA"," ","YES","",""
"SS0242","Gates"," ","Operational","PG&E","PG&E","L","GTS","","YES","345kV to 500kV","Huron","Fresno","93234","CA"," ","YES","YES","YES"
