geocode,Bus  Name,Lat,Long,county,state,tzoffset
9qndpr,PARKER,34.144722,-114.289722,9myzug,AZ,-7
9qq5wv,ELDORADO,35.799967,-115.012448,9qqnnb,NV,-7
9qqk6u,MEAD,35.929472,-114.835922,9qqnnb,NV,-7
9qw0kp,H ALLEN,36.649771,-115.134207,9qqnnb,NV,-7
9r0vxp,OLINDA,40.382027,-122.384572,9r1h68,CA,-8
9r106e,LOGAN CR,39.435504,-122.23327,9r0cq9,CA,-8
9r10zd,GLENN,39.521944,-122.013889,9qcnfk,CA,-8
9r13pb,TABLE MT,39.55548,-121.645379,9r198u,CA,-8
9r1867,PALERMO,39.435556,-121.538056,9r198u,CA,-8
9r1jcf,COTWDPGE,40.397712,-122.265115,9r1h68,CA,-8
9r321k,ROUND MT,40.808138,-121.936762,9r1pyu,CA,-8
9r3wzq,MALIN,42.004704,-121.318052,9r6hsg,CA,-8
9r4bc7,SUMMIT,39.527222,-119.821944,9r5025,NV,-7
9r50xy,TRACYSPP,39.499336,-119.188176,9r5025,NV,-7
9r88yx,MERIDIAN,42.358895,-122.760172,9r8c22,OR,-8
9r9uxw,SUMMER L,43.016085,-120.953695,9rd7km,OR,-8
9rb6wg,WILLAMET,44.051652,-123.091142,9rb9gk,OR,-8
9rcvn1,GRIZZLY,44.481129,-121.01542,9rcvfx,OR,-8
9rg8bx,BURNS,43.767338,-118.797842,9rekur,OR,-8
9rkf69,VALMY,41.182805,-116.954457,9r7gxf,NV,-7
9rn2tf,GONDER,39.476861,-114.70735,9rn21r,NV,-7
9rpbwn,INTERMT,39.500381,-112.580826,9rpccm,UT,-7
9rwgcr,MIDPOINT,42.888986,-114.199277,9rwud3,ID,-7
9rx7st,BORAH,42.835449,-113.348619,9rx5y1,ID,-7
9w01f3,WESTWING,34.067027,-112.396715,9qpvn0,AZ,-7
9w1wf0,CHOLLA,34.940278,-110.300278,9w393d,AZ,-7
9w1zzg,CORONADO,35.131373,-109.690674,9w61k3,AZ,-7
9w3h8n,MOENKOPI,35.985019,-111.090655,9w2ebd,AZ,-7
9w94m0,NAVAJO,36.961002,-110.864429,9w8kp9,UT,-7
9wbmjr,SIGURD,38.887109,-111.917677,9wbkrt,UT,-7
9wdb95,FOURCORN,36.670897,-108.581419,9w6zxn,NM,-7
9wdr2q,PINTO,37.870747,-109.314458,9w9vvt,UT,-7
9we1bp,SAN JUAN,36.910483,-108.278462,9w6zxn,NM,-7
9wve62,COLOEAST,38.542595,-104.660626,9wvsvk,CO,-7
9x06gc,MONA,39.868637,-111.977164,9x0s4z,UT,-7
9x0gc5,SPAN FRK,40.053045,-111.394196,9x0s4z,UT,-7
9x0mgn,CAMP WIL,40.423164974,-112.007999968,9x0rm5,UT,-7
9x0ryy,TERMINAL,40.772832,-111.846293,9x0rm5,UT,-7
9x27ep,BENLOMND,41.439081,-112.006907,9x26y1,UT,-7
9x3mfn,NAUGHTON,41.826887,-110.64461,9x921r,WY,-7
9x47er,EMERY,40.030278,-109.188333,9x4h7b,UT,-7
9x5w98,CRAIG,40.521809,-107.506652,9x5ym3,CO,-7
9x6z6m,BRIDGER,42.083869,-108.529745,9x6t42,WY,-7
9xkgmv,LARAMIE,41.383369,-105.567246,9xkv40,WY,-7
c21g7u,CELILOCA,45.594757,-121.113585,c24hgw,WA,-8
c21g7y,BIG EDDY,45.60664,-121.115583,c24hgw,WA,-8
c237sz,WCASCADE,47.065363,-121.779859,c235sm,WA,-8
c245ue,JOHN DAY,45.677819,-120.733553,c24hgw,WA,-8
c26crp,HANFORD,46.669392,-119.573343,c25nbr,WA,-8
c2967d,NORTH,48.22276,-121.837459,c2933q,WA,-8
c2c10y,CANADA,49.429986,-122.303722,c29mge,WA,-8
c2e2u0,COULEE,47.947893,-118.996055,c27y9q,WA,-8
c2kx95,BELL,47.746353,-117.373738,c2kwbm,WA,-8
c2r8x7,GARRISON,46.515909,-112.878383,c2rdqp,MT,-7
c2u6xt,CA230TO,49.686968,-117.438199,c2sshm,WA,-8
c82vu4,MONTANA,47.432975,-111.260716,c82v4j,MT,-7
c8h5zm,COLSTRP,45.689474,-106.552322,c8hnst,MT,-7
