gentype,capacity[MW],hub_height[m],rotor_diameter[m],cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design
GE1.6-100,1.6,80,100,3.5,11,25,16.2,3 Stage Planetary
GE1.6-77,1.6,80,77,,,,,
GE1.6-82.5,1.6,80,82.5,3,12,25,,3 Stage Planetary
GE1.6-87,1.6,80,87,,,,,
GE1.6-91,1.6,80,91,,,,,
GE1.62-100,1.62,80,100,,,,,
GE1.62-87,1.62,80,87,,,,,
GE1.7-100,1.7,80,100,3.5,11,23,17.9,3 Stage Planetary
GE1.7-100,1.7,85,100,3.5,11,23,17.9,3 Stage Planetary
GE1.7-103,1.7,80,103,3,10,23,,3 Stage Planetary
GE1.7-103,1.79,80,103,3,10,23,,3 Stage Planetary
GE1.7-103,1.715,80,103,3,10,23,,3 Stage Planetary
GE1.7-103,1.65,80,103,3,10,23,,3 Stage Planetary
GE1.79-100,1.79,80,100,,,,,
GE1.79-100,1.79,85,100,,,,,
GE1.85-82.5,1.85,80,82.5,3,13,25,,3 Stage Planetary
GE1.85-87,1.85,80,87,3,13,25,,3 Stage Planetary
GE1.85-91,1.85,80,91,,,,,
GE2.0-116,2,80,116,3,10,25,,
GE2.3-107,2.3,80,107,,,,,
GE2.3-116,2.3,80,116,3,10.4,22,14,
GE2.3-116,2.3,94,116,3,10.4,22,14,
GE2.3-116,2.3,89,116,3,10.4,22,14,
GE2.3-116,2.3,90,116,3,10.4,22,14,
GE2.32-116,2.32,90,116,,,,,
GE2.5-100,2.5,85,100,3,11.5,25,14.1,3 Stage Planetary
GE2.5-116,2.5,80,116,,,,,
GE2.5-116,2.5,85,116,,,,,
GE2.5-116,2.5,90,116,,,,,
GE2.5-127,2.5,89,127,,,,,
GE2.5-127,2.52,89,127,,,,,
GE2.52-116,2.52,114,116,,,,,
GE2.52-116,2.52,80,116,,,,,
GE2.52-116,2.52,90,116,,,,,
GE2.7-116,2.7,90,116,,,,,
GE2.75-100,2.75,85,100,3,12,25,,3 Stage Planetary
GE2.75-116,2.75,85,116,,,,,
GE2.75-127,2.75,85,127,,,,,
GE2.75-127,2.75,89,127,,,,,
GE2.8-127,2.8,89,127,3,8,25,,3 Stage Planetary
GE2.8-127,2.8,114,127,3,8,25,,3 Stage Planetary
GE2.82-127,2.82,90,127,,,,,
GE2.82-127,2.82,114,127,,,,,
GE2.82-127,2.82,89,127,,,,,
GE2.85-103,2.85,85,103,3,12.5,25,,3 Stage Planetary
GE3.0-140,3.02,96,140,,,,,
GE3.4-140,3.4,98,140,,,,,
GE3.4-140,3.4,117,140,,,,,
GE3.83-137,3.83,81.5,137,,,,,
GW87,1.5,75,87,3,9.9,22,16.6,Direct Drive
M Sojets,0.595,,,,,,,
M65,0.065,,,3.5,15,25,48,
M700/225,0.225,30,30,3,15,24,27.5,2 Stage Spur
MM92,2.05,78.5,92.5,3,12.5,24,15,3 Stage Planetary
MM92,2,78.5,92.5,3,10.5,25,15,3 Stage Planetary
MM92,2,80,92.5,3,10.5,25,15,3 Stage Planetary
MM92,2,68.5,92.5,3,10.5,25,15,3 Stage Planetary
MM92,2.05,68.5,92.5,3,12.5,24,15,3 Stage Planetary
MWT600,0.6,60,47,2.5,13,25,25.5,
MWT600,0.6,55,45,2.5,13,25,35,
MWT62/1.0,1,69,61.4,3,12.5,25,19.8,3 Stage Planetary
MWT62/1.0,1,55,61.4,3,12.5,25,19.8,3 Stage Planetary
MWT62/1.0,1,60,61.4,3,12.5,25,19.8,3 Stage Planetary
MWT95/2.4,2.4,80,95,3,12.5,25,16.9,
Multi-power 44,0.7,45,44,3,16,25,27,3 Stage Planetary
Multi-power 44,0.7,50,44,3,16,25,27,3 Stage Planetary
N100,2.5,80,100,4,12.5,20,16.8,3 Stage Planetary
N90,2.5,80,90,3,13.5,25,18.1,3 Stage Planetary
NM225/30,0.225,30,30,3.5,15,25,37.8,
NM44,0.6,,,2.5,15.5,25,27,3 Stage Planetary
NM48,0.7,50,48,4,16,25,22,2 Stage Planetary
NM48,0.7,55,48,4,16,25,22,2 Stage Planetary
NM48,0.75,55,48,4,16,25,22,2 Stage Planetary
NM52,0.9,72,52,3.5,16,25,22.4,3 Stage Planetary
NM52,0.8,,,3.5,16,25,22.4,3 Stage Planetary
NM54,0.95,,,3,16,25,22,
NPS-100,0.1,37,21,3,15,25,,Direct Drive
NTK65,0.065,24,16,3.6,13.5,25,,
NTK65/13,0.065,24,16.5,,,,,
NW100,0.1,30,21,,,,,
S88,2.1,79,88,3.5,14,25,17.8,3 Stage Planetary
S88,2.1,80,88,4,14,25,15.5,3 Stage Planetary
S97,2.1,90,97,3.5,11,20,,
SE10520E,2,103,80,3,10,22,15,2 Stage Planetary
SG 5.0-145,5,90,145,,,,,3 Stage Planetary
SG-2.3-108,2.3,80,108,,,,,
SG-2.415-108,2.415,80,108,,,,,
SG-2.625-114,2.625,93,114,3,11,25,14.7,3 Stage Planetary
SG-2.625-120,2.625,85,120,2.5,11,25,,
SG-2.7-129,2.7,87,129,,,,,3 Stage Planetary
SG-4.5-145,4.5,107.5,145,,,,10.77,3 Stage Planetary
SI.250,0.25,30,30,4,14,25,40,3 Stage Spur
SWT-2.3-101,2.3,80,101,3.5,12.5,25,16,3 Stage Planetary
SWT-2.3-108,2.3,80,108,3,11.5,25,16,3 Stage Planetary
SWT-2.3-93,2.3,80,93,4,14,25,16,3 Stage Planetary
SWT-2.37-108,2.37,80,108,,,,,
V-112,3.45,91.5,112,3,13,25,17.7,3 Stage Planetary
V-117,3.6,91.5,117,3,13,25,,3 Stage Planetary
V100-1.8,1.8,80,100,3,12,20,16.6,3 Stage Planetary
V100-2.0,2,67,100,3,12,22,13.4,3 Stage Planetary
V100-2.0,2,80,100,3,12,22,13.4,3 Stage Planetary
V110-2.0,2,80,110,3,11.5,20,,3 Stage Planetary
V110-2.0,2,95,110,3,11.5,20,,3 Stage Planetary
V110-2.2,2.2,80,110,3,11.5,20,,3 Stage Planetary
V110-2.2,2.2,85,110,3,11.5,20,,3 Stage Planetary
V112-3.0,3,92,112,3,12,25,17.7,4 Stage Planetary
V112-3.0,3,94,112,3,12,25,17.7,4 Stage Planetary
V112-3.3,3.3,84,112,3,13,25,,3 Stage Planetary
V112-3.45,3.45,94,112,3,13,25,,3 Stage Planetary
V117-3.6,3.6,91.5,117,3,13,25,,3 Stage Planetary
V117-3.6,3.6,92,117,3,13,25,,3 Stage Planetary
V117-4.0,4,92,117,3,10,25,,3 Stage Planetary
V117-4.3,4.3,92,117,,,,,
V120-2.2,2.2,80,120,3,9.4,18,13.4,3 Stage Planetary
V120-2.2,2.2,92,120,3,9.4,18,13.4,3 Stage Planetary
V126-3.45,3.45,87,126,3,12,22.5,,3 Stage Planetary
V136-3.6,3.6,82,136,,,,,
V136-3.6,3.6,105,136,,,,,
V136-4.0,4,105,136,3,11,30,10.6,3 Stage Planetary
V136-4.2,4.2,84,136,3,11,32,19.8,3 Stage Planetary
V136-4.3,4.3,82,136,,,,,
V150-4.3,4.3,105,150,,,,,
V150-4.5,4.5,105,150,3,,24.5,10.4,3 Stage Planetary
V150-4.5,4.5,120,150,3,,24.5,10.4,3 Stage Planetary
V17,0.09,,17,,,,,
V27,0.225,,27,3,,25,,
V34,0.35,,,,,,,
V39,0.5,40,42,4,15,25,30,3 Stage Planetary
V39,0.5,40,39,4,15,25,30,3 Stage Planetary
V39,0.5,30,39,4,15,25,30,3 Stage Planetary
V39,0.45,40,42,4,15,25,30,3 Stage Planetary
V39,0.45,40,39,4,15,25,30,3 Stage Planetary
V42,0.5,40,39,3,14.5,25,30,3 Stage Planetary
V42,0.5,40,42,3,14.5,25,30,3 Stage Planetary
V42,0.5,30,42,3,14.5,25,30,3 Stage Planetary
V42,0.5,30,39,3,14.5,25,30,3 Stage Planetary
V42-0.65,0.65,40,42,,,,,
V44,0.5,40,42,,,,,
V47,0.66,65,47,4,15,25,28.5,3 Stage Planetary
V47,0.66,50,47,4,15,25,28.5,3 Stage Planetary
V47,1,60,47,4,15,25,28.5,3 Stage Planetary
V47-0.66,0.66,65,47,4,15,25,28.5,3 Stage Planetary
V47-0.66,0.66,50,47,4,15,25,28.5,3 Stage Planetary
V47-0.66,0.66,60,47,4,15,25,28.5,3 Stage Planetary
V47-0.71,0.71,50,47,4,15,25,28.5,3 Stage Planetary
V7,0.065,,,,,,,
V80-1.8,1.8,67,80,4,15,25,16.8,3 Stage Planetary
V80-1.8,1.8,60,80,4,15,25,16.8,3 Stage Planetary
V80-2.0,2,67,80,4,15,25,19,3 Stage Planetary
V82-1.65,1.65,80,82,2.5,13,32,10.8,3 Stage Planetary
V82-1.65,1.65,70,82,2.5,13,32,10.8,3 Stage Planetary
V90-1.8,1.8,80,90,3.5,12,25,14.9,3 Stage Planetary
V90-3.0,3,80,90,4,15,25,18.4,3 Stage Planetary
WWG0600,0.6,37,44,,,,,
XL50,0.05,52,14,,,,,
Z50,0.75,64,50,4,11.3,29,32.3,2 Stage Spur
Z50,0.75,63,50,4,11.3,29,32.3,2 Stage Spur
,0.095,,,,,,,
,0.105,,,,,,,
,0.065,24.6,16,,,,,
