Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
57,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.375305,35.038174,35.369809,-118.941786,9q5sgb,1473.633667,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
58,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357689,35.032295,35.369809,-118.941786,9q5sgb,1303.233521,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
59,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.356491,35.047894,35.369809,-118.941786,9q5sgb,1284.45874,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
60,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358185,35.030697,35.369809,-118.941786,9q5sgb,1285.494751,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
61,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370186,35.052494,35.369809,-118.941786,9q5sgb,1374.328003,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
62,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.377388,35.046894,35.369809,-118.941786,9q5sgb,1375.11853,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
63,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.388191,35.053097,35.369809,-118.941786,9q5sgb,1514.803223,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
64,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.38739,35.026894,35.369809,-118.941786,9q5sgb,1641.194946,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
65,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.371887,35.034595,35.369809,-118.941786,9q5sgb,1406.762939,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
66,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.355339,35.033531,35.369809,-118.941786,9q5sgb,1282.6521,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
