,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
44,2638,H,200.0,7.74,100.0,-100,1.015,2608,407.0,0.0,0.2,0.0,0.0,1,1,100,407.0,0,1,1,,,,,,,,,,2638,CASTAI4G,34.589863,-118.663274,9q5sgb
45,3133,NG,31.0,-12.551,42.0,-29,0.99272,3103,80.0,0.0,0.2,0.0,0.0,1,1,100,62.0,0,1,1,,,,,,,,,,3133,SANMATEO,37.582985,-122.318546,9q9jb9
46,3133,SC,0.0,0.0,500.0,-500,0.99272,3103,300.0,0.0,0.2,0.0,0.0,1,0,100,0.1,0,1,1,,,,,,,,,,3133,SANMATEO,37.582985,-122.318546,9q9jb9
47,3135,MG,206.0,42.757,239.0,-201,1.0,3105,541.0,0.0,0.2,0.0,0.0,1,1,100,541.0,0,1,1,,,,,,,,,,3135,POTRERO,37.75843,-122.398,9q8yyc
48,3135,NG,14.0,42.757,100.0,-85,1.0,3105,38.0,0.0,0.2,0.0,0.0,1,1,100,38.0,0,1,1,,,,,,,,,,3135,POTRERO,37.75843,-122.398,9q8yyc
49,3234,DG,104.0,101.0,101.0,-75,1.01,3204,177.0,0.0,0.2,0.0,0.0,1,1,100,177.0,0,1,1,,,,,,,,,,3234,PITSBURG,38.037129,-121.897096,9qc26h
50,3234,MG,2261.0,118.878,1244.0,-1234,1.01,3204,3853.0,0.0,0.2,0.0,0.0,1,1,100,3853.0,0,1,1,,,,,,,,,,3234,PITSBURG,38.037129,-121.897096,9qc26h
51,3234,NG,608.0,118.878,382.0,-212,1.01,3204,1037.0,0.0,0.2,0.0,0.0,1,1,100,1037.0,0,1,1,,,,,,,,,,3234,PITSBURG,38.037129,-121.897096,9qc26h
52,3234,NW,1021.0,118.878,150.0,-110,1.01,3204,1740.0,0.0,0.2,0.0,0.0,1,1,100,1740.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3234,PITSBURG,38.037129,-121.897096,9qc26h
53,3333,CG,620.0,81.668,398.0,-226,1.0,3303,1012.0,0.0,0.2,0.0,0.0,1,1,100,1012.0,0,1,1,,,,,,,,,,3333,METCALF,37.222363,-121.746496,9q97v8
54,3333,NG,191.0,81.668,202.0,-143,1.0,3303,312.0,0.0,0.2,0.0,0.0,1,1,100,312.0,0,1,1,,,,,,,,,,3333,METCALF,37.222363,-121.746496,9q97v8
55,3432,NP,0.0,0.0,1568.0,-941,1.0,3402,3746.0,0.0,0.2,0.0,0.0,1,0,100,3746.0,-2841,1,1,,,,,,,,,,3432,HELMS PP,37.039937,-118.946978,9qe6tq
56,3433,NG,481.0,25.641,231.0,-175,1.0,3403,921.0,0.0,0.2,0.0,0.0,1,1,100,921.0,0,1,1,,,,,,,,,,3433,MC CALL,36.609214,-119.639632,9qdbm8
