   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG
3933,NW,346.372,88.652,200,-200,1.02,3933,740,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,740,0,1,1,0,1,0,1,0,1,1,1,
3933,S,623.937,88.652,800,-500,1.02,3933,1333,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1333,0,1,1,0,1,0,1,0,1,1,1,
4031,G,892.801,-168.528,502,-502,1.08,4001,2710,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2710,0,1,1,,,,,,,,,
4031,H,313.199,-168.528,489,-489,1.08,4001,952,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,952,0,1,1,,,,,,,,,
4031,S,140.4,-168.528,250,-250,1.08,4001,427,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,427,0,1,1,0,1,0,1,0,1,1,1,
4031,W,208.8,-168.528,240,-240,1.08,4001,635,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,635,0,1,1,0,1,0,1,0,1,1,1,
4035,C,173.7,-122.614,255,-255,1.08,4005,642,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,642,0,1,1,,,,,,,,,
4035,G,448.2,-122.614,307,-307,1.08,4005,1656,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1656,0,1,1,,,,,,,,,
4035,H,966.6,-122.614,1836,-1836,1.08,4005,3572,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3572,0,1,1,,,,,,,,,
4035,W,697.5,-122.614,800,-800,1.08,4005,2578,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2578,0,1,1,0,1,0,1,0,1,1,1,
4039,G,77.4,102,102,-102,1.08,4009,150,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,150,0,1,1,,,,,,,,,
4039,H,1455.3,380.224,1459,-1459,1.08,4009,2839,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2839,0,1,1,,,,,,,,,
4039,W,712.8,380.224,500,-500,1.08,4009,1290,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1290,0,1,1,0,1,0,1,0,1,1,1,
4131,B,450,150,150,-150,1.128,4101,711,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,711,0,1,1,,,,,,,,,
4131,H,7418.7,543.401,6482,-6482,1.128,4101,12613,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,12613,0,1,1,,,,,,,,,
4131,W,555.3,120,120,-120,1.128,4101,790,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,790,0,1,1,0,1,0,1,0,1,1,1,
4132,G,1854.899,52.261,1473,-1473,1.096,4102,2170,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2170,0,1,1,,,,,,,,,
4132,H,3835.801,52.261,2847,-2847,1.096,4102,5539,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,5539,0,1,1,,,,,,,,,
4132,N,900,52.261,231,-231,1.096,4102,1200,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1200,0,1,1,,,,,,,,,
4132,W,270,52.261,160,-160,1.096,4102,400,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,300,0,1,1,0,1,0,1,0,1,1,1,
4231,C,999,485.229,728,-728,1.12,4201,1460,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1460,0,1,1,,,,,,,,,
4231,G,664.2,485.229,659,-659,1.12,4201,970,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,970,0,1,1,,,,,,,,,
4231,H,2406.601,485.229,1808,-1808,1.12,4201,3517,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3517,0,1,1,,,,,,,,,
4232,G,348.3,-3.607,592,-592,1.06,4202,872,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,872,0,1,1,,,,,,,,,
4232,H,222.3,-3.607,287,-287,1.06,4202,558,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,558,0,1,1,,,,,,,,,
4232,W,316.8,-3.607,108,-108,1.06,4202,695,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,695,0,1,1,0,1,0,1,0,1,1,1,
5031,G,821.7,534.329,605,-605,1.05,5001,2650,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2650,0,1,1,,,,,,,,,
5031,H,5976,534.329,4399,-4399,1.05,5001,10747,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,10747,0,1,1,,,,,,,,,
5032,C,3646.8,410.28,2977,-2977,1.055,5002,13039,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,13039,0,1,1,,,,,,,,,
5032,G,2695.5,410.28,2200,-2200,1.055,5002,9636,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,9636,0,1,1,,,,,,,,,
5032,R,66.6,54,54,-54,1.055,5002,108,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,108,0,1,1,,,,,,,,,
5032,S,2701.8,410.28,2205,-2205,1.055,5002,4410.2,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,4410.2,0,1,1,0,1,0,1,0,1,1,1,
5032,W,331.2,271,271,-271,1.055,5002,541,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,541,0,1,1,0,1,0,1,0,1,1,1,
6132,B,45,-20,20,-20,1.03,6102,122,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,122,0,1,1,,,,,,,,,
6132,G,1043.1,-147,147,-147,1.03,6102,1272,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1272,0,1,1,,,,,,,,,
6132,H,1992.599,-387.445,1072,-1072,1.03,6102,2541,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2541,0,1,1,,,,,,,,,
6132,S,180,-75,75,-75,1.03,6102,395,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,395,0,1,1,0,1,0,1,0,1,1,1,
6132,W,503.1,-210,210,-210,1.03,6102,973,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,973,0,1,1,0,1,0,1,0,1,1,1,
6231,C,705.15,-104.087,1256,-1256,1.06,6201,2488,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2488,0,1,1,,,,,,,,,
6231,G,225,-70,70,-70,1.06,6201,250,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,250,0,1,1,,,,,,,,,
6235,G,90,49.769,64,-64,1.05,6205,226,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,226,0,1,1,,,,,,,,,
6235,H,1040.4,49.769,347,-347,1.05,6205,2671,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2671,0,1,1,,,,,,,,,
6235,W,280.8,49.769,195,-195,1.05,6205,720,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,720,0,1,1,0,1,0,1,0,1,1,1,
6333,C,2837.7,330.576,1671,-1671,1.03,6303,4594,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,4594,0,1,1,,,,,,,,,
6333,W,919.8,330.576,350,-350,1.03,6303,1489,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1489,0,1,1,0,1,0,1,0,1,1,1,
6335,C,2274.3,260.575,968,-968,1.06,6305,3000,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,2660,0,1,1,,,,,,,,,
6335,G,295.2,260.575,330,-330,1.06,6305,418,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,418,0,1,1,,,,,,,,,
6335,H,259.2,260.575,406,-406,1.06,6305,400,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,303,0,1,1,,,,,,,,,
6433,C,194,74.552,283,-283,1.11,6403,391,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,391,0,1,1,,,,,,,,,
6433,E,372,59,59,-59,1.11,6403,751,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,751,0,1,1,,,,,,,,,
6433,G,679,74.552,536,-536,1.11,6403,1369,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1369,0,1,1,,,,,,,,,
6433,W,75,50,50,-50,1.11,6403,152,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,152,0,1,1,0,1,0,1,0,1,1,1,
6533,C,1318.501,78.734,1924,-1924,1.065,6503,3276,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3276,0,1,1,,,,,,,,,
6533,G,1213.201,78.734,880,-880,1.065,6503,3239,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3239,0,1,1,,,,,,,,,
6533,H,90,75,75,-75,1.065,6503,275,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,275,0,1,1,,,,,,,,,
6533,S,566.1,78.734,500,-500,1.065,6503,1407,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1407,0,1,1,0,1,0,1,0,1,1,1,
6533,W,157.5,20,20,-20,1.065,6503,391,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,391,0,1,1,0,1,0,1,0,1,1,1,
7031,C,1105.199,380.609,1419,-1419,1.02,7001,3127,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3127,0,1,1,,,,,,,,,
7031,G,2242.802,380.609,2092,-2092,1.02,7001,6346,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,6346,0,1,1,,,,,,,,,
7031,P,123.3,175,175,-175,1.02,7001,509,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,509,-509,1,1,,,,,,,,,
7031,SC,0,0,1000,-1000,1.02,7001,100,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,0,100,0.1,0,1,1,,,,,,,,,
7031,W,1098,380.609,1000,-1000,1.02,7001,3106,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3106,0,1,1,0,1,0,1,0,1,1,1,
7032,C,1057.5,22.012,826,-826,1.015,7002,1821,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1821,0,1,1,,,,,,,,,
7032,G,861.3,22.012,489,-489,1.015,7002,1483,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1483,0,1,1,,,,,,,,,
7032,H,390.6,22.012,346,-346,1.015,7002,672,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,672,0,1,1,,,,,,,,,
7032,S,428.4,22.012,230,-230,1.015,7002,738,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,738,0,1,1,0,1,0,1,0,1,1,1,
8033,H,1182,259.732,786,-786,1.075,8003,1394,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,1394,0,1,1,,,,,,,,,
8034,G,2946,239.367,1280,-1280,1,8004,3754,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,3754,0,1,1,,,,,,,,,
8034,H,427,239.367,344,-344,1,8004,544,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1,1,100,544,0,1,1,,,,,,,,,
