,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
5003.0,194.0,1.0,187.326,206.671,0.0,0.0,3.0,0.84855,-9.98628,230.0,1.0,1.2,0.8
6102.0,199.0,1.0,1831.66,-389.133,0.0,0.0,3.0,0.906147,-0.476395,345.0,6.0,1.2,0.8
6103.0,200.0,1.0,669.929,-54.1783,0.0,0.0,3.0,0.906823,-0.592984,345.0,6.0,1.2,0.8
6301.0,210.0,1.0,894.293,-36.9106,0.0,0.0,3.0,0.907411,-0.534415,345.0,14.0,1.2,0.8
6403.0,219.0,1.0,3.57001,1.56237,0.0,0.0,1.0,0.928665,0.723935,345.0,9.0,1.2,0.8
6501.0,222.0,1.0,316.861,-81.5271,0.0,0.0,3.0,0.931599,-0.843532,345.0,12.0,1.2,0.8
6104.0,201.0,1.0,2030.25,-1229.09,0.0,0.0,3.0,0.90479,-1.35112,230.0,6.0,1.2,0.8
6204.0,206.0,1.0,555.705,-420.164,0.0,0.0,3.0,0.879324,-1.821,230.0,8.0,1.2,0.8
6305.0,214.0,1.0,102.137,62.901,0.0,0.0,3.0,0.931977,0.337182,230.0,14.0,1.2,0.8
6201.0,203.0,1.0,243.437,-121.842,0.0,0.0,3.0,0.88263,-1.33937,500.0,8.0,1.2,0.8
6203.0,205.0,1.0,848.394,-307.131,0.0,0.0,3.0,0.898225,-1.11765,230.0,8.0,1.2,0.8
6205.0,207.0,1.0,862.436,14.2311,0.0,0.0,3.0,0.894889,-0.390041,230.0,8.0,1.2,0.8
6303.0,212.0,1.0,1315.46,427.567,0.0,0.0,3.0,0.918931,-0.0270739,230.0,14.0,1.2,0.8
6304.0,213.0,1.0,0.0,0.0,0.0,0.0,3.0,0.963093,-1.7856,230.0,14.0,1.2,0.8
6302.0,211.0,1.0,207.232,-741.52,0.0,0.0,3.0,0.984139,-2.10275,345.0,14.0,1.2,0.8
6510.0,231.0,2.0,3063.44,-1544.07,0.0,0.0,3.0,0.93079,-0.918451,230.0,12.0,1.2,0.8
6502.0,223.0,1.0,2480.67,-905.708,0.0,0.0,3.0,0.932857,-0.883756,345.0,12.0,1.2,0.8
6509.0,230.0,1.0,13.7283,-3.88068,0.0,0.0,3.0,0.932788,-0.878634,345.0,12.0,1.2,0.8
6503.0,224.0,1.0,809.208,89.4145,0.0,0.0,3.0,0.937756,-0.263035,345.0,12.0,1.2,0.8
6508.0,229.0,1.0,221.604,-41.5217,0.0,0.0,3.0,0.933742,-0.739085,345.0,12.0,1.2,0.8
6505.0,226.0,1.0,13.1722,3.25925,0.0,0.0,3.0,0.951926,0.047685,345.0,12.0,1.2,0.8
1003.0,3.0,2.0,4267.59,55.1785,0.0,0.0,1.0,0.964607,-0.138266,230.0,10.0,1.2,0.8
