Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
3916,LOGAN CR,230,,1,0.9981,1.89,1.1,0.9,1.1,0.9,39.435504,-122.23327
3917,LOSBANOS,230,,1,1.001,-3.13,1.1,0.9,1.1,0.9,37.054001,-121.022616
3918,MOSSLAND,230,,1,0.9924,-1.13,1.1,0.9,1.1,0.9,36.737604,-121.732796
3919,PALERMO,230,,1,0.9673,-2.8,1.1,0.9,1.1,0.9,39.435556,-121.538056
3920,RIO OSO,230,,1,0.9775,-4.91,1.1,0.9,1.1,0.9,38.93608,-121.463992
3921,ROUND MT,230,,1,1.07,23.2,1.1,0.9,1.1,0.9,40.808138,-121.936762
3922,TABLE MT,230,,1,0.984,2.89,1.1,0.9,1.1,0.9,39.55548,-121.645379
3923,TESLA,230,,3,1.0161,-0.28,1.1,0.9,1.1,0.9,37.71247,-121.565283
3924,VACA-DIX,230,,1,0.997,0.25,1.1,0.9,1.1,0.9,38.40437,-121.918134
3925,COTWDPGE,115,,1,1.022,12.97,1.1,0.9,1.1,0.9,40.397712,-122.265115
3926,RIO OSO,115,,1,0.9853,-4.02,1.1,0.9,1.1,0.9,38.93608,-121.463992
3931,ROUND MT,20,,2,1.0712,23.56,1.1,0.9,1.1,0.9,40.808138,-121.936762
3932,MOSSLAND,20,,2,0.9997,4.22,1.1,0.9,1.1,0.9,36.737604,-121.732796
3933,TESLA,20,,2,1.02,0,1.1,0.9,1.1,0.9,37.71247,-121.565283
4001,MALIN,500,,1,1.08,23.27,1.1,0.9,1.1,0.9,42.004704,-121.318052
4002,SUMMER L,500,,1,1.0919,31.22,1.1,0.9,1.1,0.9,43.016085,-120.953695
4003,BURNS,500,,1,1.0889,43.62,1.1,0.9,1.1,0.9,43.767338,-118.797842
4004,GRIZZLY,500,,1,1.0898,32.21,1.1,0.9,1.1,0.9,44.481129,-121.01542
4005,JOHN DAY,500,,1,1.08,40.69,1.1,0.9,1.1,0.9,45.677819,-120.733553
4006,BIG EDDY,500,,1,1.0767,37.91,1.1,0.9,1.1,0.9,45.60664,-121.115583
4007,CELILOCA,500,,1,1.0767,37.77,1.1,0.9,1.1,0.9,45.594757,-121.113585
4008,MALIN,345,,1,1.0756,21.03,1.1,0.9,1.1,0.9,42.004704,-121.318052
4009,BIG EDDY,230,,1,1.08,36.02,1.1,0.9,1.1,0.9,45.60664,-121.115583
4010,CELILO,230,,1,1.0789,35.66,1.1,0.9,1.1,0.9,45.594757,-121.113585
4031,MALIN,20,,2,1.0846,23.7,1.1,0.9,1.1,0.9,42.004704,-121.318052
4035,JOHN DAY,20,,2,1.0802,41.31,1.1,0.9,1.1,0.9,45.677819,-120.733553
4039,DALLES21,20,,2,1.084,36.63,1.1,0.9,1.1,0.9,45.60664,-121.115583
4090,MALIN1,500,,1,1.0905,30.06,1.1,0.9,1.1,0.9,42.004704,-121.318052
4091,GRIZZLY1,500,,1,1.0947,31.78,1.1,0.9,1.1,0.9,44.481129,-121.01542
4092,GRIZZLY2,500,,1,1.093,25.48,1.1,0.9,1.1,0.9,44.481129,-121.01542
4093,GRIZZLY3,500,,1,1.0944,24.61,1.1,0.9,1.1,0.9,44.481129,-121.01542
4094,GRIZZLY4,500,,1,1.0893,31.27,1.1,0.9,1.1,0.9,44.481129,-121.01542
4095,GRIZZLY5,500,,1,1.0926,25.1,1.1,0.9,1.1,0.9,44.481129,-121.01542
4096,GRIZZLY6,500,,1,1.0943,24.19,1.1,0.9,1.1,0.9,44.481129,-121.01542
4097,GRIZZLY7,500,,1,1.0889,31.22,1.1,0.9,1.1,0.9,44.481129,-121.01542
4101,COULEE,500,,1,1.128,65.58,1.1,0.9,1.1,0.9,47.947893,-118.996055
4102,HANFORD,500,,1,1.096,55.21,1.1,0.9,1.1,0.9,46.669392,-119.573343
4103,BELL,500,,1,1.0675,48.87,1.1,0.9,1.1,0.9,47.746353,-117.373738
4104,BELL,230,,1,1.0398,36.92,1.1,0.9,1.1,0.9,47.746353,-117.373738
4131,COULEE,20,,2,1.1321,67.68,1.1,0.9,1.1,0.9,47.947893,-118.996055
4132,HANFORD,20,,2,1.1004,57.02,1.1,0.9,1.1,0.9,46.669392,-119.573343
4201,NORTH,500,,1,1.12,58.23,1.1,0.9,1.1,0.9,48.22276,-121.837459
4202,WCASCADE,500,,1,1.06,39.05,1.1,0.9,1.1,0.9,47.065363,-121.779859
4203,WILLAMET,500,,1,1.0164,33.96,1.1,0.9,1.1,0.9,44.051652,-123.091142
4204,MERIDIAN,500,,1,1.0683,24.03,1.1,0.9,1.1,0.9,42.358895,-122.760172
4231,NORTH G3,20,,2,1.1271,59.26,1.1,0.9,1.1,0.9,48.22276,-121.837459
4232,WCASCADE,20,,2,1.0638,39.3,1.1,0.9,1.1,0.9,47.065363,-121.779859
5001,CANADA,500,,1,1.05,63.7,1.1,0.9,1.1,0.9,49.429986,-122.303722
5002,CANALB,500,,1,1.055,66.15,1.1,0.9,1.1,0.9,49.429986,-122.303722
5003,CA230TO,230,,1,1.0464,61.42,1.1,0.9,1.1,0.9,49.686968,-117.438199
5004,CA230,230,,1,1.053,49.16,1.1,0.9,1.1,0.9,49.686968,-117.438199
5031,CANAD G1,20,,2,1.0561,65.65,1.1,0.9,1.1,0.9,49.429986,-122.303722
5032,CMAIN GM,20,,2,1.0602,68.84,1.1,0.9,1.1,0.9,49.429986,-122.303722
6101,MIDPOINT,500,,1,1.0539,58.79,1.1,0.9,1.1,0.9,42.888986,-114.199277
6102,MIDPOINT,345,,1,1.03,63.01,1.1,0.9,1.1,0.9,42.888986,-114.199277
6103,BORAH,345,,1,1.014,61.37,1.1,0.9,1.1,0.9,42.835449,-113.348619
6104,BORAH,230,,1,1.0066,50.18,1.1,0.9,1.1,0.9,42.835449,-113.348619
6132,MIDPOINT,20,,2,1.0279,64.14,1.1,0.9,1.1,0.9,42.888986,-114.199277
6201,COLSTRP,500,,1,1.06,58.65,1.1,0.9,1.1,0.9,45.689474,-106.552322
6202,GARRISON,500,,1,1.0901,53.3,1.1,0.9,1.1,0.9,46.515909,-112.878383
6203,COLSTRP,230,,1,1.0051,57.75,1.1,0.9,1.1,0.9,45.689474,-106.552322
6204,GARRISON,230,,1,1.0471,54.21,1.1,0.9,1.1,0.9,46.515909,-112.878383
6205,MONTANA,230,,1,1.05,65.72,1.1,0.9,1.1,0.9,47.432975,-111.260716
6231,COLSTRP,20,,2,1.0593,58.91,1.1,0.9,1.1,0.9,45.689474,-106.552322
6235,MONTA G1,20,,2,1.0509,66.13,1.1,0.9,1.1,0.9,47.432975,-111.260716
6301,BRIDGER,345,,1,1.0152,62.94,1.1,0.9,1.1,0.9,42.083869,-108.529745
