mu,H,gamma,q_target,valid,core_objective,throughput_per_day,non_battery_cost_per_day
0.001,24,0.1,0.75,True,0.5949875709603193,12.888948485594488,14.266812754562068
0.001,24,0.1,1.0,True,0.595089501322648,12.91230109705233,14.269235730646503
0.001,48,0.0001,0.5,True,0.5911788842704675,12.836825433589325,14.175456397057633
0.001,48,0.0001,0.75,True,0.5911788843311376,12.836825740971639,14.175456398206329
0.001,48,0.0001,1.0,True,0.5911788843622091,12.836826013597014,14.175456398679422
0.001,48,0.001,0.5,True,0.591178884391681,12.83682608817592,14.17545639931217
0.001,48,0.001,0.75,True,0.591178884415735,12.836825981992542,14.175456399995646
0.001,48,0.001,1.0,True,0.5911788845556478,12.83682654666026,14.175456402788887
0.001,48,0.01,0.5,True,0.5909666203123144,12.827845723352489,14.17037104177219
0.001,48,0.01,0.75,True,0.5910813034476341,12.835521074273474,14.173115761668944
0.001,48,0.01,1.0,True,0.5912939786986733,12.839859293131855,14.178215629475025
0.001,48,0.1,0.5,True,0.59108188834151,12.833955871662624,14.173131364324577
0.001,48,0.1,0.75,True,0.5913695895151636,12.83688065610196,14.180033267707826
0.001,48,0.1,1.0,True,0.5916541945606909,12.841960144993578,14.18685870931159
0.001,72,0.0001,0.5,True,0.5907486431245577,12.819439108798823,14.165147995880583
0.001,72,0.0001,0.75,True,0.5907486431127408,12.819439101083649,14.165147995604698
0.001,72,0.0001,1.0,True,0.59074864312252,12.819438902924434,14.165147996037557
0.001,72,0.001,0.5,True,0.5907486428619689,12.819438942798525,14.165147989744456
0.001,72,0.001,0.75,True,0.590748642972879,12.819439097395252,14.165147992251699
0.001,72,0.001,1.0,True,0.5907486188725386,12.81939265960911,14.165147460281316
0.001,72,0.01,0.5,True,0.5906620993617562,12.818925511561732,14.163071459170586
0.001,72,0.01,0.75,True,0.5907218202218405,12.820855339016639,14.164502829985153
0.001,72,0.01,1.0,True,0.5908190286290096,12.821991665499025,14.16683469543073
0.001,72,0.1,0.5,True,0.5907187331444985,12.81947613019571,14.16443011933777
0.001,72,0.1,0.75,True,0.5909031411307838,12.81842987233354,14.168856957266478
0.001,72,0.1,1.0,True,0.5910872594646198,12.820720602057964,14.173273506548817
0.01,24,0.0001,0.5,True,0.6039488604433898,12.713578295859588,14.367636867682762
0.01,24,0.0001,0.75,True,0.6038383689945728,12.718022564015069,14.364940630229595
0.01,24,0.0001,1.0,True,0.6032351107077103,12.731781754132866,14.350324839443719
0.01,24,0.001,0.5,True,0.6038659206534895,12.71789405534354,14.365603155130314
0.01,24,0.001,0.75,True,0.6034457904118513,12.727565484916074,14.355423315035269
0.01,24,0.001,1.0,True,0.6026855776722976,12.745289392103395,14.337000970214106
0.01,24,0.01,0.5,True,0.6020746059232255,12.685902018311065,14.3229315219743
0.01,24,0.01,0.75,True,0.59872082901328,12.709434716918487,14.242205549149539
0.01,24,0.01,1.0,True,0.5985974349688093,12.762012910220884,14.238718310149213
0.01,24,0.1,0.5,True,0.5997112621941766,12.708266778268147,14.265987624877557
0.01,24,0.1,0.75,True,0.5999973386851932,12.748339699070439,14.272452731453932
0.01,24,0.1,1.0,True,0.5999929863877501,12.776311347150147,14.2720685598345
0.01,48,0.0001,0.5,True,0.5959959881844095,12.69785874453014,14.176925128980523
0.01,48,0.0001,0.75,True,0.5959825965385871,12.700113681469668,14.176581180111395
0.01,48,0.0001,1.0,True,0.5959828162359458,12.70064098271267,14.176581179835573
0.01,48,0.001,0.5,True,0.5959828277527611,12.700640970595407,14.17658145636031
0.01,48,0.001,0.75,True,0.5959828216193623,12.700641080294531,14.17658130806175
0.01,48,0.001,1.0,True,0.5959828222614848,12.700641355073708,14.176581320724898
0.01,48,0.01,0.5,True,0.595756142423357,12.690854008749746,14.17123887807307
0.01,48,0.01,0.75,True,0.5958764244299924,12.699091712322812,14.174043269196591
0.01,48,0.01,1.0,True,0.5960997778507634,12.704128485677076,14.179353383561551
0.01,48,0.1,0.5,True,0.5958747747665886,12.697414690563654,14.17402044749249
0.01,48,0.1,0.75,True,0.5961720055216526,12.70113807057966,14.18111675181387
0.01,48,0.1,1.0,True,0.5964643833512103,12.706236359810662,14.188082836830944
0.01,72,0.0001,0.5,True,0.595533117000956,12.680139545662529,14.165993412566317
0.01,72,0.0001,0.75,True,0.595533827190951,12.681844346352742,14.165993409119299
0.01,72,0.0001,1.0,True,0.5955340468213971,12.682371458856194,14.165993409124969
0.01,72,0.001,0.5,True,0.595534046663216,12.68237213310016,14.165993398586183
0.01,72,0.001,0.75,True,0.5955340464968222,12.68237178481327,14.165993398075601
0.01,72,0.001,1.0,True,0.5955340114644408,12.682317787031073,14.165993097276269
0.01,72,0.01,0.5,True,0.5954456120076793,12.682169303418844,14.163872995150118
0.01,72,0.01,0.75,True,0.595509594862807,12.684444479351328,14.165385831913856
0.01,72,0.01,1.0,True,0.595611752012982,12.685767101489532,14.167824377296672
0.01,72,0.1,0.5,True,0.5955029696745031,12.683169171162058,14.165239580476452
0.01,72,0.1,0.75,True,0.5956937874016754,12.68217763861755,14.169829121254034
0.01,72,0.1,1.0,True,0.5958804855285679,12.684712573797613,14.17428452694765
0.1,24,0.0001,0.5,True,0.6506276344378172,11.43598413346971,14.471464813160646
0.1,24,0.0001,0.75,True,0.6506276282414024,11.435984055357165,14.471464672257941
0.1,24,0.0001,1.0,True,0.6506276386388079,11.435984051516561,14.471464922179733
0.1,24,0.001,0.5,True,0.6503579616591587,11.439827952950218,14.464608284524786
0.1,24,0.001,0.75,True,0.6502328860982166,11.445054755782813,14.461083790778918
0.1,24,0.001,1.0,True,0.64970527015331,11.464057183299966,14.446520765349444
0.1,24,0.01,0.5,True,0.6482360902283041,11.405653677923295,14.417100797686972
0.1,24,0.01,0.75,True,0.6441851368107014,11.460769489570957,14.314366334499734
0.1,24,0.01,1.0,True,0.6444831519474923,11.519665079491618,14.315629138790651
0.1,24,0.1,0.5,True,0.6451512064776024,11.469448594230137,14.336684096039445
0.1,24,0.1,0.75,True,0.6460323333658821,11.499928180443536,14.354783182736817
0.1,24,0.1,1.0,True,0.6464306602381034,11.534552969342801,14.3608805487802
0.1,48,0.0001,0.5,True,0.641649521319924,11.439214644979273,14.255667047180248
0.1,48,0.0001,0.75,True,0.6416494985669549,11.439214627036934,14.255666502903223
0.1,48,0.0001,1.0,True,0.6416494965930798,11.43921468145859,14.255666450088055
0.1,48,0.001,0.5,True,0.64164952292859,11.439213777002566,14.255667172585907
0.1,48,0.001,0.75,True,0.641644401649612,11.441476748553551,14.255317964735333
0.1,48,0.001,1.0,True,0.6416465880759207,11.44200406842353,14.255317706979746
0.1,48,0.01,0.5,True,0.6409751932248872,11.43256460460409,14.240148176936883
0.1,48,0.01,0.75,True,0.6411657505769008,11.44843377814905,14.243134636030716
0.1,48,0.01,1.0,True,0.6415034643854883,11.45603081772788,14.250480063478937
0.1,48,0.1,0.5,True,0.6411392438773255,11.445074253766746,14.242834427679137
0.1,48,0.1,0.75,True,0.6415414990486369,11.45352941046057,14.251643036121227
0.1,48,0.1,1.0,True,0.6419347365716216,11.458237268627355,14.260609950856184
0.1,72,0.0001,0.5,True,0.6407022095790044,11.421837991090491,14.234669230787055
0.1,72,0.0001,0.75,True,0.640702209732883,11.421836928606623,14.23466934072853
0.1,72,0.0001,1.0,True,0.6407022098535867,11.421837846279884,14.234669251858094
0.1,72,0.001,0.5,True,0.640702209932686,11.421838145981965,14.234669223786266
0.1,72,0.001,0.75,True,0.6407093122663053,11.423542178379265,14.2346692765534
0.1,72,0.001,1.0,True,0.6407108088656212,11.423779817587944,14.234681431016114
0.1,72,0.01,0.5,True,0.6406052483860573,11.42499414065402,14.232026547199972
0.1,72,0.01,0.75,True,0.6407178627822656,11.429107596749214,14.234317947099454
0.1,72,0.01,1.0,True,0.6408773046548802,11.430384393973332,14.23801687231979
0.1,72,0.1,0.5,True,0.6406847674079569,11.428344418821023,14.233599975908861
0.1,72,0.1,0.75,True,0.6409292646298174,11.427042021152001,14.239598149000413
0.1,72,0.1,1.0,True,0.641154373521356,11.430819790784822,14.244622985434056
1.0,24,0.0001,0.5,True,0.9753806845825674,3.0880932344130034,20.321043195568617
1.0,24,0.0001,0.75,True,0.9753806887369803,3.0880916283136006,20.321044901373924
1.0,24,0.0001,1.0,True,0.9753806860966109,3.0880934365219996,20.321043029796655
1.0,24,0.001,0.5,True,0.9753806530497919,3.0880945501539787,20.321041123041027
1.0,24,0.001,0.75,True,0.975380660821543,3.0880943803580516,20.321041479358982
1.0,24,0.001,1.0,True,0.9753806598087875,3.0880961637415645,20.321039671669332
1.0,24,0.01,0.5,True,0.9684441407855885,3.0305802380095126,20.212079140844605
1.0,24,0.01,0.75,True,0.9626842355787739,2.9817594489404886,20.122662204950085
1.0,24,0.01,1.0,True,0.9618798438719289,2.983026706216764,20.102089546709532
1.0,24,0.1,0.5,True,0.9665154618572181,3.046939165888325,20.14943191868491
1.0,24,0.1,0.75,True,0.9671921385164209,3.0179607684085648,20.19465055598554
1.0,24,0.1,1.0,True,0.9681027996660481,3.1535794020395507,20.080887789945603
1.0,48,0.0001,0.5,True,0.9635873939786973,3.274072397050641,19.852025058438098
1.0,48,0.0001,0.75,True,0.9635873955435414,3.2740723311559785,19.852025161889017
1.0,48,0.0001,1.0,True,0.9635873949744519,3.2740702829286934,19.85202719645815
1.0,48,0.001,0.5,True,0.963587375611459,3.274070477222962,19.852026537452055
1.0,48,0.001,0.75,True,0.9635873796493136,3.2740726790638304,19.85202443251969
1.0,48,0.001,1.0,True,0.9635873867121449,3.274073044535388,19.852024236556087
1.0,48,0.01,0.5,True,0.9603308127835406,3.3096289545824,19.738310552222575
1.0,48,0.01,0.75,True,0.960951229864449,3.296879203153305,19.76595031359347
1.0,48,0.01,1.0,True,0.9622640690464016,3.3077076166663675,19.78663004044727
1.0,48,0.1,0.5,True,0.9621750981137582,3.351868585032639,19.74033376969756
1.0,48,0.1,0.75,True,0.963232116819792,3.322729593430143,19.79484121024487
1.0,48,0.1,1.0,True,0.9643641355429572,3.385302312348433,19.759436940682537
1.0,72,0.0001,0.5,True,0.9607329621482539,3.3842357873733286,19.673355304184767
1.0,72,0.0001,0.75,True,0.9607329610257586,3.384236592885612,19.673354471732594
1.0,72,0.0001,1.0,True,0.9607329595587798,3.3842376329300605,19.673353396480653
1.0,72,0.001,0.5,True,0.9607329675087622,3.3842397041108856,19.673351516099405
1.0,72,0.001,0.75,True,0.9606984816135561,3.389484743049973,19.667278815675374
1.0,72,0.001,1.0,True,0.9595765833216132,3.4138162818451523,19.61602171787356
1.0,72,0.01,0.5,True,0.9595166885783468,3.4162475632969524,19.612152962583373
1.0,72,0.01,0.75,True,0.960285555936415,3.421986507874956,19.624866834599004
1.0,72,0.01,1.0,True,0.9615490666296016,3.456608590292817,19.620569008817622
1.0,72,0.1,0.5,True,0.9604875481086854,3.443330809804141,19.608370344804307
1.0,72,0.1,0.75,True,0.9614336887961501,3.439587939334352,19.63482059177325
1.0,72,0.1,1.0,True,0.9624924985322134,3.483547429287429,19.61627253548569
