fips,county,latitude,longitude,state
30073,Pondera,48.211424,-112.157767,MT
30075,Powder River,45.438494,-105.544609,MT
30077,Powell,46.450646,-112.757979,MT
30079,Prairie,46.809714,-105.276222,MT
30081,Ravalli,46.358548,-114.111357,MT
30087,Rosebud,45.902894,-106.612238,MT
30089,Sanders,47.635009,-115.175789,MT
30093,Silver Bow,45.98746,-112.525517,MT
30095,Stillwater,45.615383,-109.238178,MT
30097,Sweet Grass,45.829391,-109.91651,MT
30099,Teton,47.762524,-112.039341,MT
30101,Toole,48.578065,-111.850473,MT
30103,Treasure,46.247085,-107.247111,MT
30105,Valley,48.236249,-106.541586,MT
30107,Wheatland,46.454552,-109.845461,MT
30111,Yellowstone,45.789945,-108.546051,MT
56001,Albany,41.313442,-105.596073,WY
56003,Big Horn,44.635296,-108.250971,WY
56005,Campbell,44.257046,-105.495519,WY
56007,Carbon,41.659869,-107.078124,WY
56009,Converse,42.788528,-105.520738,WY
56011,Crook,44.434922,-104.619744,WY
56013,Fremont,43.010698,-108.609469,WY
56015,Goshen,42.050142,-104.220172,WY
56017,Hot Springs,43.661523,-108.232641,WY
56019,Johnson,44.288278,-106.695709,WY
56021,Laramie,41.153937,-104.771336,WY
56023,Lincoln,42.648291,-110.872872,WY
56025,Natrona,42.842184,-106.335315,WY
56027,Niobrara,42.810897,-104.450987,WY
56029,Park,44.614008,-108.97254,WY
56031,Platte,42.106509,-104.929825,WY
56033,Sheridan,44.780986,-106.977846,WY
56035,Sublette,42.807278,-109.943507,WY
56037,Sweetwater,41.580564,-109.302521,WY
56039,Teton,43.491744,-110.785815,WY
56041,Uinta,41.271502,-110.760395,WY
56043,Washakie,44.012223,-107.905059,WY
56045,Weston,43.908449,-104.304384,WY
32001,Churchill,39.474469,-118.796052,NV
32003,Clark,36.141141,-115.152976,NV
32005,Douglas,38.957468,-119.756218,NV
32007,Elko,40.856303,-115.534273,NV
32009,Esmeralda,37.704407,-117.670635,NV
32011,Eureka,39.946993,-116.209128,NV
32013,Humboldt,41.017558,-117.744296,NV
32015,Lander,40.49846,-116.949528,NV
32017,Lincoln,37.710093,-114.626444,NV
32019,Lyon,39.355756,-119.327152,NV
32021,Mineral,38.601613,-118.643399,NV
32023,Nye,36.414296,-116.125667,NV
32027,Pershing,40.334654,-118.294224,NV
32029,Storey,39.389828,-119.622432,NV
32031,Washoe,39.534488,-119.793527,NV
32033,White Pine,39.278317,-114.875458,NV
32510,Carson City,39.166096,-119.75408,NV
49001,Beaver,38.29808,-112.762542,UT
49003,Box Elder,41.592632,-112.09841,UT
49005,Cache,41.745425,-111.839724,UT
49007,Carbon,39.602446,-110.777569,UT
49009,Daggett,40.967095,-109.647096,UT
49011,Davis,41.019939,-111.960883,UT
49013,Duchesne,40.289458,-110.162356,UT
49015,Emery,39.217578,-110.929942,UT
49017,Garfield,37.765439,-112.100464,UT
49019,Grand,38.569056,-109.528693,UT
49021,Iron,37.708874,-113.076161,UT
49023,Juab,39.748396,-111.878638,UT
49025,Kane,37.112169,-112.452998,UT
49027,Millard,39.209257,-112.485634,UT
49029,Morgan,41.083677,-111.724978,UT
49031,Piute,38.277169,-112.21441,UT
49033,Rich,41.776494,-111.285765,UT
49035,Salt Lake,40.638514,-111.927686,UT
49037,San Juan,37.52052,-109.545503,UT
49039,Sanpete,39.384535,-111.605199,UT
49041,Sevier,38.771786,-112.044688,UT
49043,Summit,40.726848,-111.470958,UT
49045,Tooele,40.568237,-112.363002,UT
49047,Uintah,40.426449,-109.59027,UT
49049,Utah,40.278299,-111.74994,UT
49051,Wasatch,40.511436,-111.412185,UT
49053,Washington,37.13018,-113.524041,UT
49055,Wayne,38.361712,-111.473883,UT
49057,Weber,41.227609,-111.992699,UT
04001,Apache,35.543654,-109.419015,AZ
04003,Cochise,31.603486,-110.072835,AZ
04005,Coconino,35.476113,-111.601825,AZ
04007,Gila,33.844439,-111.015003,AZ
04009,Graham,32.867145,-109.808107,AZ
04011,Greenlee,32.985155,-109.259546,AZ
04012,La Paz,33.954185,-114.183775,AZ
04013,Maricopa,33.490147,-112.044016,AZ
04015,Mohave,35.034511,-114.262415,AZ
04017,Navajo,34.862151,-110.205157,AZ
04019,Pima,32.216427,-110.95803,AZ
04021,Pinal,33.069323,-111.602135,AZ
04023,Santa Cruz,31.439234,-110.945948,AZ
04025,Yavapai,34.628734,-112.273841,AZ
04027,Yuma,32.641391,-114.605444,AZ
35001,Bernalillo,35.109462,-106.617779,NM
35003,Catron,33.958709,-108.531494,NM
35005,Chaves,33.365668,-104.514733,NM
35006,Cibola,35.107009,-107.818849,NM
35007,Colfax,36.698075,-104.656615,NM
35011,De Baca,34.460693,-104.247994,NM
35013,Dona Ana,32.24837,-106.728836,NM
35015,Eddy,32.538156,-104.288595,NM
35017,Grant,32.781053,-108.24321,NM
35019,Guadalupe,34.932588,-104.764455,NM
35021,Harding,35.853043,-103.978557,NM
35023,Hidalgo,32.286524,-108.771223,NM
35027,Lincoln,33.419573,-105.631108,NM
35028,Los Alamos,35.869176,-106.272314,NM
35029,Luna,32.223031,-107.741875,NM
35031,McKinley,35.513228,-108.634281,NM
35033,Mora,36.00418,-105.23707,NM
35035,Otero,32.778517,-106.000317,NM
35039,Rio Arriba,36.203984,-106.205155,NM
35043,Sandoval,35.319674,-106.649224,NM
35045,San Juan,36.723982,-108.220154,NM
35047,San Miguel,35.576344,-105.307874,NM
35049,Santa Fe,35.632632,-106.004765,NM
35051,Sierra,33.106952,-107.281723,NM
35053,Socorro,34.154884,-106.960356,NM
35055,Taos,36.435099,-105.60791,NM
35057,Torrance,34.870562,-106.1027,NM
