name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Gila River power station,PB2,619,CC,2003,,32.975,-112.6944,Maricopa,Arizona
Gilroy power plant,CC1,130,CC,1987,,37.0001,-121.5367,Santa Clara,California
Glenarm power station,1,87,CC,2016,,34.126,-118.1494,Los Angeles,California
Glenarm power station,GT3,61,GT,2004,,34.126,-118.1494,Los Angeles,California
Glenarm power station,GT4,61,GT,2004,,34.126,-118.1494,Los Angeles,California
Goal Line power station,CC1,51,CC,1994,,33.1185,-117.0995,San Diego,California
Goldendale generating station,CC1,303,CC,2004,,45.8114,-120.833,Klickitat,Washington
Grapeland Hybrid power station,1,50,GT,2007,,34.0903,-117.5343,San Bernardino,California
Grays Harbor energy facility,CC01,715,CC,2008,,46.9692,-123.48,Grays Harbor,Washington
Grayson power station,4,50,ST,1959,,34.1556,-118.2782,Los Angeles,California
Grayson power station,5,50,ST,1964,,34.1556,-118.2782,Los Angeles,California
Grayson power station,9,57,GT,2004,,34.1556,-118.2782,Los Angeles,California
Grayson power station,CC1,121,CC,1977,,34.1556,-118.2782,Los Angeles,California
Greenleaf 2 power plant,GEN1,50,GT,1989,,39.1365,-121.6397,Sutter,California
Griffith Energy power station,1111,655,CC,2002,,35.054029,-114.1333,Mohave,Arizona
H. Wilson Sundt Generating Station,4,173,ST,1967,,32.16,-110.9047,Pima,Arizona
H. Wilson Sundt Generating Station,IC,188,IC,2020,,32.16,-110.905,Pima,Arizona
H. Wilson Sundt Generating Station,ST3,114,ST,1962,,32.16,-110.9047,Pima,Arizona
Hanford Energy Park Emergency Peaker Project,1,95,GT,2001,,36.3315688718025,-119.646187814904,Kings,California
Harbor cogeneration power station,HCCC,107,CC,2001,,33.7771,-118.2303,Los Angeles,California
Harbor power station,CC1,246,CC,1995,,33.7706,-118.2656,Los Angeles,California
Harbor power station,GT10,61,GT,2002,,33.7706,-118.2656,Los Angeles,California
Harbor power station,GT11,61,GT,2002,,33.7706,-118.2656,Los Angeles,California
Harbor power station,GT12,61,GT,2002,,33.7706,-118.2656,Los Angeles,California
Harbor power station,GT13,61,GT,2002,,33.7706,-118.2656,Los Angeles,California
Harbor power station,GT14,61,GT,2002,,33.7706,-118.2656,Los Angeles,California
Harquahala generating project,BLK1,426,CC,2004,,33.47596,-113.1134,Maricopa,Arizona
Harquahala generating project,BLK2,426,CC,2004,,33.47596,-113.1134,Maricopa,Arizona
Harquahala generating project,BLK3,426,CC,2004,,33.47596,-113.1134,Maricopa,Arizona
Harry Allen power station,GT1,102,GT,1995,,36.430554,-114.9024,Clark,Nevada
Harry Allen power station,GT4,85,GT,2006,,36.430554,-114.9024,Clark,Nevada
Harry Allen power station,PB1,559,CC,2011,,36.430554,-114.9024,Clark,Nevada
Haynes power station,1,230,ST,1962,,33.764741,-118.0991,Los Angeles,California
Haynes power station,2,230,ST,1963,,33.764741,-118.0991,Los Angeles,California
Haynes power station,11,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
Haynes power station,12,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
Haynes power station,13,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
Haynes power station,14,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
Haynes power station,15,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
