Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Operating Month,Operating Year,Nameplate Capacity (MW),Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Nameplate Reactive Power Rating,Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,Year,geohash,match_dist_km
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility,NM,Bernalillo,GEN-2,OP,Batteries,BA,9,2011,0.8,1.3,0.5,0.5,0.8,PBB,,,,CS,Y,,,,,,Y,Y,,,Y,2018,9wdb95,255.53
14328,Pacific Gas & Electric Co.,59256,Vaca Dixon Battery Storage System,CA,Solano,BAT1,OP,Batteries,BA,1,2013,2.0,14.0,2.0,2.0,2.5,NAB,,,,CS,Y,Y,,Y,,,,,,,,2018,9qc63x,1.49
14328,Pacific Gas & Electric Co.,59257,Yerba Buena,CA,Santa Clara,YB1,OP,Batteries,BA,11,2013,4.0,28.0,4.0,4.0,5.0,NAB,,,,CS,Y,Y,,Y,,,,,,Y,,2018,9q97v8,9.32
17609,Southern California Edison Co,59661,Tehachapi Energy Storage Project,CA,Kern,TSP1,OP,Batteries,BA,4,2016,8.0,32.0,8.0,8.0,4.0,LIB,,,,BL,N,N,N,Y,N,,N,,N,,N,2018,9q5zqv,20.36
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OP,Batteries,BA,7,2015,1.0,0.5,1.0,1.0,0.9,LIB,,,,CS,Y,,,,,,Y,Y,,,,2018,c2967d,44.1
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OP,Batteries,BA,2,2016,1.0,0.5,1.0,1.0,0.9,LIB,,,,CS,Y,,,,,,Y,Y,,,,2018,c2967d,44.1
60947,Tesla Inc.,60231,Genentech-Oceanside,CA,San Diego,BA1,OP,Batteries,BA,4,2016,2.0,2.0,1.0,1.0,1.0,LIB,,,,CS,,,,,,,,Y,,Y,Y,2018,9mumuf,29.84
15248,Portland General Electric Co,60441,Salem Smart Power Center,OR,Marion,SSPC,SB,Batteries,BA,8,2013,5.0,1.3,5.0,5.0,5.0,LIB,,,,BL,,Y,,,Y,,Y,Y,,,,2018,9rb6wg,97.06
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,9,2016,2.0,4.4,2.0,2.0,2.0,LIB,,,,CT,Y,Y,Y,Y,,,Y,,,Y,,2018,c2c10y,65.7
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,12,2012,0.5,1.5,0.5,0.5,1.5,LIB,,,,CS,N,,,,,,Y,,,N,,2018,9qj152,76.1
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,2,2014,1.0,3.0,1.0,1.0,1.5,LIB,,,,CS,,,,,,,Y,,,Y,,2018,9qj152,76.1
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES1,OP,Batteries,BA,12,2012,0.5,1.5,0.5,0.5,1.5,LIB,,,,CS,,,,,,,Y,,,N,N,2018,9mumuf,41.31
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OP,Batteries,BA,8,2015,1.0,2.0,1.0,1.0,1.5,LIB,,,,CS,,,,,,,Y,,,N,N,2018,9mumuf,41.31
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,5,2015,1.0,3.0,1.0,1.0,2.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2018,9mumuf,21.4
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OP,Batteries,BA,10,2015,1.0,3.0,1.0,1.0,2.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2018,9mumuf,21.4
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,10,2014,1.0,3.0,1.0,1.0,1.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2018,9mudw2,20.11
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,2,2017,7.5,30.0,7.5,7.5,7.5,LIB,,,,CS,Y,,,,,,,,,Y,,2018,9mudw2,8.72
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,3,2017,30.0,120.0,30.0,30.0,30.0,LIB,,,,CS,Y,,,,,,,,,,,2018,9mudw2,37.94
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,12,2016,10.0,40.0,10.0,10.0,3.3,LIB,,,,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,,2018,9qh3ky,0.4
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,12,2016,10.0,40.0,10.0,10.0,3.3,LIB,,,,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,,2018,9qh3ky,0.4
61198,esVolta LP,60760,Millikan BESS,CA,Orange,PE101,OP,Batteries,BA,12,2016,2.0,8.0,2.0,2.0,2.0,LIB,,,,BL,Y,Y,,,,,N,,,,,2018,9mupsy,7.29
7294,City of Glendale - (CA),60974,Glendale Battery Energy Storage System,CA,Los Angeles,2BESS,OP,Batteries,BA,10,2017,2.0,1.0,1.0,2.0,2.0,LIB,,,,CS,,,,,,Y,,,,,,2018,9q5fm0,3.2
60633,"Iron Horse Battery Storage, LLC",60996,Iron Horse Battery Storage,AZ,Pima,BA1,OP,Batteries,BA,4,2017,10.0,2.5,10.0,10.0,10.0,LIB,,,,CS,,Y,,,,,,,,,Y,2018,9w01f3,263.94
60723,VRF Battery Plant,61107,Vanadium Redox Flow Battery Plant,CA,San Diego,VRF,OP,Batteries,BA,6,2017,2.0,8.0,2.0,2.0,2.3,FLB,,,,CS,,Y,Y,,Y,,Y,Y,Y,,N,2018,9muccv,0.61
60834,Pima Energy Storage System,61197,Pima Energy Storage System,AZ,Pima,PIMA,OP,Batteries,BA,1,2017,10.0,2.5,8.0,10.0,2.9,LIB,,,,CS,,Y,,,,,,,,,,2018,9w01f3,240.81
11208,Los Angeles Department of Water & Power,61431,Beacon BESS 1,CA,Kern,BCNB1,OP,Batteries,BA,10,2018,20.0,10.0,20.0,20.0,15.0,LIB,,,,CS,,Y,,,Y,,,,Y,,Y,2018,9q5zqv,26.33
15466,Public Service Co of Colorado,61439,Panasonic Carport Solar,CO,Adams,PANBS,OP,Batteries,BA,8,2017,1.0,2.2,1.0,1.0,1.0,LIB,,,,CS,Y,Y,,Y,,,,,,Y,Y,2018,9wve62,141.33
61277,"Vista Energy Storage, LLC",61661,Vista Energy Storage System ,CA,San Diego,VISTA,OP,Batteries,BA,6,2018,40.0,40.0,40.0,40.0,40.0,LIB,,,,BL,Y,Y,,Y,,,,,,,,2018,9mumuf,33.79
61295,"Pinal Central Energy Center, LLC",61678,Pinal Central Energy Center,AZ,Pinal,BA1,OP,Batteries,BA,4,2018,10.0,40.0,10.0,10.0,10.0,LIB,,,,CS,,,,,,,Y,,,,,2018,9w01f3,154.12
61344,Advanced Microgrid Solutions,61722,HEBT Irvine 1,CA,Orange,IRV01,OP,Batteries,BA,5,2018,1.0,6.5,1.0,1.0,0.0,LIB,,,,OT,,,,,,,Y,Y,,,,2018,9mupsy,5.77
61344,Advanced Microgrid Solutions,61722,HEBT Irvine 1,CA,Orange,IRV1W,OP,Batteries,BA,5,2018,4.5,27.0,4.5,4.5,0.0,LIB,,,,OT,,,,,,,Y,Y,,,,2018,9mupsy,5.77
61344,Advanced Microgrid Solutions,61723,HEBT Irvine 2,CA,Orange,IRV06,OP,Batteries,BA,8,2018,2.5,15.0,2.5,2.5,0.0,LIB,,,,OT,,,,,,,Y,Y,,,,2018,9mupsy,13.74
61344,Advanced Microgrid Solutions,61723,HEBT Irvine 2,CA,Orange,IRV2W,OP,Batteries,BA,2,2018,3.3,19.8,3.3,3.3,0.0,LIB,,,,OT,,,,,,,Y,Y,,,,2018,9mupsy,13.74
803,Arizona Public Service Co,61913,Punkin Center Battery Storage,AZ,Gila,B1,OP,Batteries,BA,6,2018,2.0,8.0,2.0,2.0,2.2,LIB,,,,CS,,Y,,,,,,,,Y,,2018,9w01f3,102.24
61531,"Casa Mesa Wind, LLC",61925,Casa Mesa Wind Energy Center,NM,Quay,CMNMB,OP,Batteries,BA,11,2018,1.0,12.6,1.0,1.0,12.5,LIB,,,,CS,,Y,,,,,,,,,,2018,9wve62,442.7
61591,"Solar University, LLC",61995,UC Merced Solar,CA,Merced,UCMBA,OP,Batteries,BA,12,2018,0.5,0.9,0.5,0.5,0.5,LIB,,,,CS,N,,,,,,Y,,,,Y,2018,9q9fy1,62.8
19499,"United Power, Inc",62373,I25 Battery Storage,CO,Weld,I25BA,OP,Batteries,BA,12,2018,4.0,4.0,4.0,4.0,0.4,LIB,,,,CS,,,,,,,Y,,,,,2018,9xkgmv,147.03
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,BESS,OP,Batteries,BA,10,2016,30.0,20.0,30.0,30.0,14.4,LIB,,,,BL,N,Y,Y,Y,N,,,,Y,,N,2019,9mvffm,6.46
17609,Southern California Edison Co,6704,Pebbly Beach Generating Station Hybrid,CA,Los Angeles,NASB1,OP,Batteries,BA,8,2012,1.0,6.8,1.0,1.0,0.8,NAB,,,,CS,,,,Y,,,Y,Y,Y,,,2019,9mupsy,54.93
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,Los Angeles,BESS1,OP,Batteries,BA,12,2016,20.0,20.0,20.0,20.0,20.0,LIB,,,,BL,,Y,Y,,,,N,N,N,N,,2019,9qh3ky,20.16
1752,Biola University,54296,Biola University Hybrid,CA,Los Angeles,BATT,OP,Batteries,BA,2,2018,0.3,0.5,0.3,0.3,0.3,LIB,,,,CS,,,,,,,Y,N,,,,2019,9q5bwz,15.28
17609,Southern California Edison Co,56472,Grapeland Hybrid,CA,San Bernardino,BA1,OP,Batteries,BA,12,2016,10.0,10.0,10.0,10.0,6.0,LIB,,,,BL,N,Y,N,Y,N,N,N,N,N,N,N,2019,9qh3ky,9.56
17609,Southern California Edison Co,56475,Center Hybrid,CA,LOS ANGELES,BA1,OP,Batteries,BA,12,2016,10.0,10.0,10.0,10.0,6.0,LIB,,,,BL,N,Y,N,Y,N,N,N,N,N,N,N,2019,9q5bwz,8.56
56918,University of California San Diego,57584,University of California San Diego Hybrid,CA,San Diego,BS1,OP,Batteries,BA,12,2015,2.5,2.5,2.5,2.5,2.5,LIB,,,,CS,,,Y,,,,Y,Y,,,,2019,9mudw2,13.84
57017,DOE National Renewable Energy Laboratory,57693,DOE Golden NWTC Research Side Hybrid,CO,Jefferson,AESBT,OP,Batteries,BA,1,2019,0.3,0.3,0.3,0.3,0.3,LIB,,,,CS,,,,,,,,,,,Y,2019,9wve62,159.97
57017,DOE National Renewable Energy Laboratory,57693,DOE Golden NWTC Research Side Hybrid,CO,Jefferson,NRELB,OP,Batteries,BA,1,2019,1.0,1.0,1.0,1.0,1.0,LIB,,,,CS,,,,,,,,,,,Y,2019,9wve62,159.97
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co Hybrid,CA,Butte,BESS,OP,Batteries,BA,2,2017,0.5,1.0,0.5,0.5,0.5,LIB,,,,OT,,,,,,,Y,N,,,Y,2019,9r13pb,23.76
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility Hybrid,NM,Bernalillo,GEN-2,OP,Batteries,BA,9,2011,0.8,1.3,0.5,0.5,0.8,PBB,,,,CS,Y,,,,,,Y,Y,,,Y,2019,9wdb95,255.53
14328,Pacific Gas & Electric Co.,59256,Vaca Dixon Battery Storage System,CA,Solano,BAT1,OP,Batteries,BA,1,2013,2.0,14.0,2.0,2.0,2.5,NAB,,,,CS,Y,Y,,Y,,,,,,,,2019,9qc63x,1.49
14328,Pacific Gas & Electric Co.,59257,Yerba Buena,CA,Santa Clara,YB1,OP,Batteries,BA,11,2013,4.0,28.0,4.0,4.0,5.0,NAB,,,,CS,Y,Y,,Y,,,,,,Y,,2019,9q97v8,9.32
17609,Southern California Edison Co,59661,Tehachapi Energy Storage Project,CA,Kern,TSP1,OP,Batteries,BA,4,2016,8.0,32.0,8.0,8.0,4.0,LIB,,,,BL,N,N,N,Y,N,,N,,N,,N,2019,9q5zqv,20.36
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OP,Batteries,BA,7,2015,1.0,0.5,1.0,1.0,0.9,LIB,,,,CS,Y,,,,,,Y,Y,,,,2019,c2967d,44.1
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OP,Batteries,BA,2,2016,1.0,0.5,1.0,1.0,0.9,LIB,,,,CS,Y,,,,,,Y,Y,,,,2019,c2967d,44.1
60947,Tesla Inc.,60231,Genentech-Oceanside Hybrid,CA,San Diego,BA1,OP,Batteries,BA,4,2016,2.0,2.0,1.0,1.0,1.0,LIB,,,,CS,,,,,,,,Y,,Y,Y,2019,9mumuf,29.84
15248,Portland General Electric Co,60441,Salem Smart Power Center,OR,Marion,SSPC,SB,Batteries,BA,8,2013,5.0,1.3,5.0,5.0,5.0,LIB,,,,BL,,Y,,,Y,,Y,Y,,,,2019,9rb6wg,97.06
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,9,2016,2.0,4.4,2.0,2.0,2.0,LIB,,,,CT,Y,Y,Y,Y,,,Y,,,Y,,2019,c2c10y,65.7
60278,64KT 8me LLC,60491,Springbok 3 Solar Farm Hybrid,CA,Kern,SB3BS,OP,Batteries,BA,7,2019,1.5,1.5,1.5,1.5,1.5,LIB,,,,CT,,Y,,,,,,,Y,,Y,2019,9q5zqv,20.51
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,12,2012,0.5,1.5,0.5,0.5,1.5,LIB,,,,CS,N,,,,,,Y,,,N,,2019,9qj152,76.1
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,2,2014,1.0,3.0,1.0,1.0,1.5,LIB,,,,CS,,,,,,,Y,,,Y,,2019,9qj152,76.1
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES1,OP,Batteries,BA,12,2012,0.5,1.5,0.5,0.5,1.5,LIB,,,,CS,,,,,,,Y,,,N,N,2019,9mumuf,41.31
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OP,Batteries,BA,8,2015,1.0,2.0,1.0,1.0,1.5,LIB,,,,CS,,,,,,,Y,,,N,N,2019,9mumuf,41.31
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,5,2015,1.0,3.0,1.0,1.0,2.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2019,9mumuf,21.4
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OP,Batteries,BA,10,2015,1.0,3.0,1.0,1.0,2.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2019,9mumuf,21.4
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,10,2014,1.0,3.0,1.0,1.0,1.0,LIB,,,,CS,,,,,,,Y,Y,,Y,,2019,9mudw2,20.11
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,2,2017,7.5,30.0,7.5,7.5,7.5,LIB,,,,CS,Y,,,,,,,,,Y,,2019,9mudw2,8.72
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,3,2017,30.0,120.0,30.0,30.0,30.0,LIB,,,,CS,Y,,,,,,,,,,,2019,9mudw2,37.94
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,12,2016,10.0,40.0,10.0,10.0,3.3,LIB,,,,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,,2019,9qh3ky,0.4
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,12,2016,10.0,40.0,10.0,10.0,3.3,LIB,,,,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,,2019,9qh3ky,0.4
61198,esVolta LP,60760,Millikan BESS,CA,Orange,PE101,OP,Batteries,BA,12,2016,2.0,8.0,2.0,2.0,2.0,LIB,,,,BL,Y,Y,,,,,N,,,,,2019,9mupsy,7.29
7294,City of Glendale - (CA),60974,Glendale Battery Energy Storage System,CA,Los Angeles,2BESS,OP,Batteries,BA,10,2017,2.0,1.0,1.0,2.0,2.0,LIB,,,,CS,,,,,,Y,,,,,,2019,9q5fm0,3.2
60633,"Iron Horse Battery Storage, LLC",60996,Iron Horse Battery Storage Hybrid,AZ,Pima,BA1,OP,Batteries,BA,4,2017,10.0,2.5,10.0,10.0,10.0,LIB,,,,CS,,Y,,,,,,,,,Y,2019,9w01f3,263.94
60723,VRF Battery Plant,61107,Vanadium Redox Flow Battery Plant,CA,San Diego,VRF,OP,Batteries,BA,6,2017,2.0,8.0,2.0,2.0,2.3,FLB,,,,CS,,Y,Y,,Y,,Y,Y,Y,,N,2019,9muccv,0.61
60834,Pima Energy Storage System,61197,Pima Energy Storage System,AZ,Pima,PIMA,OP,Batteries,BA,1,2017,10.0,2.5,8.0,10.0,2.9,LIB,,,,CS,,Y,,,,,,,,,,2019,9w01f3,240.81
15466,Public Service Co of Colorado,61439,Panasonic Carport Solar Hybrid,CO,Adams,PANBS,OP,Batteries,BA,8,2017,1.0,2.2,1.0,1.0,1.0,LIB,,,,CS,Y,Y,,Y,,,,,,Y,Y,2019,9wve62,141.33
61277,"Vista Energy Storage, LLC",61661,Vista Energy Storage System ,CA,San Diego,VISTA,OP,Batteries,BA,6,2018,40.0,40.0,40.0,40.0,40.0,LIB,,,,BL,Y,Y,,Y,,,,,,,,2019,9mumuf,33.79
61295,"Pinal Central Energy Center, LLC",61678,Pinal Central Energy Center Hybrid,AZ,Pinal,BA1,OP,Batteries,BA,4,2018,10.0,40.0,10.0,10.0,10.0,LIB,,,,CS,,,,,,,Y,,,,Y,2019,9w01f3,154.12
61344,Advanced Microgrid Solutions,61721,HEBT WLA 1,CA,Orange,WLA01,OP,Batteries,BA,8,2019,1.0,6.9,1.0,1.0,1.0,LIB,,,,OT,Y,,,,,,Y,Y,,,,2019,9qh0rw,22.13
61344,Advanced Microgrid Solutions,61722,HEBT Irvine 1,CA,Orange,IRV01,OP,Batteries,BA,5,2018,1.0,6.5,1.0,1.0,1.0,LIB,,,,OT,,,,,,,Y,Y,,,,2019,9mupsy,5.77
61344,Advanced Microgrid Solutions,61722,HEBT Irvine 1,CA,Orange,IRV1W,OP,Batteries,BA,5,2018,4.5,27.0,4.5,4.5,4.5,LIB,,,,OT,,,,,,,Y,Y,,,,2019,9mupsy,5.77
61344,Advanced Microgrid Solutions,61723,HEBT Irvine 2,CA,Orange,IRV06,OP,Batteries,BA,8,2018,2.5,15.0,2.5,2.5,2.5,LIB,,,,OT,,,,,,,Y,Y,,,,2019,9mupsy,13.74
61344,Advanced Microgrid Solutions,61723,HEBT Irvine 2,CA,Orange,IRV2W,OP,Batteries,BA,2,2018,3.3,19.8,3.3,3.3,3.3,LIB,,,,OT,,,,,,,Y,Y,,,,2019,9mupsy,13.74
61482,"AES ES GILBERT, LLC",61861,AES ES GILBERT,AZ,Maricopa,SRP,OP,Batteries,BA,1,2019,10.0,40.0,10.0,10.0,10.0,LIB,,,,BL,Y,,,,,,,,,,,2019,9w01f3,80.18
803,Arizona Public Service Co,61913,Punkin Center Battery Storage,AZ,Gila,B1,OP,Batteries,BA,6,2018,2.0,8.0,2.0,2.0,2.2,LIB,,,,CS,,Y,,,,,,,,Y,,2019,9w01f3,102.24
61531,"Casa Mesa Wind, LLC",61925,Casa Mesa Wind Energy Center Hybrid,NM,Quay,CMNMB,OP,Batteries,BA,11,2018,1.0,1.0,1.0,1.0,12.5,LIB,,,,CS,,Y,,,,,,,,,Y,2019,9wve62,442.7
61872,Gavilan District College Solar Project,61993,Gavilan District College Solar Project,CA,Santa Clara,GDCBA,OP,Batteries,BA,6,2019,0.5,0.5,0.2,0.3,0.3,LIB,,,,CS,,,,,,,,,,N,Y,2019,9q97v8,27.86
61591,"Solar University, LLC",61995,UC Merced Solar Hybrid,CA,Merced,UCMBA,OP,Batteries,BA,12,2018,0.5,0.9,0.5,0.5,0.5,LIB,,,,CS,N,,,,,,Y,,,,Y,2019,9q9fy1,62.8
19499,"United Power, Inc",62373,I25 Battery Storage,CO,Weld,I25BA,OP,Batteries,BA,12,2018,4.0,16.0,4.0,4.0,0.4,LIB,,,,CS,,,,,,,Y,,,,,2019,9xkgmv,147.03
62876,"Department of the Army, Fort Carson",63022,Fort Carson Battery Energy Storage System,CO,El Paso,1,OP,Batteries,BA,12,2018,4.2,8.5,4.2,4.2,1.4,LIB,,,,CS,,,,,,,,Y,,,,2019,9wve62,24.77
63246,"EDF Renewables Distributed Solutions, Inc",63412,San Diego Zoo,CA,San Diego,SDZOO,OP,Batteries,BA,10,2019,1.0,4.0,1.0,1.0,1.6,LIB,,,,CS,N,,,,,,Y,,,,,2019,9mudw2,5.12
61344,Advanced Microgrid Solutions,63609,Allergan,CA,Orange,ALRGN,OP,Batteries,BA,7,2019,1.5,9.0,1.5,1.5,1.5,LIB,,,,OT,Y,,,,,,,Y,,,,2019,9mupsy,6.02
61344,Advanced Microgrid Solutions,63610,Baker,CA,Orange,BAKER,OP,Batteries,BA,4,2019,1.2,6.3,1.2,1.2,1.2,LIB,,,,OT,Y,,,,,,Y,N,,,,2019,9qh0rw,21.51
61344,Advanced Microgrid Solutions,63611,CSU Long Beach,CA,Los Angeles,CSULB,OP,Batteries,BA,3,2017,2.5,15.0,2.5,2.5,2.5,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9q5bwz,12.37
61344,Advanced Microgrid Solutions,63612,DATS,CA,Orange,DATS0,OP,Batteries,BA,4,2017,1.0,6.0,1.0,1.0,1.0,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9mupsy,2.17
61344,Advanced Microgrid Solutions,63613,Downey,CA,Los Angeles,DOWNY,OP,Batteries,BA,12,2019,2.0,13.0,2.0,2.0,2.0,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9q5bwz,6.14
61344,Advanced Microgrid Solutions,63614,LAWRP,CA,Orange,LAWRP,OP,Batteries,BA,4,2019,1.0,5.0,1.0,1.0,1.0,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9mupsy,19.48
61344,Advanced Microgrid Solutions,63615,Long Beach Convention Center,CA,Los Angeles,LBCON,OP,Batteries,BA,4,2019,1.5,8.6,1.5,1.5,1.5,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9q5bwz,12.83
61344,Advanced Microgrid Solutions,63616,OCSD,CA,Orange,OCSD1,OP,Batteries,BA,8,2019,4.9,32.6,4.9,4.9,4.9,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9mupsy,2.78
61344,Advanced Microgrid Solutions,63617,SOCCD,CA,Orange,SOCCD,OP,Batteries,BA,6,2019,1.3,7.2,1.3,1.3,1.3,LIB,,,,OT,Y,,,,,,Y,,,,,2019,9mupsy,12.64
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,BESS,OP,Batteries,BA,10,2016,30.0,20.0,30.0,30.0,14.4,LIB,,,,BL,N,Y,Y,Y,N,,,,Y,,,2020,9mvffm,6.46
17609,Southern California Edison Co,6704,Pebbly Beach Generating Station Hybrid,CA,Los Angeles,NASB1,OP,Batteries,BA,8,2012,1.0,6.8,1.0,1.0,0.8,NAB,,,,CS,,,,Y,,,Y,Y,Y,,,2020,9mupsy,54.93
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,Los Angeles,BESS1,OP,Batteries,BA,12,2016,20.0,20.0,20.0,20.0,20.0,LIB,,,,BL,,Y,Y,,,,,,,,,2020,9qh3ky,20.16
1752,Biola University,54296,Biola University Hybrid,CA,Los Angeles,BATT,OP,Batteries,BA,2,2018,0.3,0.5,0.3,0.3,0.3,LIB,,,,CS,,,,,,,Y,,,,,2020,9q5bwz,15.28
