geohash,Year,generators,nameplate_MW,energy_MWh,max_charge_MW,max_discharge_MW,reactive_MVAR,max_P_MW,ratio_aggregate,ratio_energy_weighted,screened_out
9xkgmv,2018,1,4.0,4.0,4.0,4.0,0.4,4.0,0.1,0.1,0
9xkgmv,2019,1,4.0,16.0,4.0,4.0,0.4,4.0,0.1,0.1,0
9xkgmv,2020,1,4.0,16.0,4.0,4.0,0.4,4.0,0.1,0.1,0
9xkgmv,2021,2,5.0,18.0,5.0,5.0,1.4,5.0,0.28,0.2,0
9xkgmv,2022,2,5.0,18.0,5.0,5.0,1.4,5.0,0.28,0.2,0
c245ue,2022,1,30.0,120.0,30.0,30.0,30.0,30.0,1.0,1.0,0
c26crp,2020,1,1.0,4.0,1.0,1.0,2.4,1.0,2.4,2.4,0
c26crp,2021,1,1.0,4.0,1.0,1.0,2.4,1.0,2.4,2.4,0
c26crp,2022,1,1.0,4.0,1.0,1.0,2.4,1.0,2.4,2.4,0
c2967d,2018,2,2.0,1.0,2.0,2.0,1.8,2.0,0.9,0.9,0
c2967d,2019,2,2.0,1.0,2.0,2.0,1.8,2.0,0.9,0.9,0
c2967d,2020,2,2.0,1.0,2.0,2.0,1.8,2.0,0.9,0.9,0
c2967d,2021,1,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0
c2967d,2022,1,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0
c2c10y,2018,1,2.0,4.4,2.0,2.0,2.0,2.0,1.0,1.0,0
c2c10y,2019,1,2.0,4.4,2.0,2.0,2.0,2.0,1.0,1.0,0
c2c10y,2020,1,2.0,4.4,2.0,2.0,2.0,2.0,1.0,1.0,0
c2c10y,2021,1,2.0,4.4,2.0,2.0,2.0,2.0,1.0,1.0,0
c2c10y,2022,1,2.0,4.4,2.0,2.0,2.0,2.0,1.0,1.0,0
