Year,geohash,technology,generators,nameplate_MW,energy_MWh,share_MW,share_MWh
2019,c2967d,Lithium-ion battery,2,2.0,1.0,1.0,1.0
2019,c2c10y,Lithium-ion battery,1,2.0,4.4,1.0,1.0
2020,9muccv,Lithium-ion battery,1,250.0,250.0,0.9921,0.969
2020,9muccv,Flow battery,1,2.0,8.0,0.0079,0.031
2020,9mudw2,Lithium-ion battery,7,43.4,161.5,1.0,1.0
2020,9mumuf,Lithium-ion battery,6,45.5,51.5,1.0,1.0
2020,9mupsy,Lithium-ion battery,12,43.0,145.1,0.9773,0.9552
2020,9mupsy,Sodium based battery,1,1.0,6.8,0.0227,0.0448
2020,9mvffm,Lithium-ion battery,1,30.0,20.0,1.0,1.0
2020,9q5bwz,Lithium-ion battery,5,16.3,47.1,1.0,1.0
2020,9q5fm0,Lithium-ion battery,1,2.0,1.0,1.0,1.0
2020,9q5zqv,Lithium-ion battery,3,29.5,43.5,1.0,1.0
2020,9q97v8,Sodium based battery,1,4.0,28.0,0.8889,0.9825
2020,9q97v8,Lithium-ion battery,1,0.5,0.5,0.1111,0.0175
2020,9q9fy1,Lithium-ion battery,1,0.5,0.9,1.0,1.0
2020,9q9jb9,Lithium-ion battery,1,1.0,2.0,1.0,1.0
2020,9qben2,Lithium-ion battery,1,1.0,2.0,1.0,1.0
2020,9qc63x,Sodium based battery,1,2.0,14.0,1.0,1.0
2020,9qd9xh,Lithium-ion battery,2,0.6,0.6,1.0,1.0
2020,9qdbm8,Lithium-ion battery,1,0.3,0.3,1.0,1.0
2020,9qh0rw,Lithium-ion battery,3,2.7,13.7,1.0,1.0
2020,9qh3ky,Lithium-ion battery,4,50.0,110.0,1.0,1.0
2020,9qhh0n,Lithium-ion battery,1,6.0,3.4,1.0,1.0
2020,9qj152,Lithium-ion battery,2,1.5,4.5,1.0,1.0
2020,9r13pb,Lithium-ion battery,1,0.5,1.0,1.0,1.0
2020,9rb6wg,Lithium-ion battery,1,5.0,1.3,1.0,1.0
2020,9w01f3,Lithium-ion battery,5,42.0,100.5,1.0,1.0
2020,9wdb95,Lead-acid battery,1,0.8,1.3,1.0,1.0
2020,9wve62,Lithium-ion battery,3,6.2,11.7,1.0,1.0
2020,9xkgmv,Lithium-ion battery,1,4.0,16.0,1.0,1.0
2020,c26crp,Lithium-ion battery,1,1.0,4.0,1.0,1.0
2020,c2967d,Lithium-ion battery,2,2.0,1.0,1.0,1.0
2020,c2c10y,Lithium-ion battery,1,2.0,4.4,1.0,1.0
2021,9muccv,Lithium-ion battery,1,250.0,250.0,0.9921,0.969
2021,9muccv,Flow battery,1,2.0,8.0,0.0079,0.031
2021,9mudw2,Lithium-ion battery,9,75.4,285.5,1.0,1.0
2021,9mumuf,Lithium-ion battery,5,44.2,49.5,1.0,1.0
2021,9mupsy,Lithium-ion battery,17,98.0,305.1,0.9899,0.9782
2021,9mupsy,Sodium based battery,1,1.0,6.8,0.0101,0.0218
2021,9mvffm,Lithium-ion battery,1,30.0,20.0,1.0,1.0
2021,9mvgw4,Lithium-ion battery,1,35.0,140.0,1.0,1.0
2021,9pr8ne,Lithium-ion battery,1,2.2,8.8,1.0,1.0
2021,9q5bwz,Lithium-ion battery,6,116.3,447.1,1.0,1.0
2021,9q5dy2,Lithium-ion battery,3,113.0,450.0,1.0,1.0
2021,9q5fm0,Lithium-ion battery,1,2.0,1.0,1.0,1.0
2021,9q5sgb,Lithium-ion battery,3,98.0,362.0,1.0,1.0
2021,9q5zqv,Lithium-ion battery,5,235.2,643.0,1.0,1.0
2021,9q6tde,Lithium-ion battery,3,145.0,357.0,1.0,1.0
2021,9q92vz,Lithium-ion battery,2,400.0,400.0,1.0,1.0
2021,9q97v8,Lithium-ion battery,1,0.5,0.5,1.0,1.0
2021,9q9fy1,Lithium-ion battery,1,0.5,0.9,1.0,1.0
2021,9q9hq4,Lithium-ion battery,1,0.6,1.1,1.0,1.0
2021,9q9jb9,Lithium-ion battery,2,1.5,2.9,1.0,1.0
2021,9qben2,Lithium-ion battery,1,1.0,2.0,1.0,1.0
2021,9qd2ds,Lithium-ion battery,1,37.0,128.0,1.0,1.0
2021,9qd9xh,Lithium-ion battery,2,0.6,0.6,1.0,1.0
2021,9qdbm8,Lithium-ion battery,1,0.3,0.3,1.0,1.0
2021,9qh0rw,Lithium-ion battery,3,2.7,13.7,1.0,1.0
2021,9qh3ky,Lithium-ion battery,5,51.1,112.1,1.0,1.0
2021,9qhh0n,Lithium-ion battery,1,6.0,3.4,1.0,1.0
2021,9qhsdk,Lithium-ion battery,1,50.0,50.0,1.0,1.0
2021,9qj152,Lithium-ion battery,2,4.0,15.0,1.0,1.0
2021,9qndpr,Lithium-ion battery,4,523.0,2298.4,1.0,1.0
2021,9qqk6u,Lithium-ion battery,1,90.0,360.0,1.0,1.0
2021,9r13pb,Lithium-ion battery,1,0.5,1.0,1.0,1.0
2021,9r50xy,Lithium-ion battery,1,10.0,40.0,1.0,1.0
2021,9rb6wg,Lithium-ion battery,1,5.0,1.3,1.0,1.0
2021,9rkf69,Lithium-ion battery,1,25.0,25.0,1.0,1.0
2021,9w01f3,Lithium-ion battery,7,97.0,253.0,1.0,1.0
2021,9wdb95,Lead-acid battery,1,0.8,1.3,1.0,1.0
2021,9wve62,Lithium-ion battery,3,6.2,11.7,1.0,1.0
2021,9xkgmv,Lithium-ion battery,2,5.0,18.0,1.0,1.0
2021,c26crp,Lithium-ion battery,1,1.0,4.0,1.0,1.0
2021,c2967d,Lithium-ion battery,1,1.0,1.4,1.0,1.0
2021,c2c10y,Lithium-ion battery,1,2.0,4.4,1.0,1.0
2022,9muccv,Lithium-ion battery,1,250.0,250.0,0.9921,0.969
2022,9muccv,Flow battery,1,2.0,8.0,0.0079,0.031
2022,9mudw2,Lithium-ion battery,12,233.4,792.0,1.0,1.0
2022,9mumuf,Lithium-ion battery,4,43.7,48.0,1.0,1.0
2022,9mupsy,Lithium-ion battery,20,121.5,392.8,0.9918,0.983
2022,9mupsy,Sodium based battery,1,1.0,6.8,0.0082,0.017
2022,9mvffm,Lithium-ion battery,2,155.0,270.0,1.0,1.0
2022,9mvgw4,Lithium-ion battery,3,315.0,1260.0,1.0,1.0
2022,9pr8ne,Lithium-ion battery,1,2.2,8.8,1.0,1.0
2022,9q5bwz,Lithium-ion battery,6,116.3,447.1,1.0,1.0
2022,9q5dy2,Lithium-ion battery,3,113.0,450.0,1.0,1.0
2022,9q5fm0,Lithium-ion battery,1,2.0,1.0,1.0,1.0
2022,9q5sgb,Lithium-ion battery,3,98.0,362.0,1.0,1.0
2022,9q5zqv,Lithium-ion battery,12,689.5,1768.5,1.0,1.0
2022,9q6tde,Lithium-ion battery,7,285.3,918.0,1.0,1.0
2022,9q92vz,Lithium-ion battery,4,583.0,2330.8,1.0,1.0
2022,9q97v8,Lithium-ion battery,1,0.5,0.5,1.0,1.0
2022,9q9fy1,Lithium-ion battery,1,0.5,0.9,1.0,1.0
2022,9q9hq4,Lithium-ion battery,3,2.5,4.2,1.0,1.0
2022,9q9jb9,Lithium-ion battery,2,1.5,2.9,1.0,1.0
2022,9q9pk4,Lithium-ion battery,1,0.7,0.0,1.0,
2022,9qben2,Lithium-ion battery,1,1.0,2.0,1.0,1.0
2022,9qc26h,Lithium-ion battery,1,200.0,800.0,1.0,1.0
2022,9qcbq0,Lithium-ion battery,1,1.0,2.2,1.0,1.0
2022,9qct8r,Lithium-ion battery,2,5.0,5.0,1.0,1.0
2022,9qcts0,Lithium-ion battery,1,1.0,2.0,1.0,1.0
2022,9qd2ds,Lithium-ion battery,2,72.0,288.0,1.0,1.0
2022,9qd9xh,Lithium-ion battery,3,1.4,3.7,1.0,1.0
2022,9qdbm8,Lithium-ion battery,1,0.3,0.3,1.0,1.0
2022,9qh0rw,Lithium-ion battery,4,5.1,17.6,1.0,1.0
2022,9qh3ky,Lithium-ion battery,5,51.1,112.1,1.0,1.0
2022,9qhh0n,Lithium-ion battery,3,235.3,911.4,1.0,1.0
2022,9qhsdk,Lithium-ion battery,1,50.0,50.0,1.0,1.0
2022,9qj152,Lithium-ion battery,3,4.5,16.5,1.0,1.0
2022,9qndpr,Lithium-ion battery,9,1227.0,5114.4,1.0,1.0
2022,9qqk6u,Lithium-ion battery,1,90.0,360.0,1.0,1.0
2022,9r13pb,Lithium-ion battery,1,0.5,1.0,1.0,1.0
2022,9r4bc7,Lithium-ion battery,2,75.0,300.0,1.0,1.0
2022,9r50xy,Lithium-ion battery,1,10.0,40.0,1.0,1.0
2022,9rb6wg,Lithium-ion battery,1,5.0,5.0,1.0,1.0
2022,9rkf69,Lithium-ion battery,1,25.0,25.0,1.0,1.0
2022,9w01f3,Lithium-ion battery,7,97.0,252.5,1.0,1.0
2022,9w1zzg,Lithium-ion battery,1,1.0,4.0,1.0,1.0
2022,9wdb95,Lead-acid battery,1,0.8,1.3,1.0,1.0
2022,9we1bp,Lithium-ion battery,1,12.0,25.0,1.0,1.0
2022,9wve62,Lithium-ion battery,3,6.2,11.7,1.0,1.0
2022,9xkgmv,Lithium-ion battery,2,5.0,18.0,1.0,1.0
2022,c245ue,Lithium-ion battery,1,30.0,120.0,1.0,1.0
2022,c26crp,Lithium-ion battery,1,1.0,4.0,1.0,1.0
2022,c2967d,Lithium-ion battery,1,1.0,1.4,1.0,1.0
2022,c2c10y,Lithium-ion battery,1,2.0,4.4,1.0,1.0
