Plant Code,Plant Name,State,Latitude,Longitude,geohash,match_dist_km
61993,Gavilan District College Solar Project,CA,37.003832,-121.593567,9q97v8,27.86
61995,UC Merced Solar,CA,37.365688,-120.432228,9q9fy1,62.8
62175,Diablo Energy Storage,CA,38.028792,-121.900596,9qc26h,0.98
62373,I25 Battery Storage,CO,40.140285,-104.978012,9xkgmv,147.03
62441,Kearny Mesa Storage LLC,CA,32.815256,-117.126079,9mudw2,3.63
62460,DESI-2 Battery Storage Facility,CA,33.7357,-117.915286,9mupsy,4.26
62497,Orange County Energy Storage 2,CA,33.715536,-117.854314,9mupsy,5.65
62499,Orange County Energy Storage 3,CA,33.714896,-117.85431,9mupsy,5.62
62564,Elkhorn Battery Energy Storage System,CA,36.808039,-121.781788,9q92vz,8.98
62745,Wheatridge Hybrid,OR,45.55975,-119.6338,c245ue,86.63
62754,San Diego International Airport BESS,CA,32.7338,-117.1933,9mudw2,7.64
62801,Vallecito,CA,34.407086,-119.511547,9q5sgb,80.44
62874,Acorn I Energy Storage LLC,CA,34.196505,-118.931898,9q5dy2,35.38
62875,Wildcat I Energy Storage LLC,CA,33.807988,-116.489835,9qj152,15.46
62889,Hecate Energy Johanna Facility,CA,33.714672,-117.853061,9mupsy,5.73
63022,Fort Carson Battery Energy Storage System,CO,38.745474,-104.777675,9wve62,24.77
63091,UC Santa Cruz Solar,CA,36.9911,-122.0532,9q9hq4,36.91
63412,San Diego Zoo,CA,32.739676,-117.151635,9mudw2,5.12
63420,Fresno Bullard High School Hybrid,CA,36.818646,-119.810408,9qd9xh,10.76
63421,Fresno Hoover High School Hybrid,CA,36.817816,-119.770709,9qd9xh,14.17
63422,Fresno Sunnyside High School Hybrid,CA,36.734014,-119.717809,9qdbm8,15.55
63486,D'Arrigo Brothers - Phase 4,CA,36.616,-121.636,9q92vz,16.06
63510,Walnut Unified School District Walnut HS Hybrid,CA,34.02188,-117.85051,9qh0rw,22.24
63609,Allergan,CA,33.67239,-117.85381,9mupsy,6.02
63610,Baker,CA,33.656528,-117.68412,9qh0rw,21.51
63611,CSU Long Beach,CA,33.78383,-118.10796,9q5bwz,12.37
63612,DATS,CA,33.70731,-117.89108,9mupsy,2.17
63613,Downey,CA,33.919368,-118.128919,9q5bwz,6.14
63614,LAWRP,CA,33.63778,-117.71377,9mupsy,19.48
63615,Long Beach Convention Center,CA,33.765236,-118.189377,9q5bwz,12.83
63616,OCSD,CA,33.693129,-117.9409,9mupsy,2.78
63617,SOCCD,CA,33.676445,-117.777312,9mupsy,12.64
63685,Luna Storage,CA,34.68325,-118.3053,9qhh0n,27.46
63722,Rawhide Prairie Solar Hybrid,CO,40.857978,-105.015561,9xkgmv,74.57
63727,Slate Hybrid,CA,36.226955,-119.8948,9q6tde,22.57
63728,Taos Mesa Energy Facility Hybrid,NM,36.44,-105.62,9we1bp,243.05
63735,Silverstrand Grid Energy Storage System,CA,34.20774,-119.079813,9q5dy2,48.83
63834,Gateway Energy Storage System,CA,32.570556,-116.910556,9muccv,14.01
63843,"Johanna Energy Center, LLC",CA,33.715016,-117.853984,9mupsy,5.66
63891,Saticoy,CA,34.256691000000004,-119.15726,9q5dy2,55.91
63913,Dodge Flat,NV,40.713024,-119.467217,9r4bc7,135.41
63930,Cal Flats BESS,CA,35.866665,-120.329439,9q6tde,36.01
63943,Coso Battery Storage,CA,36.006945,-117.810636,9q5zqv,111.23
64103,Desert Harvest II LLC,CA,33.8,-115.38,9mvgw4,92.24
64105,"Maverick Solar 6, LLC",CA,33.7,-115.38,9mvgw4,81.11
64148,Fish Springs,NV,40.074741,-119.974166,9r4bc7,62.32
64198,"Horn Rapids Solar, Storage and Training",WA,46.3529,-119.3222,c26crp,40.14
64426,Wilmot Energy Center LLC,AZ,32.043502,-110.892676,9w01f3,265.38
64446,Arlington Microgrid,WA,48.15614,-122.1502,c2967d,24.37
64481,Arlington Energy Center II,CA,33.69088,-114.774944,9qndpr,67.54
64564,Arlington Energy Center III,CA,33.69088,-114.774944,9qndpr,67.54
64601,County of San Diego COC Hybrid,CA,32.833645,-117.131123,9mudw2,5.55
64611,SEPV Sierra,CA,34.733011,-118.138525,9qhh0n,27.26
64612,Kearny North Energy Storage,CA,32.83347,-117.13443,9mudw2,5.5
64614,Kearny South Energy Storage,CA,32.832886,-117.132292,9mudw2,5.45
64624,Hudson - High Desert Hybrid,CA,34.6365,-117.3724,9qhsdk,9.2
64630,"Rabbitbrush Solar, LLC",CA,34.83,-118.32,9q5zqv,28.13
64701,LeConte Energy Storage,CA,32.677208,-115.670203,9mvffm,22.26
64712,Sanborn BESS 1,CA,35.027264,-118.139236,9q5zqv,4.23
64713,Sanborn BESS 2,CA,35.027264,-118.140078,9q5zqv,4.17
64743,Tierra Buena Energy Storage,CA,39.17133,-121.66209,9qct8r,21.71
64766,Redwood Coast Airport Microgrid,CA,40.967222,-124.104444,9pr8ne,19.06
64877,Edwards Sanborn E3,CA,34.946324,-118.126489,9q5zqv,12.58
64878,Edwards Sanborn E1A,CA,34.961922,-118.124208,9q5zqv,11.05
64879,Edwards Sanborn E2,CA,34.941507,-118.129025,9q5zqv,13.02
64881,NMSU Solar and Storage,NM,32.286048,-106.744529,9w1zzg,417.99
64921,Santa Ana Storage 2,CA,33.715016,-117.853984,9mupsy,5.66
64928,Edwards Sanborn S3,CA,35.01644,-118.1225,9q5zqv,6.17
64929,Edwards Sanborn S1,CA,35.02769,-118.13284,9q5zqv,4.65
64993,"BigBeau Solar, LLC",CA,34.907041,-118.344077,9q5zqv,22.43
65053,Blythe Mesa Solar II,CA,33.640813,-114.680261,9qndpr,66.7
65132,University of the Pacific,CA,37.980054,-121.312418,9qcbq0,26.39
65140,Crimson,CA,33.57345,-114.814541,9qndpr,79.99
65382,Lincoln WWTF Hybrid,CA,38.859,-121.346,9qcts0,13.35
65408,Gilead Oceanside Solar Project,CA,33.213138,-117.304166,9mumuf,29.36
65409,Gilead Foster City Solar Project,CA,37.568597,-122.27797,9q9jb9,3.92
65469,Sealed Air Madera Solar Project,CA,36.945582,-120.056016,9qd9xh,15.79
65472,Chukar Battery Energy Storage System,NV,39.55636,-119.43665,9r50xy,22.26
65568,Google Moffett Park Solar Project,CA,37.405313,-122.017498,9q9hq4,10.5
65569,Gilead Sciences La Verne Rooftop Solar,CA,34.09623,-117.781867,9qh3ky,22.31
65570,West Valley Mission CCD Solar Project,CA,37.264377,-122.006021,9q9hq4,8.81
65614,Orange Coast College PH2 Solar Project,CA,33.672565,-117.91246,9mupsy,2.78
65857,Sunlight Storage,CA,33.803,-115.402,9mvgw4,92.57
66050,Lancaster Area Battery,CA,34.6864,-118.3045,9qhh0n,27.69
66500,Valley Center 85,CA,33.227236,-117.017744,9mudw2,50.58
66502,Valley Center 54,CA,33.227236,-117.017744,9mudw2,50.58
66799,Bishop Ranch - BR 1-Y,CA,37.76217,-121.9579,9q9pk4,20.26
