Year,Month,Day,Hour,Minute,Air Temperature at 80m (°C),Surface Air Pressure (Pa),Wind Speed at 80m (m/s),Wind Direction at 80m (°),,
2020,1,11,1,0,-11.36,86080,4.5200000000000005,25.96,,
2020,1,11,2,0,-11.93,86120,1.99,34.61,,
2020,1,11,3,0,-12.450000000000001,86140,0.84,299.29,,
2020,1,11,4,0,-12.09,86100,2.95,252.41,,
2020,1,11,5,0,-12.47,86140,5.11,216.9,,
2020,1,11,6,0,-12.71,86000,7.17,216.98000000000002,,
2020,1,11,7,0,-13.07,85870,8.21,222.93,,
2020,1,11,8,0,-13.63,85770,9.3,219.76,,
2020,1,11,9,0,-12.84,85660,9.96,227.72,,
2020,1,11,10,0,-11.59,85580,11.03,235.39000000000001,,
2020,1,11,11,0,-10.700000000000001,85500,10.61,236.04,,
2020,1,11,12,0,-10.49,85540,10.23,199.59,,
2020,1,11,13,0,-10.49,85480,10.56,199.62,,
2020,1,11,14,0,-9.68,85450,10.61,193.48000000000002,,
2020,1,11,15,0,-10.28,85460,10.59,190.01,,
2020,1,11,16,0,-11.41,85330,8.82,205.03,,
2020,1,11,17,0,-9.34,85230,7.3100000000000005,206.97,,
2020,1,11,18,0,-7.53,85190,7.49,221.65,,
2020,1,11,19,0,-3.72,85000,7.01,215.5,,
2020,1,11,20,0,-0.91,84930,7.34,217.62,,
2020,1,11,21,0,1.62,84960,5.59,218.31,,
2020,1,11,22,0,3.2,84960,4.47,238.55,,
2020,1,11,23,0,4.61,84990,8.1,280.2,,
2020,1,12,0,0,3.17,84930,2.59,223.36,,
2020,1,12,1,0,3.7,84940,3.92,313.17,,
2020,1,12,2,0,2.92,85040,5.13,329.22,,
2020,1,12,3,0,2.48,85020,4.8100000000000005,339.69,,
2020,1,12,4,0,2.7800000000000002,85020,3.46,325.75,,
2020,1,12,5,0,2.89,85010,2.77,272.43,,
2020,1,12,6,0,2.43,84980,3.94,275.31,,
2020,1,12,7,0,1.75,84900,3.2600000000000002,273.09000000000003,,
2020,1,12,8,0,1.32,84890,1.96,250.9,,
2020,1,12,9,0,0.9500000000000001,84900,1.53,220.57,,
2020,1,12,10,0,0.74,84960,2.69,193.45000000000002,,
2020,1,12,11,0,0.52,85020,3.04,219.55,,
2020,1,12,12,0,2.24,85140,6.48,258.09000000000003,,
2020,1,12,13,0,1.7,85130,5.51,271.25,,
2020,1,12,14,0,0.78,85110,4.73,283.63,,
2020,1,12,15,0,-0.38,85110,5.0600000000000005,288.58,,
2020,1,12,16,0,-1.27,85170,4.25,295.04,,
2020,1,12,17,0,-0.98,85210,5.0600000000000005,291.85,,
2020,1,12,18,0,1.7,85120,4.29,287.95,,
2020,1,12,19,0,3.3000000000000003,85070,8.64,308.59000000000003,,
2020,1,12,20,0,3.85,85000,10,309.86,,
2020,1,12,21,0,3.87,85040,9.98,309.5,,
2020,1,12,22,0,3.84,85130,10.07,300.44,,
2020,1,12,23,0,3.5,85210,9.13,304.74,,
2020,1,13,0,0,2.88,85280,7.19,323.68,,
2020,1,13,1,0,2.13,85230,4.8,343.77,,
2020,1,13,2,0,1.6300000000000001,85270,4.14,352.35,,
2020,1,13,3,0,1.98,85270,2.44,17.89,,
2020,1,13,4,0,1.6500000000000001,85200,1.08,163.04,,
2020,1,13,5,0,0.55,85240,3.81,234.87,,
2020,1,13,6,0,0.8200000000000001,85280,5.17,242.23000000000002,,
2020,1,13,7,0,0.63,85250,3.7800000000000002,199.3,,
2020,1,13,8,0,0.54,85250,2.06,234.70000000000002,,
2020,1,13,9,0,0.16,85240,2.83,255.55,,
2020,1,13,10,0,-0.23,85240,3.77,269.77,,
2020,1,13,11,0,-0.58,85300,3.5700000000000003,271.7,,
2020,1,13,12,0,0.33,85280,8.6,305.56,,
2020,1,13,13,0,0.73,85220,7.8500000000000005,307.03000000000003,,
2020,1,13,14,0,-0.09,85230,6.13,300.85,,
2020,1,13,15,0,-2.58,85230,6.01,223.97,,
2020,1,13,16,0,-2.46,85160,7.34,214.62,,
2020,1,13,17,0,-2.9,85220,8.620000000000001,226.55,,
2020,1,13,18,0,-0.77,85270,7.41,226,,
2020,1,13,19,0,1.53,85110,7.05,222.47,,
2020,1,13,20,0,3.45,85020,6.41,230.15,,
2020,1,13,21,0,4.98,85070,9.05,271.13,,
2020,1,13,22,0,5.38,85130,13.35,287.14,,
2020,1,13,23,0,4.83,85200,11.34,286.41,,
2020,1,14,0,0,3.31,85410,10.77,269.77,,
2020,1,14,1,0,3.39,85460,8.25,274.63,,
2020,1,14,2,0,2.5300000000000002,85530,7.54,305.81,,
2020,1,14,3,0,2.86,85570,6.15,280.03000000000003,,
2020,1,14,4,0,2.95,85580,6.74,293.46,,
2020,1,14,5,0,2.23,85550,6.18,317.77,,
2020,1,14,6,0,1.1400000000000001,85500,6.72,336.26,,
2020,1,14,7,0,1.06,85490,9.28,339.62,,
2020,1,14,8,0,-3.13,85500,3.18,214.92000000000002,,
2020,1,14,9,0,-2.64,85480,4.4,194.15,,
2020,1,14,10,0,-2.04,85490,6.59,189.9,,
2020,1,14,11,0,-2.7600000000000002,85520,8.370000000000001,195.15,,
2020,1,14,12,0,-2.33,85560,8.2,169.87,,
2020,1,14,13,0,-1.17,85570,10.74,148.63,,
2020,1,14,14,0,-1.31,85490,9.540000000000001,158.19,,
2020,1,14,15,0,-2.93,85520,10.18,178.63,,
2020,1,14,16,0,-3.06,85470,12.790000000000001,176.03,,
2020,1,14,17,0,-0.9500000000000001,85410,12.32,181,,
2020,1,14,18,0,2.05,85190,12.14,173.61,,
2020,1,14,19,0,3.92,85030,10.040000000000001,188.14000000000001,,
2020,1,14,20,0,5.84,84960,6.86,202.11,,
2020,1,14,21,0,7.54,84930,5.63,193.92000000000002,,
2020,1,14,22,0,9.11,84960,4.0600000000000005,220.73000000000002,,
2020,1,14,23,0,9.47,84950,3.81,240.24,,
2020,1,15,0,0,9.71,84970,3.74,173.53,,
2020,1,15,1,0,9.23,85100,4.3100000000000005,341.06,,
2020,1,15,2,0,7.49,85080,5.47,357.87,,
2020,1,15,3,0,7.72,85120,5.07,62.96,,
2020,1,15,4,0,5.75,85190,4.09,339.97,,
2020,1,15,5,0,3.83,85160,8.71,310.99,,
2020,1,15,6,0,2.32,85160,15.450000000000001,319.99,,
2020,1,15,7,0,1.9000000000000001,85190,17.32,317.46,,
2020,1,15,8,0,1.41,85290,16.28,310.77,,
2020,1,15,9,0,0.21,85400,17.13,315.88,,
2020,1,15,10,0,-0.71,85520,15.52,315.35,,
2020,1,15,11,0,-0.73,85570,15.05,316.08,,
2020,1,15,12,0,0.11,85740,14.43,315.1,,
2020,1,15,13,0,-0.51,85770,16.43,318.64,,
2020,1,15,14,0,-0.6900000000000001,85860,15.22,316.45,,
2020,1,15,15,0,-0.88,85970,13.38,318.74,,
2020,1,15,16,0,-0.25,86050,11.28,321.78000000000003,,
2020,1,15,17,0,1.1500000000000001,86140,12.55,314.47,,
2020,1,15,18,0,1.75,86200,11.68,315.58,,
2020,1,15,19,0,2.36,86150,10.82,319.61,,
2020,1,15,20,0,3.18,86100,11.47,330.28000000000003,,
2020,1,15,21,0,3.69,86130,11.67,331.35,,
2020,1,15,22,0,3.97,86280,10.05,331.46,,
2020,1,15,23,0,3.81,86380,7.98,342.93,,
2020,1,16,0,0,2.83,86500,7.04,2.39,,
2020,1,16,1,0,2.17,86570,6.0200000000000005,13.21,,
2020,1,16,2,0,0.81,86710,5.13,65.95,,
2020,1,16,3,0,-1.87,86790,8.33,91.34,,
2020,1,16,4,0,-5.24,86840,7.87,90.45,,
2020,1,16,5,0,-6.5,86870,10.120000000000001,112.37,,
2020,1,16,6,0,-6.8100000000000005,86840,11.200000000000001,125.11,,
2020,1,16,7,0,-7.07,86830,11.03,142.98,,
2020,1,16,8,0,-7.24,86840,12,163.92000000000002,,
2020,1,16,9,0,-7.1000000000000005,86830,11.71,177.16,,
2020,1,16,10,0,-6.69,86710,13.44,181.70000000000002,,
2020,1,16,11,0,-6.51,86670,13.38,184.88,,
2020,1,16,12,0,-5.2,86600,13.56,186.09,,
2020,1,16,13,0,-4.66,86580,14.24,188.96,,
2020,1,16,14,0,-4.64,86610,15.64,185.11,,
2020,1,16,15,0,-5.38,86670,15.59,185.68,,
2020,1,16,16,0,-4.95,86630,17.88,182.56,,
2020,1,16,17,0,-3.13,86510,17.54,184.27,,
2020,1,16,18,0,-1.43,86320,17.38,178.98,,
2020,1,16,19,0,-0.11,86170,17.42,174.78,,
2020,1,16,20,0,1.43,86060,17.72,178.38,,
2020,1,16,21,0,1.75,85950,16.67,174.64000000000001,,
2020,1,16,22,0,1.76,85980,17,181.58,,
2020,1,16,23,0,1.5,86000,16.240000000000002,182.12,,
2020,1,17,0,0,0.62,85960,13.82,177.09,,
2020,1,17,1,0,0.05,85980,14.06,175.26,,
2020,1,17,2,0,-0.46,85930,15.09,178.02,,
2020,1,17,3,0,-0.88,85830,14.27,175.93,,
2020,1,17,4,0,-0.92,85750,13.790000000000001,178.96,,
2020,1,17,5,0,-1.12,85650,13.85,177.06,,
2020,1,17,6,0,-1.48,85600,13.35,167.31,,
2020,1,17,7,0,-1.6500000000000001,85500,13.05,168.35,,
2020,1,17,8,0,-1.32,85420,13.71,161.01,,
2020,1,17,9,0,-1.8,85300,10.65,151.33,,
2020,1,17,10,0,-2.5500000000000003,85240,9.98,155.79,,
2020,1,17,11,0,-3.04,85120,7.8500000000000005,154.84,,
2020,1,17,12,0,-3.5700000000000003,85150,3.3000000000000003,168.55,,
2020,1,17,13,0,-3.49,85050,6.2,165.33,,
2020,1,17,14,0,-3.18,85010,6.11,168.65,,
2020,1,17,15,0,-2.19,85070,5.99,173.04,,
2020,1,17,16,0,-2.05,85000,5.36,181.17000000000002,,
2020,1,17,17,0,-1.1300000000000001,84920,4.63,216.62,,
2020,1,17,18,0,-0.89,84810,5.5600000000000005,235.70000000000002,,
2020,1,17,19,0,1.6400000000000001,84700,5.23,276.95,,
2020,1,17,20,0,3.38,84650,1.8,304.02,,
2020,1,17,21,0,0.96,84660,7.66,337.85,,
2020,1,17,22,0,1.41,84640,5.99,329.61,,
2020,1,17,23,0,2.86,84710,3.84,314.67,,
2020,1,18,0,0,3.43,84800,6.99,266.76,,
2020,1,18,1,0,2.36,85020,15.05,302.24,,
2020,1,18,2,0,-0.07,85310,19.18,334.93,,
2020,1,18,3,0,-1.62,85480,19.09,330.68,,
2020,1,18,4,0,-3.15,85490,20.69,330.28000000000003,,
2020,1,18,5,0,-4.17,85580,20.16,332.75,,
2020,1,18,6,0,-4.82,85900,15.52,329.38,,
2020,1,18,7,0,-5.87,85910,16.44,329.82,,
2020,1,18,8,0,-5.83,86030,11.35,327.29,,
2020,1,18,9,0,-4.84,86090,9.120000000000001,317.13,,
2020,1,18,10,0,-4.78,86200,12.86,322.74,,
2020,1,18,11,0,-4.65,86270,13.43,329.47,,
2020,1,18,12,0,-3.69,86390,11.09,313.99,,
2020,1,18,13,0,-3.5700000000000003,86450,12.34,316.3,,
2020,1,18,14,0,-3.89,86480,11.57,325.29,,
2020,1,18,15,0,-4.13,86570,12.22,325.53000000000003,,
2020,1,18,16,0,-3.5100000000000002,86430,11.57,322.78000000000003,,
2020,1,18,17,0,-0.93,86540,13.31,318.36,,
2020,1,18,18,0,0.37,86470,11.92,311.38,,
2020,1,18,19,0,1.32,86400,10.3,312.77,,
2020,1,18,20,0,2.4,86340,9.98,313.91,,
2020,1,18,21,0,3.23,86410,10.24,306.38,,
2020,1,18,22,0,3.13,86380,11.15,308.02,,
2020,1,18,23,0,3.2800000000000002,86430,9.870000000000001,300.38,,
2020,1,19,0,0,2.81,86550,6.58,318.74,,
2020,1,19,1,0,2.15,86700,6.5,313.82,,
2020,1,19,2,0,1.19,86750,8.75,318.71,,
2020,1,19,3,0,0.91,86680,10.450000000000001,321.25,,
2020,1,19,4,0,-0.02,86690,10.870000000000001,316.21,,
2020,1,19,5,0,-0.9400000000000001,86630,9.53,316.96,,
2020,1,19,6,0,-1.62,86710,8.49,325.21,,
2020,1,19,7,0,-2.06,86660,8.5,328.16,,
2020,1,19,8,0,-2.33,86620,6.640000000000001,322.15000000000003,,
2020,1,19,9,0,-3,86650,4.3,300.2,,
2020,1,19,10,0,-3.21,86590,4.54,303.5,,
2020,1,19,11,0,-3.11,86660,4.86,308.6,,
2020,1,19,12,0,0.08,86750,4.69,246.06,,
2020,1,19,13,0,-0.23,86830,4.94,252.68,,
2020,1,19,14,0,-0.58,86860,5.04,270.81,,
2020,1,19,15,0,0.62,86870,5.82,268.57,,
2020,1,19,16,0,0.64,86960,7.38,280.53000000000003,,
2020,1,19,17,0,0.49,86920,6.94,296.23,,
2020,1,19,18,0,1.21,86930,5.49,308.83,,
2020,1,19,19,0,2.44,86820,4.65,317.1,,
2020,1,19,20,0,3.5700000000000003,86730,3.65,320.66,,
2020,1,19,21,0,4.48,86750,3.33,318.76,,
2020,1,19,22,0,5.12,86710,3.48,327.11,,
2020,1,19,23,0,5.44,86800,4.24,335.55,,
